date,ev_revenues
"March 19, 2020",3.771
"March 18, 2020",3.778
"March 17, 2020",3.923
"March 16, 2020",3.531
"March 13, 2020",3.894
"March 12, 2020",3.672
"March 11, 2020",3.875
"March 10, 2020",3.896
"March 9, 2020",3.843
"March 6, 2020",3.945
"March 5, 2020",3.910
"March 4, 2020",3.939
"March 3, 2020",3.841
"March 2, 2020",3.815
"Feb. 28, 2020",3.651
"Feb. 27, 2020",3.777
"Feb. 26, 2020",3.917
"Feb. 25, 2020",3.908
"Feb. 24, 2020",3.954
"Feb. 21, 2020",4.009
"Feb. 20, 2020",4.014
"Feb. 19, 2020",4.002
"Feb. 18, 2020",4.045
"Feb. 14, 2020",4.042
"Feb. 13, 2020",4.070
"Feb. 12, 2020",4.004
"Feb. 11, 2020",3.993
"Feb. 10, 2020",4.008
"Feb. 7, 2020",3.998
"Feb. 6, 2020",3.998
"Feb. 5, 2020",4.006
"Feb. 4, 2020",4.004
"Feb. 3, 2020",3.998
"Jan. 31, 2020",3.952
"Jan. 30, 2020",3.975
"Jan. 29, 2020",3.945
"Jan. 28, 2020",3.942
"Jan. 27, 2020",3.944
"Jan. 24, 2020",3.937
"Jan. 23, 2020",3.920
"Jan. 22, 2020",3.907
"Jan. 21, 2020",3.898
"Jan. 17, 2020",3.923
"Jan. 16, 2020",3.933
"Jan. 15, 2020",3.895
"Jan. 14, 2020",3.864
"Jan. 13, 2020",3.857
"Jan. 10, 2020",3.826
"Jan. 9, 2020",3.818
"Jan. 8, 2020",3.813
"Jan. 7, 2020",3.850
"Jan. 6, 2020",3.873
"Jan. 3, 2020",3.903
"Jan. 2, 2020",3.903
"Dec. 31, 2019",3.941
"Dec. 30, 2019",3.815
"Dec. 27, 2019",3.812
"Dec. 26, 2019",3.814
"Dec. 24, 2019",3.837
"Dec. 23, 2019",3.850
"Dec. 20, 2019",3.88
"Dec. 19, 2019",3.859
"Dec. 18, 2019",3.868
"Dec. 17, 2019",3.832
"Dec. 16, 2019",3.807
"Dec. 13, 2019",3.783
"Dec. 12, 2019",3.797
"Dec. 11, 2019",3.827
"Dec. 10, 2019",3.802
"Dec. 9, 2019",3.739
"Dec. 6, 2019",3.755
"Dec. 5, 2019",3.755
"Dec. 4, 2019",3.743
"Dec. 3, 2019",3.711
"Dec. 2, 2019",3.700
"Nov. 29, 2019",3.702
"Nov. 27, 2019",3.726
"Nov. 26, 2019",3.697
"Nov. 25, 2019",3.702
"Nov. 22, 2019",3.682
"Nov. 21, 2019",3.652
"Nov. 20, 2019",3.669
"Nov. 19, 2019",3.680
"Nov. 18, 2019",3.661
"Nov. 15, 2019",3.657
"Nov. 14, 2019",3.661
"Nov. 13, 2019",3.646
"Nov. 12, 2019",3.608
"Nov. 11, 2019",3.588
"Nov. 8, 2019",3.614
"Nov. 7, 2019",3.647
"Nov. 6, 2019",3.693
"Nov. 5, 2019",3.674
"Nov. 4, 2019",3.702
"Nov. 1, 2019",3.796
"Oct. 31, 2019",3.804
