date,f_score_ttm
"Dec. 31, 2019",6.00
"Sept. 30, 2019",5.00
"June 30, 2019",4.00
"March 31, 2019",3.00
"Dec. 31, 2018",3.00
"Sept. 30, 2018",4.00
"June 30, 2018",3.00
"March 31, 2018",5.00
"Dec. 31, 2017",4.00
"Sept. 30, 2017",5.00
"June 30, 2017",5.00
"March 31, 2017",4.00
"Dec. 31, 2016",7.00
"Sept. 30, 2016",4.00
"June 30, 2016",5.00
"March 31, 2016",2.00
"Dec. 31, 2015",4.00
"Sept. 30, 2015",5.00
"June 30, 2015",4.00
"March 31, 2015",6.00
"Dec. 31, 2014",5.00
"Sept. 30, 2014",1.00
"June 30, 2014",5.00
"March 31, 2014",5.00
"Dec. 31, 2013",3.00
"Sept. 30, 2013",4.00
"June 30, 2013",2.00
"March 31, 2013",7.00
"Dec. 31, 2012",4.00
"Sept. 30, 2012",4.00
"June 30, 2012",5.00
"March 31, 2012",3.00
"Dec. 31, 2011",5.00
"Sept. 30, 2011",4.00
"June 30, 2011",6.00
"March 31, 2011",4.00
"Dec. 31, 2010",5.00
"Sept. 30, 2010",5.00
"June 30, 2010",5.00
"March 31, 2010",8.00
"Dec. 31, 2009",
"Sept. 30, 2009",
"June 30, 2009",
"March 31, 2009",
"Dec. 31, 2008",
"Sept. 30, 2008",
"June 30, 2008",
"March 31, 2008",
"Dec. 31, 2007",
"Sept. 30, 2007",
"June 30, 2007",
"March 31, 2007",
"Dec. 31, 2006",
"Sept. 30, 2006",
"June 30, 2006",
"March 31, 2006",
"Dec. 31, 2005",
"Sept. 30, 2005",
"June 30, 2005",
"March 31, 2005",
"Dec. 31, 2004",
"Sept. 30, 2004",
"June 30, 2004",
"March 31, 2004",
"Dec. 31, 2003",
"Sept. 30, 2003",
"June 30, 2003",
"March 31, 2003",
"Dec. 31, 2002",
"Sept. 30, 2002",
"June 30, 2002",
"March 31, 2002",
"Dec. 31, 2001",
"Sept. 30, 2001",5.00
"June 30, 2001",4.00
"March 31, 2001",1.00
"Dec. 31, 2000",3.00
"Sept. 30, 2000",3.00
"June 30, 2000",3.00
"March 31, 2000",6.00
"Dec. 31, 1999",4.00
"Sept. 30, 1999",4.00
"June 30, 1999",7.00
"March 31, 1999",7.00
"Dec. 31, 1998",5.00
"Sept. 30, 1998",3.00
"June 30, 1998",4.00
"March 31, 1998",6.00
"Dec. 31, 1997",7.00
"Sept. 30, 1997",2.00
"June 30, 1997",4.00
"March 31, 1997",2.00
"Dec. 31, 1996",2.00
"Sept. 30, 1996",1.00
"June 30, 1996",5.00
"March 31, 1996",6.00
"Dec. 31, 1995",6.00
"Sept. 30, 1995",7.00
"June 30, 1995",6.00
"March 31, 1995",3.00
