date,historical_monthly_var_5_all
"Feb. 29, 2020",7.95%
"Jan. 31, 2020",7.95%
"Dec. 31, 2019",7.96%
"Nov. 30, 2019",7.96%
"Oct. 31, 2019",7.96%
"Sept. 30, 2019",7.96%
"Aug. 31, 2019",7.97%
"July 31, 2019",7.97%
"June 30, 2019",7.99%
"May 31, 2019",7.99%
"April 30, 2019",8.00%
"March 31, 2019",8.00%
"Feb. 28, 2019",8.00%
"Jan. 31, 2019",8.00%
"Dec. 31, 2018",8.00%
"Nov. 30, 2018",8.00%
"Oct. 31, 2018",8.00%
"Sept. 30, 2018",8.00%
"Aug. 31, 2018",8.00%
"July 31, 2018",8.00%
"June 30, 2018",8.00%
"May 31, 2018",8.00%
"April 30, 2018",8.00%
"March 31, 2018",8.00%
"Feb. 28, 2018",8.00%
"Jan. 31, 2018",8.00%
"Dec. 31, 2017",7.95%
"Nov. 30, 2017",7.95%
"Oct. 31, 2017",7.95%
"Sept. 30, 2017",7.96%
"Aug. 31, 2017",7.96%
"July 31, 2017",7.96%
"June 30, 2017",7.96%
"May 31, 2017",7.98%
"April 30, 2017",7.99%
"March 31, 2017",7.99%
"Feb. 28, 2017",8.00%
"Jan. 31, 2017",8.00%
"Dec. 31, 2016",8.00%
"Nov. 30, 2016",8.00%
"Oct. 31, 2016",8.00%
"Sept. 30, 2016",8.00%
"Aug. 31, 2016",7.99%
"July 31, 2016",8.00%
"June 30, 2016",8.00%
"May 31, 2016",8.00%
"April 30, 2016",8.00%
"March 31, 2016",8.00%
"Feb. 29, 2016",8.00%
"Jan. 31, 2016",8.00%
"Dec. 31, 2015",8.00%
"Nov. 30, 2015",8.00%
"Oct. 31, 2015",8.00%
"Sept. 30, 2015",8.00%
"Aug. 31, 2015",8.00%
"July 31, 2015",8.00%
"June 30, 2015",8.00%
"May 31, 2015",8.00%
"April 30, 2015",8.00%
"March 31, 2015",8.00%
"Feb. 28, 2015",8.00%
"Jan. 31, 2015",8.00%
"Dec. 31, 2014",8.00%
"Nov. 30, 2014",8.00%
"Oct. 31, 2014",8.00%
"Sept. 30, 2014",8.00%
"Aug. 31, 2014",8.00%
"July 31, 2014",7.99%
"June 30, 2014",7.99%
"May 31, 2014",7.99%
"April 30, 2014",8.00%
"March 31, 2014",8.00%
"Feb. 28, 2014",8.00%
"Jan. 31, 2014",8.00%
"Dec. 31, 2013",8.00%
"Nov. 30, 2013",8.00%
"Oct. 31, 2013",8.00%
"Sept. 30, 2013",8.00%
"Aug. 31, 2013",7.99%
"July 31, 2013",7.96%
"June 30, 2013",7.96%
"May 31, 2013",7.97%
"April 30, 2013",7.98%
"March 31, 2013",7.99%
"Feb. 28, 2013",7.99%
"Jan. 31, 2013",8.00%
"Dec. 31, 2012",8.00%
"Nov. 30, 2012",8.00%
"Oct. 31, 2012",7.97%
"Sept. 30, 2012",7.99%
"Aug. 31, 2012",7.99%
"July 31, 2012",8.00%
"June 30, 2012",8.00%
"May 31, 2012",8.00%
"April 30, 2012",8.00%
"March 31, 2012",8.00%
"Feb. 29, 2012",8.00%
"Jan. 31, 2012",8.00%
"Dec. 31, 2011",8.00%
"Nov. 30, 2011",8.00%
"Oct. 31, 2011",8.00%
"Sept. 30, 2011",8.00%
"Aug. 31, 2011",8.00%
"July 31, 2011",8.00%
"June 30, 2011",8.00%
"May 31, 2011",8.00%
"April 30, 2011",8.00%
"March 31, 2011",8.00%
"Feb. 28, 2011",8.00%
"Jan. 31, 2011",8.00%
"Dec. 31, 2010",8.00%
"Nov. 30, 2010",8.00%
"Oct. 31, 2010",8.00%
"Sept. 30, 2010",8.00%
"Aug. 31, 2010",8.00%
"July 31, 2010",8.00%
"June 30, 2010",8.00%
"May 31, 2010",8.00%
"April 30, 2010",8.02%
"March 31, 2010",8.03%
"Feb. 28, 2010",8.03%
"Jan. 31, 2010",8.01%
"Dec. 31, 2009",8.02%
"Nov. 30, 2009",8.03%
"Oct. 31, 2009",8.03%
"Sept. 30, 2009",8.03%
"Aug. 31, 2009",8.03%
"July 31, 2009",8.00%
"June 30, 2009",8.02%
"May 31, 2009",8.03%
"April 30, 2009",8.03%
"March 31, 2009",8.03%
"Feb. 28, 2009",8.00%
"Jan. 31, 2009",8.00%
"Dec. 31, 2008",8.00%
"Nov. 30, 2008",8.00%
"Oct. 31, 2008",8.00%
"Sept. 30, 2008",7.99%
"Aug. 31, 2008",7.99%
"July 31, 2008",8.00%
"June 30, 2008",7.96%
"May 31, 2008",7.96%
"April 30, 2008",7.96%
"March 31, 2008",7.98%
"Feb. 29, 2008",7.99%
"Jan. 31, 2008",7.98%
"Dec. 31, 2007",7.95%
"Nov. 30, 2007",7.87%
"Oct. 31, 2007",7.90%
