date,net_income_ttm
"Dec. 31, 2019",65.15M
"Sept. 30, 2019",60.39M
"June 30, 2019",60.31M
"March 31, 2019",58.39M
"Dec. 31, 2018",56.58M
"Sept. 30, 2018",64.88M
"June 30, 2018",66.18M
"March 31, 2018",65.84M
"Dec. 31, 2017",58.12M
"Sept. 30, 2017",43.89M
"June 30, 2017",41.47M
"March 31, 2017",43.45M
"Dec. 31, 2016",44.68M
"Sept. 30, 2016",41.43M
"June 30, 2016",42.13M
"March 31, 2016",40.40M
"Dec. 31, 2015",41.14M
"Sept. 30, 2015",42.62M
"June 30, 2015",40.68M
"March 31, 2015",39.52M
"Dec. 31, 2014",36.09M
"Sept. 30, 2014",35.68M
"June 30, 2014",36.38M
"March 31, 2014",35.60M
"Dec. 31, 2013",32.79M
"Sept. 30, 2013",32.96M
"June 30, 2013",32.30M
"March 31, 2013",33.00M
"Dec. 31, 2012",28.86M
"Sept. 30, 2012",26.96M
"June 30, 2012",26.14M
"March 31, 2012",24.60M
"Dec. 31, 2011",27.62M
"Sept. 30, 2011",26.78M
"June 30, 2011",26.01M
"March 31, 2011",25.83M
"Dec. 31, 2010",26.06M
"Sept. 30, 2010",25.13M
"June 30, 2010",23.81M
"March 31, 2010",21.28M
"Dec. 31, 2009",15.90M
"Sept. 30, 2009",14.12M
"June 30, 2009",13.61M
"March 31, 2009",14.63M
"Dec. 31, 2008",13.61M
"Sept. 30, 2008",13.28M
"June 30, 2008",13.12M
"March 31, 2008",12.78M
"Dec. 31, 2007",13.20M
"Sept. 30, 2007",13.05M
"June 30, 2007",12.75M
"March 31, 2007",12.40M
"Dec. 31, 2006",10.51M
"Sept. 30, 2006",10.70M
"June 30, 2006",10.67M
"March 31, 2006",10.33M
"Dec. 31, 2005",10.47M
"Sept. 30, 2005",10.05M
"June 30, 2005",10.09M
"March 31, 2005",9.922M
"Dec. 31, 2004",9.429M
"Sept. 30, 2004",8.456M
"June 30, 2004",8.253M
"March 31, 2004",8.556M
"Dec. 31, 2003",9.292M
"Sept. 30, 2003",7.712M
"June 30, 2003",7.633M
"March 31, 2003",7.228M
"Dec. 31, 2002",3.721M
"Sept. 30, 2002",3.893M
"June 30, 2002",4.157M
"March 31, 2002",4.294M
"Dec. 31, 2001",6.692M
"Sept. 30, 2001",7.902M
"June 30, 2001",7.532M
"March 31, 2001",7.185M
"Dec. 31, 2000",7.489M
"Sept. 30, 2000",8.244M
"June 30, 2000",8.489M
"March 31, 2000",8.970M
"Dec. 31, 1999",8.20M
"Sept. 30, 1999",7.20M
"June 30, 1999",6.70M
"March 31, 1999",6.20M
"Dec. 31, 1998",5.30M
"Sept. 30, 1998",5.50M
"June 30, 1998",6.00M
"March 31, 1998",6.40M
"Dec. 31, 1997",5.80M
"Sept. 30, 1997",5.40M
"June 30, 1997",5.50M
"March 31, 1997",5.30M
"Dec. 31, 1996",7.90M
"Sept. 30, 1996",8.00M
"June 30, 1996",9.70M
"March 31, 1996",10.00M
"Dec. 31, 1995",7.70M
"Sept. 30, 1995",6.60M
"June 30, 1995",5.30M
"March 31, 1995",4.40M
"Dec. 31, 1994",4.40M
"Sept. 30, 1994",5.00M
"June 30, 1994",4.60M
"March 31, 1994",
"Dec. 31, 1993",
"Sept. 30, 1993",
"June 30, 1993",
"March 31, 1993",4.00M
"Dec. 31, 1992",3.50M
"Sept. 30, 1992",2.50M
"June 30, 1992",2.70M
"March 31, 1992",2.40M
"Dec. 31, 1991",2.60M
"Sept. 30, 1991",3.00M
"June 30, 1991",3.10M
"March 31, 1991",3.20M
"Dec. 31, 1990",3.10M
"Sept. 30, 1990",4.00M
"June 30, 1990",3.80M
"March 31, 1990",4.20M
"Dec. 31, 1989",3.60M
"Sept. 30, 1989",2.40M
"June 30, 1989",2.90M
"March 31, 1989",2.90M
"Dec. 31, 1988",2.80M
"Sept. 30, 1988",3.20M
"June 30, 1988",3.50M
"March 31, 1988",3.60M
"Dec. 31, 1987",3.40M
"Sept. 30, 1987",3.00M
"June 30, 1987",2.90M
"March 31, 1987",2.90M
"Dec. 31, 1986",2.50M
"Sept. 30, 1986",2.90M
"June 30, 1986",3.30M
"March 31, 1986",3.20M
"Dec. 31, 1985",2.90M
"Sept. 30, 1985",2.40M
"June 30, 1985",2.80M
"March 31, 1985",3.00M
"Dec. 31, 1984",3.00M
