date,ohlson_score
"Dec. 31, 2019",3.769
"Sept. 30, 2019",5.021
"June 30, 2019",6.257
"March 31, 2019",4.143
"Dec. 31, 2018",3.645
"Sept. 30, 2018",4.352
"June 30, 2018",5.905
"March 31, 2018",3.685
"Dec. 31, 2017",3.083
"Sept. 30, 2017",3.382
"June 30, 2017",4.744
"March 31, 2017",3.465
"Dec. 31, 2016",3.132
"Sept. 30, 2016",3.928
"June 30, 2016",5.126
"March 31, 2016",3.604
"Dec. 31, 2015",3.576
"Sept. 30, 2015",3.975
"June 30, 2015",4.877
"March 31, 2015",2.748
"Dec. 31, 2014",2.720
"Sept. 30, 2014",3.591
"June 30, 2014",4.328
"March 31, 2014",2.966
"Dec. 31, 2013",2.974
"Sept. 30, 2013",3.527
"June 30, 2013",4.603
"March 31, 2013",2.849
"Dec. 31, 2012",2.747
"Sept. 30, 2012",3.265
"June 30, 2012",3.42
"March 31, 2012",2.614
"Dec. 31, 2011",2.467
"Sept. 30, 2011",2.954
"June 30, 2011",4.159
"March 31, 2011",2.613
"Dec. 31, 2010",2.697
"Sept. 30, 2010",3.570
"June 30, 2010",4.611
"March 31, 2010",2.620
"Dec. 31, 2009",2.647
"Sept. 30, 2009",3.818
"June 30, 2009",7.824
"March 31, 2009",2.527
"Dec. 31, 2008",2.554
"Sept. 30, 2008",-1.888
"June 30, 2008",4.984
"March 31, 2008",2.945
"Dec. 31, 2007",2.773
"Sept. 30, 2007",0.5242
"June 30, 2007",5.343
"March 31, 2007",2.709
"Dec. 31, 2006",2.514
"Sept. 30, 2006",2.389
"June 30, 2006",5.744
"March 31, 2006",3.144
"Dec. 31, 2005",2.885
"Sept. 30, 2005",
"June 30, 2005",
"March 31, 2005",
"Dec. 31, 2004",
"Sept. 30, 2004",1.955
"June 30, 2004",6.987
"March 31, 2004",2.530
"Dec. 31, 2003",2.342
"Sept. 30, 2003",1.913
"June 30, 2003",6.029
"March 31, 2003",2.677
"Dec. 31, 2002",2.488
"Sept. 30, 2002",2.450
"June 30, 2002",6.485
"March 31, 2002",3.744
"Dec. 31, 2001",3.251
"Sept. 30, 2001",2.700
"June 30, 2001",7.154
"March 31, 2001",3.096
"Dec. 31, 2000",2.840
"Sept. 30, 2000",3.067
"June 30, 2000",12.21
"March 31, 2000",3.130
"Dec. 31, 1999",2.946
"Sept. 30, 1999",2.427
"June 30, 1999",5.761
"March 31, 1999",2.644
"Dec. 31, 1998",2.340
"Sept. 30, 1998",2.498
"June 30, 1998",9.176
"March 31, 1998",2.749
"Dec. 31, 1997",2.448
"Sept. 30, 1997",2.892
"June 30, 1997",5.623
"March 31, 1997",3.325
"Dec. 31, 1996",2.904
"Sept. 30, 1996",2.353
"June 30, 1996",8.697
"March 31, 1996",2.663
"Dec. 31, 1995",3.09
"Sept. 30, 1995",3.377
"June 30, 1995",5.381
"March 31, 1995",2.968
