date,sales_est_0q
"March 2, 2020",206.19M
"Feb. 28, 2020",214.29M
"Feb. 27, 2020",203.70M
"Jan. 7, 2020",241.79M
"Dec. 17, 2019",209.30M
"Nov. 11, 2019",209.30M
"Nov. 8, 2019",193.70M
"Oct. 24, 2019",229.90M
"Oct. 11, 2019",230.63M
"Sept. 30, 2019",162.60M
"Aug. 13, 2019",164.97M
"Aug. 12, 2019",164.97M
"Aug. 9, 2019",154.50M
"May 13, 2019",161.20M
"May 10, 2019",152.25M
"May 8, 2019",144.80M
"March 31, 2019",269.57M
"March 29, 2019",269.57M
"March 4, 2019",269.57M
"Feb. 27, 2019",266.50M
"Jan. 22, 2019",247.90M
"Jan. 15, 2019",247.90M
"Dec. 31, 2018",196.70M
"Dec. 21, 2018",196.70M
"Dec. 18, 2018",196.70M
"Nov. 27, 2018",196.40M
"Nov. 13, 2018",185.70M
"Nov. 12, 2018",163.30M
"Oct. 3, 2018",186.15M
"Sept. 30, 2018",142.85M
"Sept. 24, 2018",146.00M
"Aug. 14, 2018",146.00M
"Aug. 13, 2018",144.23M
"Aug. 10, 2018",152.30M
"July 2, 2018",142.43M
"May 14, 2018",146.47M
"May 11, 2018",149.80M
"May 10, 2018",157.70M
"April 23, 2018",145.50M
"March 31, 2018",215.83M
"March 19, 2018",215.83M
"March 13, 2018",215.83M
"March 5, 2018",218.07M
"March 1, 2018",241.00M
"Feb. 27, 2018",241.00M
