date,sales_est_0y
"March 11, 2020",652.07M
"March 3, 2020",680.66M
"March 2, 2020",655.45M
"Feb. 28, 2020",692.36M
"Feb. 27, 2020",586.25M
"Jan. 15, 2020",799.73M
"Jan. 9, 2020",799.69M
"Jan. 7, 2020",799.69M
"Dec. 31, 2019",734.05M
"Dec. 17, 2019",690.94M
"Nov. 11, 2019",690.94M
"Nov. 8, 2019",644.80M
"Oct. 24, 2019",754.29M
"Oct. 11, 2019",756.23M
"Oct. 8, 2019",756.23M
"Sept. 3, 2019",756.81M
"Aug. 23, 2019",756.81M
"Aug. 16, 2019",756.44M
"Aug. 13, 2019",754.46M
"Aug. 12, 2019",753.80M
"Aug. 9, 2019",741.20M
"June 20, 2019",771.80M
"June 10, 2019",773.20M
"May 13, 2019",773.60M
"May 10, 2019",763.88M
"May 8, 2019",768.40M
"April 24, 2019",776.18M
"April 3, 2019",776.18M
"March 29, 2019",780.12M
"March 7, 2019",776.18M
"March 4, 2019",756.44M
"Feb. 27, 2019",725.94M
"Jan. 18, 2019",729.88M
"Dec. 31, 2018",683.00M
"Dec. 24, 2018",682.46M
"Dec. 21, 2018",682.46M
"Dec. 18, 2018",682.46M
"Nov. 27, 2018",682.28M
"Nov. 19, 2018",669.32M
"Nov. 13, 2018",702.00M
"Nov. 12, 2018",671.38M
"Nov. 6, 2018",671.10M
"Oct. 3, 2018",671.10M
"Sept. 24, 2018",686.12M
"Sept. 23, 2018",686.12M
"Sept. 17, 2018",686.72M
"Aug. 14, 2018",688.56M
"Aug. 13, 2018",687.46M
"Aug. 10, 2018",695.20M
"July 2, 2018",704.02M
"May 14, 2018",706.08M
"May 12, 2018",681.60M
"May 11, 2018",755.40M
"May 10, 2018",784.70M
"April 23, 2018",656.34M
"March 18, 2018",656.34M
"March 13, 2018",647.36M
"March 5, 2018",649.04M
"March 2, 2018",641.80M
"March 1, 2018",788.10M
"Feb. 1, 2018",652.22M
"Jan. 11, 2018",656.40M
"Jan. 2, 2018",656.62M
