date,enterprise_value
"March 19, 2020",130.07B
"March 18, 2020",125.68B
"March 17, 2020",155.07B
"March 16, 2020",153.21B
"March 13, 2020",178.99B
"March 12, 2020",165.54B
"March 11, 2020",178.26B
"March 10, 2020",181.92B
"March 9, 2020",173.82B
"March 6, 2020",201.36B
"March 5, 2020",204.87B
"March 4, 2020",207.39B
"March 3, 2020",199.61B
"March 2, 2020",203.74B
"Feb. 28, 2020",197.64B
"Feb. 27, 2020",199.12B
"Feb. 26, 2020",206.47B
"Feb. 25, 2020",211.49B
"Feb. 24, 2020",219.00B
"Feb. 21, 2020",227.08B
"Feb. 20, 2020",228.59B
"Feb. 19, 2020",230.34B
"Feb. 18, 2020",229.40B
"Feb. 14, 2020",229.10B
"Feb. 13, 2020",232.06B
"Feb. 12, 2020",232.78B
"Feb. 11, 2020",231.22B
"Feb. 10, 2020",228.55B
"Feb. 7, 2020",227.26B
"Feb. 6, 2020",228.30B
"Feb. 5, 2020",229.78B
"Feb. 4, 2020",223.33B
"Feb. 3, 2020",222.26B
"Jan. 31, 2020",223.87B
"Jan. 30, 2020",231.89B
"Jan. 29, 2020",229.95B
"Jan. 28, 2020",231.37B
"Jan. 27, 2020",229.99B
"Jan. 24, 2020",232.74B
"Jan. 23, 2020",235.09B
"Jan. 22, 2020",234.72B
"Jan. 21, 2020",235.49B
"Jan. 17, 2020",239.76B
"Jan. 16, 2020",242.23B
"Jan. 15, 2020",240.80B
"Jan. 14, 2020",241.12B
"Jan. 13, 2020",241.79B
"Jan. 10, 2020",241.38B
"Jan. 9, 2020",243.39B
"Jan. 8, 2020",243.75B
"Jan. 7, 2020",246.31B
"Jan. 6, 2020",249.21B
"Jan. 3, 2020",249.98B
"Jan. 2, 2020",250.77B
"Dec. 31, 2019",249.04B
"Dec. 30, 2019",248.77B
"Dec. 27, 2019",249.62B
"Dec. 26, 2019",250.19B
"Dec. 24, 2019",249.69B
"Dec. 23, 2019",249.68B
"Dec. 20, 2019",248.45B
"Dec. 19, 2019",245.52B
"Dec. 18, 2019",246.31B
"Dec. 17, 2019",246.40B
"Dec. 16, 2019",247.84B
"Dec. 13, 2019",245.19B
"Dec. 12, 2019",246.80B
