date,ev_ebitda
"March 19, 2020",3.659
"March 18, 2020",3.535
"March 17, 2020",4.362
"March 16, 2020",4.309
"March 13, 2020",5.035
"March 12, 2020",4.656
"March 11, 2020",5.014
"March 10, 2020",5.117
"March 9, 2020",4.889
"March 6, 2020",5.664
"March 5, 2020",5.763
"March 4, 2020",5.833
"March 3, 2020",5.615
"March 2, 2020",5.731
"Feb. 28, 2020",5.559
"Feb. 27, 2020",5.601
"Feb. 26, 2020",5.808
"Feb. 25, 2020",5.949
"Feb. 24, 2020",6.160
"Feb. 21, 2020",6.387
"Feb. 20, 2020",6.430
"Feb. 19, 2020",6.479
"Feb. 18, 2020",6.452
"Feb. 14, 2020",6.444
"Feb. 13, 2020",6.528
"Feb. 12, 2020",6.548
"Feb. 11, 2020",6.504
"Feb. 10, 2020",6.429
"Feb. 7, 2020",6.392
"Feb. 6, 2020",6.422
"Feb. 5, 2020",6.463
"Feb. 4, 2020",6.282
"Feb. 3, 2020",6.252
"Jan. 31, 2020",6.297
"Jan. 30, 2020",6.523
"Jan. 29, 2020",6.468
"Jan. 28, 2020",6.508
"Jan. 27, 2020",6.469
"Jan. 24, 2020",6.546
"Jan. 23, 2020",6.613
"Jan. 22, 2020",6.602
"Jan. 21, 2020",6.624
"Jan. 17, 2020",6.744
"Jan. 16, 2020",6.813
"Jan. 15, 2020",6.773
"Jan. 14, 2020",6.782
"Jan. 13, 2020",6.801
"Jan. 10, 2020",6.790
"Jan. 9, 2020",6.846
"Jan. 8, 2020",6.856
"Jan. 7, 2020",6.928
"Jan. 6, 2020",7.010
"Jan. 3, 2020",7.031
"Jan. 2, 2020",7.054
"Dec. 31, 2019",7.005
"Dec. 30, 2019",6.600
"Dec. 27, 2019",6.623
"Dec. 26, 2019",6.638
"Dec. 24, 2019",6.625
"Dec. 23, 2019",6.624
"Dec. 20, 2019",6.592
"Dec. 19, 2019",6.514
"Dec. 18, 2019",6.535
"Dec. 17, 2019",6.538
"Dec. 16, 2019",6.576
"Dec. 13, 2019",6.506
"Dec. 12, 2019",6.548
"Dec. 11, 2019",6.419
"Dec. 10, 2019",6.502
"Dec. 9, 2019",6.472
"Dec. 6, 2019",6.508
"Dec. 5, 2019",6.424
"Dec. 4, 2019",6.454
"Dec. 3, 2019",6.402
"Dec. 2, 2019",6.447
"Nov. 29, 2019",6.464
"Nov. 27, 2019",6.511
"Nov. 26, 2019",6.497
"Nov. 25, 2019",6.527
"Nov. 22, 2019",6.539
"Nov. 21, 2019",6.546
"Nov. 20, 2019",6.474
"Nov. 19, 2019",6.430
"Nov. 18, 2019",6.535
"Nov. 15, 2019",6.64
"Nov. 14, 2019",6.706
"Nov. 13, 2019",6.722
"Nov. 12, 2019",6.656
"Nov. 11, 2019",6.648
"Nov. 8, 2019",6.655
"Nov. 7, 2019",6.703
"Nov. 6, 2019",6.603
"Nov. 5, 2019",6.705
"Nov. 4, 2019",6.687
"Nov. 1, 2019",6.418
"Oct. 31, 2019",6.414
"Oct. 30, 2019",6.425
"Oct. 29, 2019",6.514
"Oct. 28, 2019",6.532
"Oct. 25, 2019",6.541
"Oct. 24, 2019",6.486
"Oct. 23, 2019",6.507
"Oct. 22, 2019",6.498
"Oct. 21, 2019",6.438
"Oct. 18, 2019",6.344
"Oct. 17, 2019",6.375
"Oct. 16, 2019",6.363
"Oct. 15, 2019",6.423
"Oct. 14, 2019",6.416
"Oct. 11, 2019",6.415
"Oct. 10, 2019",6.336
"Oct. 9, 2019",6.264
"Oct. 8, 2019",6.192
"Oct. 7, 2019",6.270
"Oct. 4, 2019",6.299
"Oct. 3, 2019",6.264
"Oct. 2, 2019",6.221
"Oct. 1, 2019",6.408
"Sept. 30, 2019",6.538
"Sept. 27, 2019",6.154
"Sept. 26, 2019",6.228
"Sept. 25, 2019",6.385
"Sept. 24, 2019",6.396
"Sept. 23, 2019",6.451
"Sept. 20, 2019",6.423
"Sept. 19, 2019",6.392
"Sept. 18, 2019",6.417
"Sept. 17, 2019",6.403
"Sept. 16, 2019",6.414
"Sept. 13, 2019",6.291
"Sept. 12, 2019",6.287
"Sept. 11, 2019",6.280
"Sept. 10, 2019",6.307
"Sept. 9, 2019",6.191
"Sept. 6, 2019",6.138
"Sept. 5, 2019",6.109
"Sept. 4, 2019",6.091
"Sept. 3, 2019",6.045
"Aug. 30, 2019",6.113
"Aug. 29, 2019",6.103
"Aug. 28, 2019",6.071
"Aug. 27, 2019",6.024
"Aug. 26, 2019",6.020
"Aug. 23, 2019",5.993
"Aug. 22, 2019",6.113
"Aug. 21, 2019",6.120
"Aug. 20, 2019",6.038
"Aug. 19, 2019",6.094
"Aug. 16, 2019",6.023
"Aug. 15, 2019",6.077
"Aug. 14, 2019",6.114
"Aug. 13, 2019",6.333
"Aug. 12, 2019",6.298
"Aug. 9, 2019",6.334
"Aug. 8, 2019",6.372
"Aug. 7, 2019",6.178
"Aug. 6, 2019",6.191
"Aug. 5, 2019",6.161
"Aug. 2, 2019",6.254
"Aug. 1, 2019",6.255
"July 31, 2019",6.366
"July 30, 2019",6.424
"July 29, 2019",6.419
"July 26, 2019",6.395
"July 25, 2019",6.485
"July 24, 2019",6.528
"July 23, 2019",6.494
"July 22, 2019",6.47
"July 19, 2019",6.457
"July 18, 2019",6.440
"July 17, 2019",6.415
"July 16, 2019",6.444
"July 15, 2019",6.489
"July 12, 2019",6.502
"July 11, 2019",6.476
"July 10, 2019",6.476
"July 9, 2019",6.378
"July 8, 2019",6.390
"July 5, 2019",6.387
"July 3, 2019",6.378
"July 2, 2019",6.358
"July 1, 2019",6.448
"June 30, 2019",6.429
"June 28, 2019",6.645
"June 27, 2019",6.581
"June 26, 2019",6.620
"June 25, 2019",6.606
"June 24, 2019",6.668
"June 21, 2019",6.668
"June 20, 2019",6.637
"June 19, 2019",6.570
"June 18, 2019",6.572
"June 17, 2019",6.498
"June 14, 2019",6.470
"June 13, 2019",6.475
"June 12, 2019",6.440
"June 11, 2019",6.487
"June 10, 2019",6.541
"June 7, 2019",6.502
"June 6, 2019",6.464
"June 5, 2019",6.317
"June 4, 2019",6.300
"June 3, 2019",6.237
"May 31, 2019",6.134
"May 30, 2019",6.208
"May 29, 2019",6.275
"May 28, 2019",6.349
"May 24, 2019",6.368
"May 23, 2019",6.328
"May 22, 2019",6.458
"May 21, 2019",6.495
"May 20, 2019",6.471
"May 17, 2019",6.456
"May 16, 2019",6.469
"May 15, 2019",6.534
"May 14, 2019",6.510
"May 13, 2019",6.452
"May 10, 2019",6.527
"May 9, 2019",6.488
"May 8, 2019",6.310
"May 7, 2019",6.347
"May 6, 2019",6.354
"May 3, 2019",6.299
"May 2, 2019",6.256
"May 1, 2019",6.325
"April 30, 2019",6.434
"April 29, 2019",6.321
"April 26, 2019",6.291
"April 25, 2019",6.329
"April 24, 2019",6.348
"April 23, 2019",6.528
"April 22, 2019",6.522
"April 18, 2019",6.424
"April 17, 2019",6.444
"April 16, 2019",6.487
"April 15, 2019",6.438
"April 12, 2019",6.419
"April 11, 2019",6.720
"April 10, 2019",6.696
"April 9, 2019",6.698
"April 8, 2019",6.753
"April 5, 2019",6.740
"April 4, 2019",6.662
"April 3, 2019",6.618
"April 2, 2019",6.668
"April 1, 2019",6.668
"March 31, 2019",6.584
"March 29, 2019",6.373
"March 28, 2019",6.366
"March 27, 2019",6.355
"March 26, 2019",6.418
"March 25, 2019",6.360
"March 22, 2019",6.369
"March 21, 2019",6.499
"March 20, 2019",6.444
"March 19, 2019",6.472
"March 18, 2019",6.500
"March 15, 2019",6.473
"March 14, 2019",6.430
"March 13, 2019",6.433
"March 12, 2019",6.397
"March 11, 2019",6.384
"March 8, 2019",6.290
"March 7, 2019",6.305
"March 6, 2019",6.380
"March 5, 2019",6.368
"March 4, 2019",6.314
"March 1, 2019",6.310
"Feb. 28, 2019",6.195
"Feb. 27, 2019",6.219
"Feb. 26, 2019",6.212
"Feb. 25, 2019",6.197
"Feb. 22, 2019",6.186
"Feb. 21, 2019",6.175
"Feb. 20, 2019",6.228
"Feb. 19, 2019",6.183
"Feb. 15, 2019",6.185
"Feb. 14, 2019",6.129
"Feb. 13, 2019",6.195
