date,fulmer_h_score
"Dec. 31, 2019",8.681
"Sept. 30, 2019",9.587
"June 30, 2019",9.857
"March 31, 2019",9.545
"Dec. 31, 2018",9.719
"Sept. 30, 2018",9.334
"June 30, 2018",8.995
"March 31, 2018",8.936
"Dec. 31, 2017",8.972
"Sept. 30, 2017",9.124
"June 30, 2017",8.738
"March 31, 2017",7.767
"Dec. 31, 2016",
"Sept. 30, 2016",
"June 30, 2016",
"March 31, 2016",
"Dec. 31, 2015",
"Sept. 30, 2015",
"June 30, 2015",
"March 31, 2015",
"Dec. 31, 2014",
"Sept. 30, 2014",
"June 30, 2014",
"March 31, 2014",
"Dec. 31, 2013",
"Sept. 30, 2013",
"June 30, 2013",
"March 31, 2013",
"Dec. 31, 2012",
"Sept. 30, 2012",
"June 30, 2012",
"March 31, 2012",
"Dec. 31, 2011",
"Sept. 30, 2011",21.29
"June 30, 2011",18.29
"March 31, 2011",16.84
"Dec. 31, 2010",16.33
"Sept. 30, 2010",16.40
"June 30, 2010",16.09
"March 31, 2010",15.22
"Dec. 31, 2009",14.36
"Sept. 30, 2009",14.08
"June 30, 2009",14.77
"March 31, 2009",15.94
"Dec. 31, 2008",
"Sept. 30, 2008",
"June 30, 2008",
"March 31, 2008",
"Dec. 31, 2007",
"Sept. 30, 2007",
"June 30, 2007",
"March 31, 2007",
"Dec. 31, 2006",
"Sept. 30, 2006",
"June 30, 2006",
"March 31, 2006",
"Dec. 31, 2005",
"Sept. 30, 2005",
"June 30, 2005",
"March 31, 2005",
"Dec. 31, 2004",
"Sept. 30, 2004",
"June 30, 2004",
"March 31, 2004",
"Dec. 31, 2003",
"Sept. 30, 2003",
"June 30, 2003",
"March 31, 2003",
"Dec. 31, 2002",
"Sept. 30, 2002",
"June 30, 2002",9.443
"March 31, 2002",8.608
"Dec. 31, 2001",8.320
"Sept. 30, 2001",11.13
"June 30, 2001",10.94
"March 31, 2001",10.76
"Dec. 31, 2000",8.510
"Sept. 30, 2000",9.134
"June 30, 2000",8.520
"March 31, 2000",7.838
"Dec. 31, 1999",7.060
"Sept. 30, 1999",5.077
"June 30, 1999",5.035
"March 31, 1999",5.238
"Dec. 31, 1998",5.483
"Sept. 30, 1998",6.294
"June 30, 1998",6.494
"March 31, 1998",6.768
"Dec. 31, 1997",7.250
"Sept. 30, 1997",7.297
"June 30, 1997",7.036
"March 31, 1997",7.018
"Dec. 31, 1996",6.847
"Sept. 30, 1996",6.229
"June 30, 1996",6.036
"March 31, 1996",5.600
"Dec. 31, 1995",5.247
"Sept. 30, 1995",5.813
"June 30, 1995",5.767
"March 31, 1995",5.495
"Dec. 31, 1994",5.570
"Sept. 30, 1994",5.234
"June 30, 1994",5.347
