date,graham_number
"Dec. 31, 2019",51.02
"Sept. 30, 2019",113.69
"June 30, 2019",119.62
"March 31, 2019",115.07
"Dec. 31, 2018",118.93
"Sept. 30, 2018",115.92
"June 30, 2018",106.53
"March 31, 2018",97.23
"Dec. 31, 2017",92.12
"Sept. 30, 2017",77.21
"June 30, 2017",73.12
"March 31, 2017",51.61
"Dec. 31, 2016",
"Sept. 30, 2016",
"June 30, 2016",
"March 31, 2016",35.19
"Dec. 31, 2015",66.87
"Sept. 30, 2015",92.40
"June 30, 2015",109.39
"March 31, 2015",130.60
"Dec. 31, 2014",137.18
"Sept. 30, 2014",142.06
"June 30, 2014",138.10
"March 31, 2014",135.23
"Dec. 31, 2013",139.44
"Sept. 30, 2013",143.87
"June 30, 2013",143.27
"March 31, 2013",146.68
"Dec. 31, 2012",144.98
"Sept. 30, 2012",136.55
"June 30, 2012",141.49
"March 31, 2012",139.61
"Dec. 31, 2011",136.12
"Sept. 30, 2011",166.68
"June 30, 2011",154.15
"March 31, 2011",145.33
"Dec. 31, 2010",138.64
"Sept. 30, 2010",97.82
"June 30, 2010",96.86
"March 31, 2010",83.90
"Dec. 31, 2009",73.47
"Sept. 30, 2009",79.07
"June 30, 2009",89.29
"March 31, 2009",99.54
"Dec. 31, 2008",106.54
"Sept. 30, 2008",105.46
"June 30, 2008",92.27
"March 31, 2008",88.40
"Dec. 31, 2007",85.30
"Sept. 30, 2007",80.87
"June 30, 2007",82.68
"March 31, 2007",78.23
"Dec. 31, 2006",74.76
"Sept. 30, 2006",75.43
"June 30, 2006",70.56
"March 31, 2006",68.17
"Dec. 31, 2005",64.27
"Sept. 30, 2005",61.70
"June 30, 2005",56.91
"March 31, 2005",56.37
"Dec. 31, 2004",55.07
"Sept. 30, 2004",49.89
"June 30, 2004",46.41
"March 31, 2004",38.95
"Dec. 31, 2003",36.48
"Sept. 30, 2003",33.83
"June 30, 2003",24.34
"March 31, 2003",19.45
"Dec. 31, 2002",13.28
"Sept. 30, 2002",
"June 30, 2002",19.46
"March 31, 2002",26.11
"Dec. 31, 2001",31.66
"Sept. 30, 2001",41.81
"June 30, 2001",42.33
"March 31, 2001",40.65
"Dec. 31, 2000",48.09
"Sept. 30, 2000",33.77
"June 30, 2000",29.57
"March 31, 2000",25.63
"Dec. 31, 1999",28.17
"Sept. 30, 1999",15.41
"June 30, 1999",14.45
"March 31, 1999",16.16
"Dec. 31, 1998",17.30
"Sept. 30, 1998",23.62
"June 30, 1998",24.90
"March 31, 1998",25.86
"Dec. 31, 1997",27.23
"Sept. 30, 1997",25.15
"June 30, 1997",24.52
"March 31, 1997",24.50
"Dec. 31, 1996",23.17
"Sept. 30, 1996",18.78
"June 30, 1996",16.50
"March 31, 1996",14.53
"Dec. 31, 1995",13.30
"Sept. 30, 1995",19.87
"June 30, 1995",20.66
"March 31, 1995",18.63
"Dec. 31, 1994",18.08
"Sept. 30, 1994",16.07
"June 30, 1994",15.96
"March 31, 1994",14.72
"Dec. 31, 1993",13.71
