date,operating_pe_ratio
"March 19, 2020",1087.55
"March 18, 2020",1043.21
"March 17, 2020",1339.59
"March 16, 2020",1320.83
"March 13, 2020",1580.82
"March 12, 2020",1445.14
"March 11, 2020",1573.43
"March 10, 2020",1610.39
"March 9, 2020",1528.71
"March 6, 2020",1806.33
"March 5, 2020",1841.77
"March 4, 2020",1867.16
"March 3, 2020",1788.71
"March 2, 2020",1830.40
"Feb. 28, 2020",1768.81
"Feb. 27, 2020",1783.78
"Feb. 26, 2020",1857.88
"Feb. 25, 2020",1908.47
"Feb. 24, 2020",1984.27
"Feb. 21, 2020",2065.76
"Feb. 20, 2020",2080.92
"Feb. 19, 2020",2098.54
"Feb. 18, 2020",2089.07
"Feb. 14, 2020",2086.04
"Feb. 13, 2020",2115.98
"Feb. 12, 2020",2123.18
"Feb. 11, 2020",2107.45
"Feb. 10, 2020",2080.54
"Feb. 7, 2020",2064.43
"Feb. 6, 2020",2074.86
"Feb. 5, 2020",2089.83
"Feb. 4, 2020",2024.83
"Feb. 3, 2020",2014.03
"Jan. 31, 2020",2030.32
"Jan. 30, 2020",2111.05
"Jan. 29, 2020",2091.53
"Jan. 28, 2020",2105.74
"Jan. 27, 2020",2091.91
"Jan. 24, 2020",2119.58
"Jan. 23, 2020",2143.27
"Jan. 22, 2020",2139.48
"Jan. 21, 2020",2147.25
"Jan. 17, 2020",2190.26
"Jan. 16, 2020",2215.09
"Jan. 15, 2020",2200.68
"Jan. 14, 2020",2203.91
"Jan. 13, 2020",2210.73
"Jan. 10, 2020",2206.56
"Jan. 9, 2020",2226.84
"Jan. 8, 2020",2230.44
"Jan. 7, 2020",2256.21
"Jan. 6, 2020",2285.39
"Jan. 3, 2020",2293.16
"Jan. 2, 2020",2301.12
"Dec. 31, 2019",2283.69
"Dec. 30, 2019",17.14
"Dec. 27, 2019",17.20
"Dec. 26, 2019",17.24
"Dec. 24, 2019",17.21
"Dec. 23, 2019",17.21
"Dec. 20, 2019",17.11
"Dec. 19, 2019",16.89
"Dec. 18, 2019",16.95
"Dec. 17, 2019",16.96
"Dec. 16, 2019",17.07
"Dec. 13, 2019",16.87
"Dec. 12, 2019",16.99
"Dec. 11, 2019",16.62
"Dec. 10, 2019",16.86
"Dec. 9, 2019",16.77
"Dec. 6, 2019",16.87
"Dec. 5, 2019",16.63
"Dec. 4, 2019",16.72
"Dec. 3, 2019",16.57
"Dec. 2, 2019",16.70
"Nov. 29, 2019",16.75
"Nov. 27, 2019",16.88
"Nov. 26, 2019",16.84
"Nov. 25, 2019",16.93
"Nov. 22, 2019",16.96
"Nov. 21, 2019",16.98
"Nov. 20, 2019",16.78
"Nov. 19, 2019",16.65
