date,receivables_turnover
"Dec. 31, 2019",2.630
"Sept. 30, 2019",2.543
"June 30, 2019",2.478
"March 31, 2019",2.281
"Dec. 31, 2018",2.534
"Sept. 30, 2018",2.517
"June 30, 2018",2.496
"March 31, 2018",2.311
"Dec. 31, 2017",2.468
"Sept. 30, 2017",2.484
"June 30, 2017",2.442
"March 31, 2017",2.264
"Dec. 31, 2016",2.265
"Sept. 30, 2016",2.242
"June 30, 2016",2.146
"March 31, 2016",1.822
"Dec. 31, 2015",2.068
"Sept. 30, 2015",2.156
"June 30, 2015",2.346
"March 31, 2015",2.021
"Dec. 31, 2014",2.294
"Sept. 30, 2014",2.494
"June 30, 2014",2.656
"March 31, 2014",2.433
"Dec. 31, 2013",2.494
"Sept. 30, 2013",2.701
"June 30, 2013",2.619
"March 31, 2013",2.527
"Dec. 31, 2012",2.650
"Sept. 30, 2012",2.640
"June 30, 2012",2.799
"March 31, 2012",2.689
"Dec. 31, 2011",2.646
"Sept. 30, 2011",2.796
"June 30, 2011",2.936
"March 31, 2011",2.738
"Dec. 31, 2010",2.654
"Sept. 30, 2010",2.702
"June 30, 2010",2.868
"March 31, 2010",2.636
"Dec. 31, 2009",2.748
"Sept. 30, 2009",2.704
"June 30, 2009",2.544
"March 31, 2009",2.347
"Dec. 31, 2008",2.174
"Sept. 30, 2008",2.781
"June 30, 2008",2.99
"March 31, 2008",2.794
"Dec. 31, 2007",2.910
"Sept. 30, 2007",2.821
"June 30, 2007",3.046
"March 31, 2007",2.748
"Dec. 31, 2006",2.626
"Sept. 30, 2006",2.922
"June 30, 2006",2.990
"March 31, 2006",3.155
"Dec. 31, 2005",3.077
"Sept. 30, 2005",3.339
"June 30, 2005",3.391
"March 31, 2005",3.189
"Dec. 31, 2004",3.884
"Sept. 30, 2004",3.194
"June 30, 2004",3.082
"March 31, 2004",3.212
"Dec. 31, 2003",3.688
"Sept. 30, 2003",3.055
"June 30, 2003",2.951
"March 31, 2003",3.142
"Dec. 31, 2002",2.903
"Sept. 30, 2002",2.864
"June 30, 2002",2.821
"March 31, 2002",2.410
"Dec. 31, 2001",12.11
"Sept. 30, 2001",3.570
"June 30, 2001",3.728
"March 31, 2001",1.734
"Dec. 31, 2000",11.12
"Sept. 30, 2000",3.454
"June 30, 2000",3.236
"March 31, 2000",1.774
"Dec. 31, 1999",9.581
"Sept. 30, 1999",3.196
"June 30, 1999",3.014
"March 31, 1999",2.395
"Dec. 31, 1998",2.493
"Sept. 30, 1998",2.568
"June 30, 1998",2.630
"March 31, 1998",2.352
"Dec. 31, 1997",2.999
"Sept. 30, 1997",2.994
"June 30, 1997",2.872
"March 31, 1997",2.862
"Dec. 31, 1996",2.732
"Sept. 30, 1996",2.533
"June 30, 1996",2.565
"March 31, 1996",2.503
"Dec. 31, 1995",2.347
"Sept. 30, 1995",2.280
"June 30, 1995",2.295
"March 31, 1995",2.295
"Dec. 31, 1994",2.315
"Sept. 30, 1994",2.292
"June 30, 1994",2.192
"March 31, 1994",2.164
