date,beneish_m_score
"Dec. 31, 2019",-2.622
"Dec. 31, 2018",-2.656
"Dec. 31, 2017",-2.499
"Dec. 31, 2016",-2.693
"Dec. 31, 2015",-3.134
"Dec. 31, 2014",-2.386
"Dec. 31, 2013",-1.944
"Dec. 31, 2012",-2.547
"Dec. 31, 2011",-2.542
"Dec. 31, 2010",-1.674
"Dec. 31, 2009",-2.934
"Dec. 31, 2008",-2.866
"Dec. 31, 2007",
"Dec. 31, 2006",
"Dec. 31, 2005",
"Dec. 31, 2004",
"Dec. 31, 2003",
"Dec. 31, 2002",
"Dec. 31, 2001",
"Dec. 31, 2000",
"June 30, 2000",
"June 30, 1999",
"June 30, 1998",
"June 30, 1997",-3.779
"June 30, 1996",-3.785
"June 30, 1995",-3.665
"June 30, 1994",-3.970
"June 30, 1993",-3.640
"June 30, 1992",-3.510
"June 30, 1991",-4.123
