date,book_value_of_equity_per_share
"Dec. 31, 2019",23.89
"Sept. 30, 2019",23.30
"June 30, 2019",21.47
"March 31, 2019",19.71
"Dec. 31, 2018",20.13
"Sept. 30, 2018",19.99
"June 30, 2018",18.60
"March 31, 2018",17.88
"Dec. 31, 2017",17.72
"Sept. 30, 2017",19.64
"June 30, 2017",18.62
"March 31, 2017",17.60
"Dec. 31, 2016",16.81
"Sept. 30, 2016",16.99
"June 30, 2016",15.77
"March 31, 2016",14.58
"Dec. 31, 2015",13.93
"Sept. 30, 2015",13.15
"June 30, 2015",12.02
"March 31, 2015",11.08
"Dec. 31, 2014",10.68
"Sept. 30, 2014",14.69
"June 30, 2014",14.48
"March 31, 2014",13.73
"Dec. 31, 2013",13.67
"Sept. 30, 2013",0.1601
"June 30, 2013",-1.38
"March 31, 2013",-2.269
"Dec. 31, 2012",-2.503
"Sept. 30, 2012",-0.0564
"June 30, 2012",-1.335
"March 31, 2012",-1.19
"Dec. 31, 2011",-1.652
"Sept. 30, 2011",1.442
"June 30, 2011",0.9278
"March 31, 2011",0.8967
"Dec. 31, 2010",1.075
"Sept. 30, 2010",0.9063
"June 30, 2010",0.2523
"March 31, 2010",0.0914
"Dec. 31, 2009",0.3125
"Sept. 30, 2009",1.155
"June 30, 2009",1.260
"March 31, 2009",0.6726
"Dec. 31, 2008",1.252
"Sept. 30, 2008",7.749
"June 30, 2008",12.24
"March 31, 2008",13.52
"Dec. 31, 2007",34.61
"Sept. 30, 2007",36.22
"June 30, 2007",39.36
"March 31, 2007",-69.30
"Dec. 31, 2006",-68.88
"Sept. 30, 2006",-70.29
"June 30, 2006",-70.27
"March 31, 2006",-59.10
"Dec. 31, 2005",-52.26
"Sept. 30, 2005",-55.64
"June 30, 2005",-51.19
"March 31, 2005",-49.61
"Dec. 31, 2004",-44.79
"Sept. 30, 2004",-31.66
"June 30, 2004",-26.99
"March 31, 2004",-11.63
"Dec. 31, 2003",-5.338
"Sept. 30, 2003",0.5917
"June 30, 2003",2.035
"March 31, 2003",0.5915
"Dec. 31, 2002",7.239
"Sept. 30, 2002",19.52
"June 30, 2002",22.22
"March 31, 2002",24.08
"Dec. 31, 2001",26.91
"Sept. 30, 2001",33.97
"June 30, 2001",37.17
"March 31, 2001",41.68
"Sept. 30, 2000",44.52
"June 30, 2000",36.66
"March 31, 2000",31.26
"Dec. 31, 1999",32.55
"Sept. 30, 1999",33.71
"June 30, 1999",54.12
"March 31, 1999",60.16
"Dec. 31, 1998",58.22
"Sept. 30, 1998",55.78
"June 30, 1998",48.13
"March 31, 1998",52.39
"Dec. 31, 1997",48.61
"Sept. 30, 1997",46.24
"June 30, 1997",41.05
"March 31, 1997",36.42
"Dec. 31, 1996",34.12
"Sept. 30, 1996",34.60
"June 30, 1996",52.36
"March 31, 1996",38.56
"Dec. 31, 1995",43.45
"Sept. 30, 1995",42.16
"June 30, 1995",38.48
"March 31, 1995",33.97
"Dec. 31, 1994",34.31
"Sept. 30, 1994",35.31
"June 30, 1994",15.56
"March 31, 1994",17.76
"Dec. 31, 1993",18.81
"Sept. 30, 1993",20.41
"June 30, 1993",19.93
"March 31, 1993",26.36
"Dec. 31, 1992",27.97
"Sept. 30, 1992",29.45
"June 30, 1992",19.77
"March 31, 1992",21.79
"Dec. 31, 1991",23.55
"Sept. 30, 1991",25.52
"June 30, 1991",25.36
"March 31, 1991",23.83
"Dec. 31, 1990",24.55
"Sept. 30, 1990",27.12
"June 30, 1990",28.41
"March 31, 1990",28.30
"Dec. 31, 1989",28.44
"Sept. 30, 1989",27.77
"June 30, 1989",26.59
"March 31, 1989",
"Dec. 31, 1988",
"Sept. 30, 1988",
"June 30, 1988",22.49
"March 31, 1988",
"Dec. 31, 1987",
"Sept. 30, 1987",
"June 30, 1987",19.92
"March 31, 1987",
"Dec. 31, 1986",
"Sept. 30, 1986",
"June 30, 1986",16.23
"March 31, 1986",
"Dec. 31, 1985",
"Sept. 30, 1985",
"June 30, 1985",16.11
"March 31, 1985",
"Dec. 31, 1984",
"Sept. 30, 1984",
"June 30, 1984",13.19
