date,cash_dividend_payout_ratio
"Dec. 31, 2019",28.09%
"Sept. 30, 2019",27.54%
"June 30, 2019",34.53%
"March 31, 2019",39.70%
"Dec. 31, 2018",49.24%
"Sept. 30, 2018",32.84%
"June 30, 2018",30.75%
"March 31, 2018",27.83%
"Dec. 31, 2017",64.58%
"Sept. 30, 2017",89.62%
"June 30, 2017",47.15%
"March 31, 2017",26.85%
"Dec. 31, 2016",13.31%
"Sept. 30, 2016",11.39%
"June 30, 2016",9.56%
"March 31, 2016",9.60%
"Dec. 31, 2015",7.21%
"Sept. 30, 2015",7.65%
"June 30, 2015",8.03%
"March 31, 2015",8.06%
"Dec. 31, 2014",9.30%
"Sept. 30, 2014",7.56%
"June 30, 2014",7.72%
"March 31, 2014",7.79%
"Dec. 31, 2013",5.14%
"Sept. 30, 2013",2.88%
"June 30, 2013",0.00%
"March 31, 2013",0.00%
"Dec. 31, 2012",0.00%
"Sept. 30, 2012",0.00%
"June 30, 2012",0.00%
"March 31, 2012",0.00%
"Dec. 31, 2011",0.00%
"Sept. 30, 2011",0.00%
"June 30, 2011",0.00%
"March 31, 2011",0.00%
"Dec. 31, 2010",0.00%
"Sept. 30, 2010",0.00%
"June 30, 2010",0.00%
"March 31, 2010",0.00%
"Dec. 31, 2009",0.00%
"Sept. 30, 2009",0.00%
"June 30, 2009",0.00%
"March 31, 2009",0.00%
"Dec. 31, 2008",0.00%
"Sept. 30, 2008",0.00%
"June 30, 2008",0.00%
"March 31, 2008",0.00%
"Dec. 31, 2007",0.00%
"Sept. 30, 2007",0.00%
"June 30, 2007",0.00%
"March 31, 2007",0.00%
"Dec. 31, 2006",0.00%
"Sept. 30, 2006",0.00%
"June 30, 2006",0.00%
"March 31, 2006",0.00%
"Dec. 31, 2005",0.00%
"Sept. 30, 2005",0.00%
"June 30, 2005",0.00%
"March 31, 2005",0.00%
"Dec. 31, 2004",0.00%
"Sept. 30, 2004",-1.48%
"June 30, 2004",0.00%
"March 31, 2004",-3.89%
"Dec. 31, 2003",-6.53%
"Sept. 30, 2003",-9.83%
"June 30, 2003",-18.66%
"March 31, 2003",-6.15%
"Dec. 31, 2002",-3.90%
"Sept. 30, 2002",-1.93%
"June 30, 2002",-1.57%
"March 31, 2002",-1.34%
"Dec. 31, 2001",-1.56%
"Sept. 30, 2001",-2.08%
"June 30, 2001",-4.36%
"March 31, 2001",2.14%
"Sept. 30, 2000",-10.51%
"June 30, 2000",-4.61%
"March 31, 2000",12.39%
"Dec. 31, 1999",-2.48%
"Sept. 30, 1999",-159.3%
"June 30, 1999",36.44%
"March 31, 1999",-5.01%
"Dec. 31, 1998",-60.00%
"Sept. 30, 1998",91.49%
"June 30, 1998",6.88%
"March 31, 1998",6.38%
"Dec. 31, 1997",9.93%
"Sept. 30, 1997",8.33%
"June 30, 1997",48.35%
"March 31, 1997",20.45%
"Dec. 31, 1996",14.83%
"Sept. 30, 1996",17.83%
"June 30, 1996",26.37%
"March 31, 1996",32.17%
"Dec. 31, 1995",46.33%
"Sept. 30, 1995",40.96%
"June 30, 1995",24.59%
"March 31, 1995",25.70%
"Dec. 31, 1994",15.40%
"Sept. 30, 1994",36.76%
"June 30, 1994",100.8%
"March 31, 1994",-177.6%
"Dec. 31, 1993",-16.24%
"Sept. 30, 1993",-27.19%
"June 30, 1993",-18.81%
"March 31, 1993",-9.00%
"Dec. 31, 1992",-6.56%
"Sept. 30, 1992",-4.48%
"June 30, 1992",-3.83%
"March 31, 1992",-4.86%
"Dec. 31, 1991",-4.27%
"Sept. 30, 1991",-4.59%
"June 30, 1991",-4.60%
"March 31, 1991",-4.33%
"Dec. 31, 1990",-6.02%
"Sept. 30, 1990",-10.47%
"June 30, 1990",-12.83%
