Ex-Date,Record Date,Pay Date,Declared Date,Type,Amoun
02/19/2020,02/20/2020,03/12/2020,02/06/2020,Normal,0.4025
10/23/2019,10/24/2019,11/14/2019,10/10/2019,Normal,0.4025
07/24/2019,07/25/2019,08/15/2019,07/11/2019,Normal,0.4025
05/01/2019,05/02/2019,05/23/2019,04/18/2019,Normal,0.35
02/28/2019,03/01/2019,03/22/2019,02/07/2019,Normal,0.35
11/06/2018,11/07/2018,11/28/2018,10/24/2018,Normal,0.35
07/25/2018,07/26/2018,08/16/2018,07/12/2018,Normal,0.35
05/10/2018,05/11/2018,06/01/2018,04/30/2018,Normal,0.305
02/22/2018,02/23/2018,03/16/2018,02/12/2018,Normal,0.305
11/16/2017,11/17/2017,12/08/2017,11/03/2017,Normal,0.305
08/21/2017,08/23/2017,09/13/2017,08/09/2017,Normal,0.305
05/17/2017,05/19/2017,06/09/2017,05/05/2017,Normal,0.2025
02/22/2017,02/24/2017,03/17/2017,02/10/2017,Normal,0.2025
11/08/2016,11/11/2016,12/02/2016,10/28/2016,Normal,0.2025
08/10/2016,08/12/2016,09/02/2016,07/29/2016,Normal,0.2025
05/09/2016,05/11/2016,06/01/2016,04/27/2016,Normal,0.135
02/12/2016,02/17/2016,03/09/2016,02/03/2016,Normal,0.135
11/04/2015,11/06/2015,11/30/2015,10/23/2015,Normal,0.135
08/05/2015,08/07/2015,08/28/2015,07/24/2015,Normal,0.135
05/06/2015,05/08/2015,05/29/2015,04/24/2015,Normal,0.09
02/18/2015,02/20/2015,03/13/2015,02/06/2015,Normal,0.09
11/05/2014,11/07/2014,12/01/2014,10/24/2014,Normal,0.09
08/06/2014,08/08/2014,08/29/2014,07/25/2014,Normal,0.09
05/07/2014,05/09/2014,05/30/2014,04/25/2014,Normal,0.06
02/19/2014,02/21/2014,03/14/2014,02/07/2014,Normal,0.06
11/04/2013,11/06/2013,11/26/2013,10/25/2013,Normal,0.06
08/07/2013,08/09/2013,09/10/2013,05/09/2013,Normal,0.06
