date,earning_yield
"March 19, 2020",34.03%
"March 18, 2020",31.16%
"March 17, 2020",23.06%
"March 16, 2020",20.44%
"March 13, 2020",19.08%
"March 12, 2020",21.71%
"March 11, 2020",17.15%
"March 10, 2020",16.10%
"March 9, 2020",16.82%
"March 6, 2020",15.95%
"March 5, 2020",16.26%
"March 4, 2020",15.09%
"March 3, 2020",15.85%
"March 2, 2020",15.52%
"Feb. 28, 2020",15.87%
"Feb. 27, 2020",15.19%
"Feb. 26, 2020",14.76%
"Feb. 25, 2020",14.38%
"Feb. 24, 2020",13.50%
"Feb. 21, 2020",12.65%
"Feb. 20, 2020",12.54%
"Feb. 19, 2020",12.51%
"Feb. 18, 2020",12.47%
"Feb. 14, 2020",12.43%
"Feb. 13, 2020",12.38%
"Feb. 12, 2020",12.31%
"Feb. 11, 2020",12.48%
"Feb. 10, 2020",12.68%
"Feb. 7, 2020",12.64%
"Feb. 6, 2020",12.58%
"Feb. 5, 2020",12.43%
"Feb. 4, 2020",12.64%
"Feb. 3, 2020",13.06%
"Jan. 31, 2020",13.13%
"Jan. 30, 2020",12.82%
"Jan. 29, 2020",12.92%
"Jan. 28, 2020",12.73%
"Jan. 27, 2020",12.88%
"Jan. 24, 2020",12.45%
"Jan. 23, 2020",12.15%
"Jan. 22, 2020",12.27%
"Jan. 21, 2020",12.13%
"Jan. 17, 2020",11.80%
"Jan. 16, 2020",11.83%
"Jan. 15, 2020",11.88%
"Jan. 14, 2020",11.91%
"Jan. 13, 2020",12.30%
"Jan. 10, 2020",12.36%
"Jan. 9, 2020",12.42%
"Jan. 8, 2020",12.44%
"Jan. 7, 2020",12.71%
"Jan. 6, 2020",12.70%
"Jan. 3, 2020",12.61%
"Jan. 2, 2020",12.40%
"Dec. 31, 2019",12.52%
"Dec. 30, 2019",12.10%
"Dec. 27, 2019",12.02%
"Dec. 26, 2019",11.92%
"Dec. 24, 2019",11.95%
"Dec. 23, 2019",11.94%
"Dec. 20, 2019",12.04%
"Dec. 19, 2019",12.01%
"Dec. 18, 2019",12.12%
"Dec. 17, 2019",12.10%
"Dec. 16, 2019",12.15%
"Dec. 13, 2019",12.52%
"Dec. 12, 2019",12.52%
"Dec. 11, 2019",12.89%
"Dec. 10, 2019",12.79%
"Dec. 9, 2019",12.72%
"Dec. 6, 2019",12.65%
"Dec. 5, 2019",12.71%
"Dec. 4, 2019",12.66%
"Dec. 3, 2019",12.77%
"Dec. 2, 2019",12.51%
"Nov. 29, 2019",12.39%
"Nov. 27, 2019",12.44%
"Nov. 26, 2019",12.36%
"Nov. 25, 2019",12.60%
"Nov. 22, 2019",12.65%
"Nov. 21, 2019",12.84%
"Nov. 20, 2019",12.75%
"Nov. 19, 2019",12.44%
"Nov. 18, 2019",12.44%
"Nov. 15, 2019",12.49%
"Nov. 14, 2019",12.56%
"Nov. 13, 2019",12.57%
"Nov. 12, 2019",12.41%
"Nov. 11, 2019",12.41%
"Nov. 8, 2019",12.33%
"Nov. 7, 2019",12.31%
"Nov. 6, 2019",12.33%
"Nov. 5, 2019",12.35%
"Nov. 4, 2019",12.48%
"Nov. 1, 2019",12.67%
"Oct. 31, 2019",12.89%
"Oct. 30, 2019",12.83%
"Oct. 29, 2019",12.82%
"Oct. 28, 2019",12.87%
"Oct. 25, 2019",13.00%
"Oct. 24, 2019",13.20%
"Oct. 23, 2019",13.19%
"Oct. 22, 2019",12.99%
"Oct. 21, 2019",13.01%
"Oct. 18, 2019",13.19%
"Oct. 17, 2019",13.30%
"Oct. 16, 2019",13.35%
"Oct. 15, 2019",13.24%
"Oct. 14, 2019",13.40%
"Oct. 11, 2019",13.41%
"Oct. 10, 2019",13.37%
"Oct. 9, 2019",13.17%
"Oct. 8, 2019",13.35%
"Oct. 7, 2019",13.31%
"Oct. 4, 2019",13.19%
"Oct. 3, 2019",13.44%
"Oct. 2, 2019",13.06%
"Oct. 1, 2019",12.45%
"Sept. 30, 2019",12.33%
"Sept. 27, 2019",11.51%
"Sept. 26, 2019",11.42%
"Sept. 25, 2019",11.51%
"Sept. 24, 2019",11.57%
"Sept. 23, 2019",11.56%
"Sept. 20, 2019",11.44%
"Sept. 19, 2019",11.43%
"Sept. 18, 2019",11.31%
"Sept. 17, 2019",11.30%
"Sept. 16, 2019",11.36%
"Sept. 13, 2019",11.18%
"Sept. 12, 2019",11.29%
"Sept. 11, 2019",11.42%
"Sept. 10, 2019",11.44%
"Sept. 9, 2019",11.55%
"Sept. 6, 2019",11.57%
"Sept. 5, 2019",11.53%
"Sept. 4, 2019",11.72%
"Sept. 3, 2019",11.71%
"Aug. 30, 2019",11.60%
"Aug. 29, 2019",11.59%
"Aug. 28, 2019",11.84%
"Aug. 27, 2019",11.95%
"Aug. 26, 2019",11.92%
"Aug. 23, 2019",11.94%
"Aug. 22, 2019",11.58%
"Aug. 21, 2019",11.57%
"Aug. 20, 2019",11.63%
"Aug. 19, 2019",11.53%
"Aug. 16, 2019",11.56%
"Aug. 15, 2019",11.75%
"Aug. 14, 2019",11.72%
"Aug. 13, 2019",11.40%
"Aug. 12, 2019",11.44%
"Aug. 9, 2019",11.27%
"Aug. 8, 2019",11.18%
"Aug. 7, 2019",11.33%
"Aug. 6, 2019",11.41%
"Aug. 5, 2019",11.60%
"Aug. 2, 2019",11.16%
"Aug. 1, 2019",11.12%
"July 31, 2019",10.99%
"July 30, 2019",10.71%
"July 29, 2019",10.74%
"July 26, 2019",10.79%
"July 25, 2019",10.78%
"July 24, 2019",10.62%
"July 23, 2019",10.64%
"July 22, 2019",10.95%
"July 19, 2019",11.02%
"July 18, 2019",10.71%
"July 17, 2019",10.78%
"July 16, 2019",10.62%
"July 15, 2019",10.88%
"July 12, 2019",10.88%
"July 11, 2019",11.15%
"July 10, 2019",11.28%
"July 9, 2019",11.38%
"July 8, 2019",11.30%
"July 5, 2019",11.43%
"July 3, 2019",11.34%
"July 2, 2019",11.46%
"July 1, 2019",11.61%
"June 30, 2019",11.82%
"June 28, 2019",10.56%
"June 27, 2019",10.54%
"June 26, 2019",10.62%
"June 25, 2019",10.71%
"June 24, 2019",10.68%
"June 21, 2019",10.70%
"June 20, 2019",10.70%
"June 19, 2019",10.63%
"June 18, 2019",10.69%
"June 17, 2019",10.76%
"June 14, 2019",10.70%
"June 13, 2019",10.60%
"June 12, 2019",10.80%
"June 11, 2019",10.91%
"June 10, 2019",10.94%
"June 7, 2019",10.88%
"June 6, 2019",10.95%
"June 5, 2019",10.90%
"June 4, 2019",11.03%
"June 3, 2019",11.50%
"May 31, 2019",11.63%
"May 30, 2019",11.30%
"May 29, 2019",11.26%
"May 28, 2019",11.12%
"May 24, 2019",11.07%
"May 23, 2019",11.09%
"May 22, 2019",11.08%
"May 21, 2019",10.92%
"May 20, 2019",11.04%
"May 17, 2019",10.91%
"May 16, 2019",10.82%
"May 15, 2019",10.88%
"May 14, 2019",10.84%
"May 13, 2019",10.93%
"May 10, 2019",10.58%
"May 9, 2019",10.58%
"May 8, 2019",10.61%
"May 7, 2019",10.48%
"May 6, 2019",10.38%
"May 3, 2019",10.36%
"May 2, 2019",10.39%
"May 1, 2019",10.48%
"April 30, 2019",10.28%
"April 29, 2019",10.38%
"April 26, 2019",10.49%
"April 25, 2019",10.56%
"April 24, 2019",10.35%
"April 23, 2019",10.28%
"April 22, 2019",10.37%
"April 18, 2019",10.30%
"April 17, 2019",10.25%
"April 16, 2019",10.31%
"April 15, 2019",10.43%
"April 12, 2019",10.32%
"April 11, 2019",10.26%
"April 10, 2019",10.35%
"April 9, 2019",10.52%
"April 8, 2019",10.38%
"April 5, 2019",10.38%
"April 4, 2019",10.47%
"April 3, 2019",10.51%
"April 2, 2019",10.83%
"April 1, 2019",11.48%
"March 31, 2019",11.60%
"March 29, 2019",11.02%
"March 28, 2019",11.31%
"March 27, 2019",11.39%
"March 26, 2019",11.59%
"March 25, 2019",11.61%
"March 22, 2019",11.43%
"March 21, 2019",11.31%
"March 20, 2019",11.41%
"March 19, 2019",11.17%
"March 18, 2019",11.21%
"March 15, 2019",11.12%
"March 14, 2019",11.17%
"March 13, 2019",11.15%
"March 12, 2019",11.23%
"March 11, 2019",11.13%
"March 8, 2019",11.47%
"March 7, 2019",11.47%
"March 6, 2019",11.45%
"March 5, 2019",11.44%
"March 4, 2019",11.66%
"March 1, 2019",11.62%
"Feb. 28, 2019",11.48%
"Feb. 27, 2019",11.28%
"Feb. 26, 2019",11.13%
"Feb. 25, 2019",11.07%
"Feb. 22, 2019",11.04%
"Feb. 21, 2019",11.05%
"Feb. 20, 2019",11.10%
"Feb. 19, 2019",10.98%
"Feb. 15, 2019",11.14%
"Feb. 14, 2019",11.27%
"Feb. 13, 2019",11.29%
"Feb. 12, 2019",11.41%
"Feb. 11, 2019",11.24%
"Feb. 8, 2019",11.27%
"Feb. 7, 2019",11.29%
"Feb. 6, 2019",11.26%
"Feb. 5, 2019",11.26%
"Feb. 4, 2019",11.30%
"Feb. 1, 2019",11.40%
"Jan. 31, 2019",11.51%
"Jan. 30, 2019",11.32%
"Jan. 29, 2019",11.80%
"Jan. 28, 2019",11.85%
"Jan. 25, 2019",11.93%
"Jan. 24, 2019",11.97%
"Jan. 23, 2019",12.03%
"Jan. 22, 2019",12.08%
"Jan. 18, 2019",11.83%
"Jan. 17, 2019",11.80%
"Jan. 16, 2019",11.98%
"Jan. 15, 2019",11.90%
"Jan. 14, 2019",11.92%
"Jan. 11, 2019",11.72%
"Jan. 10, 2019",11.68%
"Jan. 9, 2019",11.74%
"Jan. 8, 2019",11.99%
"Jan. 7, 2019",11.89%
"Jan. 4, 2019",11.91%
"Jan. 3, 2019",12.48%
"Jan. 2, 2019",11.36%
"Dec. 31, 2018",11.40%
"Dec. 28, 2018",9.21%
"Dec. 27, 2018",9.15%
"Dec. 26, 2018",9.16%
"Dec. 24, 2018",9.63%
"Dec. 21, 2018",9.34%
"Dec. 20, 2018",9.07%
"Dec. 19, 2018",8.90%
"Dec. 18, 2018",8.73%
"Dec. 17, 2018",8.82%
"Dec. 14, 2018",8.63%
"Dec. 13, 2018",8.63%
"Dec. 12, 2018",8.21%
"Dec. 11, 2018",8.27%
"Dec. 10, 2018",8.20%
"Dec. 7, 2018",8.24%
"Dec. 6, 2018",7.95%
"Dec. 4, 2018",8.11%
"Dec. 3, 2018",7.68%
"Nov. 30, 2018",7.61%
"Nov. 29, 2018",7.85%
"Nov. 28, 2018",7.85%
"Nov. 27, 2018",7.92%
"Nov. 26, 2018",8.15%
"Nov. 23, 2018",8.08%
"Nov. 21, 2018",8.25%
"Nov. 20, 2018",8.34%
"Nov. 19, 2018",8.22%
"Nov. 16, 2018",8.26%
"Nov. 15, 2018",8.24%
"Nov. 14, 2018",8.19%
"Nov. 13, 2018",8.13%
"Nov. 12, 2018",8.15%
"Nov. 9, 2018",8.16%
"Nov. 8, 2018",8.14%
"Nov. 7, 2018",8.14%
"Nov. 6, 2018",8.33%
"Nov. 5, 2018",8.24%
"Nov. 2, 2018",8.23%
"Nov. 1, 2018",8.24%
"Oct. 31, 2018",8.44%
"Oct. 30, 2018",8.38%
"Oct. 29, 2018",8.65%
"Oct. 26, 2018",8.67%
"Oct. 25, 2018",8.60%
"Oct. 24, 2018",8.97%
"Oct. 23, 2018",8.64%
"Oct. 22, 2018",8.52%
"Oct. 19, 2018",8.65%
"Oct. 18, 2018",8.70%
"Oct. 17, 2018",8.51%
"Oct. 16, 2018",8.70%
"Oct. 15, 2018",8.91%
"Oct. 12, 2018",8.88%
"Oct. 11, 2018",8.97%
"Oct. 10, 2018",9.29%
"Oct. 9, 2018",9.08%
"Oct. 8, 2018",8.86%
"Oct. 5, 2018",8.77%
"Oct. 4, 2018",8.63%
"Oct. 3, 2018",8.51%
"Oct. 2, 2018",8.45%
"Oct. 1, 2018",8.16%
