date,ebitda_ttm
"Dec. 31, 2019",6.618B
"Sept. 30, 2019",6.242B
"June 30, 2019",5.986B
"March 31, 2019",5.469B
"Dec. 31, 2018",5.264B
"Sept. 30, 2018",5.262B
"June 30, 2018",5.377B
"March 31, 2018",5.846B
"Dec. 31, 2017",5.965B
"Sept. 30, 2017",5.515B
"June 30, 2017",5.634B
"March 31, 2017",6.143B
"Dec. 31, 2016",6.741B
"Sept. 30, 2016",7.614B
"June 30, 2016",7.812B
"March 31, 2016",7.862B
"Dec. 31, 2015",7.638B
"Sept. 30, 2015",5.00B
"June 30, 2015",3.54B
"March 31, 2015",2.518B
"Dec. 31, 2014",1.722B
"Sept. 30, 2014",3.406B
"June 30, 2014",4.249B
"March 31, 2014",3.677B
"Dec. 31, 2013",3.379B
"Sept. 30, 2013",2.943B
"June 30, 2013",2.662B
"March 31, 2013",1.855B
"Dec. 31, 2012",2.031B
"Sept. 30, 2012",2.614B
"June 30, 2012",2.479B
"March 31, 2012",3.196B
"Dec. 31, 2011",3.005B
"Sept. 30, 2011",2.632B
"June 30, 2011",2.462B
"March 31, 2011",2.755B
"Dec. 31, 2010",2.932B
"Sept. 30, 2010",2.767B
"June 30, 2010",2.20B
"March 31, 2010",1.552B
"Dec. 31, 2009",1.065B
"Sept. 30, 2009",-32.00M
"June 30, 2009",-72.00M
"March 31, 2009",-1.246B
"Dec. 31, 2008",-7.09B
"Sept. 30, 2008",-5.962B
"June 30, 2008",-5.553B
"March 31, 2008",-2.672B
"Dec. 31, 2007",3.635B
"Sept. 30, 2007",3.684B
"June 30, 2007",3.353B
"March 31, 2007",1.879B
"Dec. 31, 2006",1.334B
"Sept. 30, 2006",606.00M
"June 30, 2006",222.00M
"March 31, 2006",-268.00M
"Dec. 31, 2005",-728.00M
"Sept. 30, 2005",-2.626B
"June 30, 2005",-2.815B
"March 31, 2005",-2.942B
"Dec. 31, 2004",-2.379B
"Sept. 30, 2004",-488.00M
"June 30, 2004",-152.00M
"March 31, 2004",280.00M
"Dec. 31, 2003",129.00M
"Sept. 30, 2003",-8.168B
"June 30, 2003",-5.631B
"March 31, 2003",-3.232B
"Dec. 31, 2002",-448.00M
"Sept. 30, 2002",-967.00M
"June 30, 2002",-1.037B
"March 31, 2002",-858.00M
"Dec. 31, 2001",-319.00M
"Sept. 30, 2001",12.15B
"June 30, 2001",12.88B
"March 31, 2001",13.00B
"Sept. 30, 2000",12.91B
"June 30, 2000",12.88B
"March 31, 2000",3.51B
"Dec. 31, 1999",3.191B
"Sept. 30, 1999",2.955B
"June 30, 1999",468.00M
"March 31, 1999",588.00M
"Dec. 31, 1998",472.00M
"Sept. 30, 1998",444.00M
"June 30, 1998",2.553B
"March 31, 1998",11.38B
"Dec. 31, 1997",11.34B
"Sept. 30, 1997",11.09B
"June 30, 1997",10.94B
"March 31, 1997",10.70B
"Dec. 31, 1996",10.33B
"Sept. 30, 1996",10.24B
"June 30, 1996",10.15B
"March 31, 1996",10.13B
"Dec. 31, 1995",10.17B
"Sept. 30, 1995",10.15B
"June 30, 1995",10.15B
"March 31, 1995",10.03B
"Dec. 31, 1994",10.03B
"Sept. 30, 1994",10.05B
"June 30, 1994",7.693B
"March 31, 1994",5.217B
"Dec. 31, 1993",2.866B
"Sept. 30, 1993",441.80M
"June 30, 1993",182.30M
"March 31, 1993",-54.10M
"Dec. 31, 1992",-158.40M
"Sept. 30, 1992",-237.70M
"June 30, 1992",-98.30M
"March 31, 1992",177.30M
"Dec. 31, 1991",228.50M
"Sept. 30, 1991",128.40M
"June 30, 1991",15.90M
"March 31, 1991",71.00M
"Dec. 31, 1990",232.80M
"Sept. 30, 1990",616.10M
"June 30, 1990",878.80M
"March 31, 1990",-4.450B
"Dec. 31, 1989",-2.575B
"Sept. 30, 1989",-900.90M
"June 30, 1989",678.30M
"March 31, 1989",1.328B
"Dec. 31, 1988",969.20M
"Sept. 30, 1988",775.30M
"June 30, 1988",497.10M
"March 31, 1988",1.600B
"Dec. 31, 1987",1.373B
"Sept. 30, 1987",906.50M
"June 30, 1987",405.20M
"March 31, 1987",346.70M
"Dec. 31, 1986",3.60M
"Sept. 30, 1986",-74.10M
"June 30, 1986",-53.00M
"March 31, 1986",311.80M
"Dec. 31, 1985",372.10M
"Sept. 30, 1985",379.40M
"June 30, 1985",366.00M
"March 31, 1985",497.80M
"Dec. 31, 1984",406.40M
