date,operating_earning_yield
"March 19, 2020",47.13%
"March 18, 2020",43.16%
"March 17, 2020",31.94%
"March 16, 2020",28.31%
"March 13, 2020",26.43%
"March 12, 2020",30.08%
"March 11, 2020",23.76%
"March 10, 2020",22.30%
"March 9, 2020",23.30%
"March 6, 2020",22.09%
"March 5, 2020",22.53%
"March 4, 2020",20.90%
"March 3, 2020",21.95%
"March 2, 2020",21.50%
"Feb. 28, 2020",21.98%
"Feb. 27, 2020",21.04%
"Feb. 26, 2020",20.44%
"Feb. 25, 2020",19.92%
"Feb. 24, 2020",18.70%
"Feb. 21, 2020",17.52%
"Feb. 20, 2020",17.37%
"Feb. 19, 2020",17.33%
"Feb. 18, 2020",17.27%
"Feb. 14, 2020",17.21%
"Feb. 13, 2020",17.15%
"Feb. 12, 2020",17.05%
"Feb. 11, 2020",17.28%
"Feb. 10, 2020",17.57%
"Feb. 7, 2020",17.50%
"Feb. 6, 2020",17.43%
"Feb. 5, 2020",17.22%
"Feb. 4, 2020",17.50%
"Feb. 3, 2020",18.09%
"Jan. 31, 2020",18.19%
"Jan. 30, 2020",17.76%
"Jan. 29, 2020",17.90%
"Jan. 28, 2020",17.64%
"Jan. 27, 2020",17.84%
"Jan. 24, 2020",17.24%
"Jan. 23, 2020",16.82%
"Jan. 22, 2020",17.00%
"Jan. 21, 2020",16.80%
"Jan. 17, 2020",16.34%
"Jan. 16, 2020",16.38%
"Jan. 15, 2020",16.45%
"Jan. 14, 2020",16.50%
"Jan. 13, 2020",17.04%
"Jan. 10, 2020",17.11%
"Jan. 9, 2020",17.20%
"Jan. 8, 2020",17.23%
"Jan. 7, 2020",17.60%
"Jan. 6, 2020",17.58%
"Jan. 3, 2020",17.46%
"Jan. 2, 2020",17.17%
"Dec. 31, 2019",17.34%
"Dec. 30, 2019",16.22%
"Dec. 27, 2019",16.11%
"Dec. 26, 2019",15.98%
"Dec. 24, 2019",16.03%
"Dec. 23, 2019",16.01%
"Dec. 20, 2019",16.14%
"Dec. 19, 2019",16.09%
"Dec. 18, 2019",16.25%
"Dec. 17, 2019",16.22%
"Dec. 16, 2019",16.29%
"Dec. 13, 2019",16.78%
"Dec. 12, 2019",16.79%
"Dec. 11, 2019",17.28%
"Dec. 10, 2019",17.14%
"Dec. 9, 2019",17.06%
"Dec. 6, 2019",16.95%
"Dec. 5, 2019",17.03%
"Dec. 4, 2019",16.98%
"Dec. 3, 2019",17.11%
"Dec. 2, 2019",16.77%
"Nov. 29, 2019",16.61%
"Nov. 27, 2019",16.68%
"Nov. 26, 2019",16.56%
"Nov. 25, 2019",16.89%
"Nov. 22, 2019",16.96%
"Nov. 21, 2019",17.21%
"Nov. 20, 2019",17.10%
"Nov. 19, 2019",16.68%
"Nov. 18, 2019",16.67%
"Nov. 15, 2019",16.74%
"Nov. 14, 2019",16.83%
"Nov. 13, 2019",16.84%
"Nov. 12, 2019",16.63%
"Nov. 11, 2019",16.64%
"Nov. 8, 2019",16.53%
"Nov. 7, 2019",16.51%
"Nov. 6, 2019",16.53%
"Nov. 5, 2019",16.55%
"Nov. 4, 2019",16.73%
"Nov. 1, 2019",16.99%
"Oct. 31, 2019",17.28%
"Oct. 30, 2019",17.20%
"Oct. 29, 2019",17.19%
"Oct. 28, 2019",17.25%
"Oct. 25, 2019",17.43%
"Oct. 24, 2019",17.69%
"Oct. 23, 2019",17.69%
"Oct. 22, 2019",17.42%
"Oct. 21, 2019",17.44%
"Oct. 18, 2019",17.68%
"Oct. 17, 2019",17.83%
"Oct. 16, 2019",17.90%
"Oct. 15, 2019",17.74%
"Oct. 14, 2019",17.96%
"Oct. 11, 2019",17.97%
"Oct. 10, 2019",17.92%
"Oct. 9, 2019",17.65%
"Oct. 8, 2019",17.89%
"Oct. 7, 2019",17.84%
"Oct. 4, 2019",17.69%
"Oct. 3, 2019",18.02%
"Oct. 2, 2019",17.51%
"Oct. 1, 2019",16.69%
"Sept. 30, 2019",16.52%
"Sept. 27, 2019",15.00%
"Sept. 26, 2019",14.87%
"Sept. 25, 2019",14.99%
"Sept. 24, 2019",15.07%
"Sept. 23, 2019",15.07%
"Sept. 20, 2019",14.91%
"Sept. 19, 2019",14.90%
"Sept. 18, 2019",14.74%
"Sept. 17, 2019",14.73%
"Sept. 16, 2019",14.80%
"Sept. 13, 2019",14.57%
"Sept. 12, 2019",14.71%
"Sept. 11, 2019",14.87%
"Sept. 10, 2019",14.91%
"Sept. 9, 2019",15.05%
"Sept. 6, 2019",15.08%
"Sept. 5, 2019",15.02%
"Sept. 4, 2019",15.28%
"Sept. 3, 2019",15.26%
"Aug. 30, 2019",15.11%
"Aug. 29, 2019",15.11%
"Aug. 28, 2019",15.43%
"Aug. 27, 2019",15.57%
"Aug. 26, 2019",15.53%
"Aug. 23, 2019",15.56%
"Aug. 22, 2019",15.08%
"Aug. 21, 2019",15.07%
"Aug. 20, 2019",15.16%
"Aug. 19, 2019",15.02%
"Aug. 16, 2019",15.06%
"Aug. 15, 2019",15.31%
"Aug. 14, 2019",15.28%
"Aug. 13, 2019",14.86%
"Aug. 12, 2019",14.90%
