date,times_interest_earned
"Dec. 31, 2019",21.99
"Sept. 30, 2019",21.16
"June 30, 2019",20.09
"March 31, 2019",18.11
"Dec. 31, 2018",16.93
"Sept. 30, 2018",15.34
"June 30, 2018",14.53
"March 31, 2018",14.84
"Dec. 31, 2017",15.06
"Sept. 30, 2017",14.14
"June 30, 2017",14.63
"March 31, 2017",16.38
"Dec. 31, 2016",17.37
"Sept. 30, 2016",19.18
"June 30, 2016",18.47
"March 31, 2016",17.20
"Dec. 31, 2015",15.88
"Sept. 30, 2015",9.690
"June 30, 2015",6.448
"March 31, 2015",4.232
"Dec. 31, 2014",2.649
"Sept. 30, 2014",4.737
"June 30, 2014",5.461
"March 31, 2014",4.495
"Dec. 31, 2013",3.966
"Sept. 30, 2013",3.344
"June 30, 2013",2.925
"March 31, 2013",1.946
"Dec. 31, 2012",2.021
"Sept. 30, 2012",2.212
"June 30, 2012",1.794
"March 31, 2012",2.123
"Dec. 31, 2011",1.704
"Sept. 30, 2011",1.334
"June 30, 2011",1.169
"March 31, 2011",1.401
"Dec. 31, 2010",1.513
"Sept. 30, 2010",1.235
"June 30, 2010",0.6869
"March 31, 2010",0.0145
"Dec. 31, 2009",-0.4349
"Sept. 30, 2009",-1.464
"June 30, 2009",-1.553
"March 31, 2009",-3.371
"Dec. 31, 2008",-14.09
"Sept. 30, 2008",-15.73
"June 30, 2008",-15.85
"March 31, 2008",-8.463
"Dec. 31, 2007",4.716
"Sept. 30, 2007",5.751
"June 30, 2007",6.319
"March 31, 2007",3.226
