date,forward_ps_ratio_1y
"March 19, 2020",2.047
"March 18, 2020",2.163
"March 17, 2020",2.346
"March 16, 2020",2.089
"March 13, 2020",2.340
"March 12, 2020",2.196
"March 11, 2020",2.481
"March 10, 2020",2.593
"March 9, 2020",2.580
"March 6, 2020",2.702
"March 5, 2020",2.732
"March 4, 2020",2.773
"March 3, 2020",2.608
"March 2, 2020",2.637
"Feb. 28, 2020",2.502
"Feb. 27, 2020",2.591
"Feb. 26, 2020",2.699
"Feb. 25, 2020",2.708
"Feb. 24, 2020",2.791
"Feb. 21, 2020",2.794
"Feb. 20, 2020",2.767
"Feb. 19, 2020",2.767
"Feb. 18, 2020",2.783
"Feb. 14, 2020",2.763
"Feb. 13, 2020",2.731
"Feb. 12, 2020",2.671
"Feb. 11, 2020",2.646
"Feb. 10, 2020",2.625
"Feb. 7, 2020",2.626
"Feb. 6, 2020",2.644
"Feb. 5, 2020",2.650
"Feb. 4, 2020",2.635
"Feb. 3, 2020",2.664
"Jan. 31, 2020",2.663
"Jan. 30, 2020",2.658
"Jan. 29, 2020",2.638
"Jan. 28, 2020",2.624
"Jan. 27, 2020",2.620
"Jan. 24, 2020",2.625
"Jan. 23, 2020",2.62
"Jan. 22, 2020",2.599
"Jan. 21, 2020",2.585
"Jan. 17, 2020",2.556
"Jan. 16, 2020",2.541
"Jan. 15, 2020",2.522
"Jan. 14, 2020",2.490
"Jan. 13, 2020",2.488
"Jan. 10, 2020",2.466
"Jan. 9, 2020",2.471
"Jan. 8, 2020",2.465
"Jan. 7, 2020",2.462
"Jan. 6, 2020",2.477
"Jan. 3, 2020",2.465
"Jan. 2, 2020",2.464
"Dec. 31, 2019",2.487
"Dec. 30, 2019",2.540
"Dec. 27, 2019",2.545
"Dec. 26, 2019",2.529
"Dec. 24, 2019",2.524
"Dec. 23, 2019",2.522
"Dec. 20, 2019",2.535
"Dec. 19, 2019",2.516
"Dec. 18, 2019",2.535
"Dec. 17, 2019",2.533
"Dec. 16, 2019",2.532
"Dec. 13, 2019",2.520
"Dec. 12, 2019",2.505
"Dec. 11, 2019",2.490
"Dec. 10, 2019",2.491
"Dec. 9, 2019",2.498
"Dec. 6, 2019",2.511
"Dec. 5, 2019",2.498
"Dec. 4, 2019",2.488
"Dec. 3, 2019",2.458
"Dec. 2, 2019",2.442
"Nov. 29, 2019",2.467
"Nov. 27, 2019",2.478
"Nov. 26, 2019",2.467
"Nov. 25, 2019",2.451
"Nov. 22, 2019",2.438
"Nov. 21, 2019",2.424
"Nov. 20, 2019",2.438
"Nov. 19, 2019",2.435
"Nov. 18, 2019",2.48
"Nov. 15, 2019",2.478
"Nov. 14, 2019",2.469
"Nov. 13, 2019",2.477
"Nov. 12, 2019",2.450
"Nov. 11, 2019",2.451
"Nov. 8, 2019",2.516
"Nov. 7, 2019",2.590
"Nov. 6, 2019",2.612
"Nov. 5, 2019",2.606
"Nov. 4, 2019",2.620
"Nov. 1, 2019",2.640
"Oct. 31, 2019",2.637
"Oct. 30, 2019",2.628
"Oct. 29, 2019",2.615
"Oct. 28, 2019",2.631
"Oct. 25, 2019",2.668
"Oct. 24, 2019",2.686
"Oct. 23, 2019",2.689
"Oct. 22, 2019",2.665
"Oct. 21, 2019",2.665
"Oct. 18, 2019",2.666
"Oct. 17, 2019",2.661
"Oct. 16, 2019",2.660
"Oct. 15, 2019",2.656
"Oct. 14, 2019",2.660
"Oct. 11, 2019",2.683
"Oct. 10, 2019",2.692
"Oct. 9, 2019",2.685
"Oct. 8, 2019",2.686
"Oct. 7, 2019",2.710
"Oct. 4, 2019",2.717
"Oct. 3, 2019",2.659
"Oct. 2, 2019",2.648
"Oct. 1, 2019",2.689
"Sept. 30, 2019",2.680
"Sept. 27, 2019",2.691
"Sept. 26, 2019",2.690
"Sept. 25, 2019",2.684
"Sept. 24, 2019",2.692
"Sept. 23, 2019",2.667
"Sept. 20, 2019",2.664
"Sept. 19, 2019",2.642
"Sept. 18, 2019",2.635
"Sept. 17, 2019",2.624
"Sept. 16, 2019",2.604
"Sept. 13, 2019",2.625
"Sept. 12, 2019",2.655
"Sept. 11, 2019",2.642
"Sept. 10, 2019",2.626
"Sept. 9, 2019",2.620
"Sept. 6, 2019",2.621
"Sept. 5, 2019",2.612
"Sept. 4, 2019",2.627
"Sept. 3, 2019",2.619
"Aug. 30, 2019",2.593
"Aug. 29, 2019",2.593
"Aug. 28, 2019",2.581
"Aug. 27, 2019",2.576
"Aug. 26, 2019",2.554
"Aug. 23, 2019",2.537
"Aug. 22, 2019",2.553
"Aug. 21, 2019",2.551
"Aug. 20, 2019",2.549
"Aug. 19, 2019",2.535
"Aug. 16, 2019",2.510
"Aug. 15, 2019",2.496
"Aug. 14, 2019",2.483
"Aug. 13, 2019",2.511
"Aug. 12, 2019",2.502
"Aug. 9, 2019",2.509
"Aug. 8, 2019",2.497
"Aug. 7, 2019",2.484
"Aug. 6, 2019",2.486
"Aug. 5, 2019",2.431
"Aug. 2, 2019",2.464
"Aug. 1, 2019",2.446
"July 31, 2019",2.425
"July 30, 2019",2.451
"July 29, 2019",2.452
"July 26, 2019",2.428
"July 25, 2019",2.416
"July 24, 2019",2.435
"July 23, 2019",2.449
"July 22, 2019",2.462
"July 19, 2019",2.471
"July 18, 2019",2.508
"July 17, 2019",2.490
"July 16, 2019",2.487
"July 15, 2019",2.497
"July 12, 2019",2.478
"July 11, 2019",2.499
"July 10, 2019",2.504
"July 9, 2019",2.497
"July 8, 2019",2.505
"July 5, 2019",2.505
"July 3, 2019",2.517
"July 2, 2019",2.490
"July 1, 2019",2.459
"June 30, 2019",
"June 28, 2019",2.465
"June 27, 2019",2.474
"June 26, 2019",2.458
"June 25, 2019",2.518
"June 24, 2019",2.512
"June 21, 2019",2.501
"June 20, 2019",2.475
"June 19, 2019",2.449
"June 18, 2019",2.437
"June 17, 2019",2.457
"June 14, 2019",2.455
"June 13, 2019",2.424
"June 12, 2019",2.421
"June 11, 2019",2.392
"June 10, 2019",2.411
"June 7, 2019",2.432
"June 6, 2019",2.450
"June 5, 2019",2.437
"June 4, 2019",2.400
"June 3, 2019",2.403
"May 31, 2019",2.392
"May 30, 2019",2.390
"May 29, 2019",2.397
"May 28, 2019",2.434
"May 24, 2019",2.481
"May 23, 2019",2.484
"May 22, 2019",2.453
"May 21, 2019",2.433
"May 20, 2019",2.429
"May 17, 2019",2.436
"May 16, 2019",2.409
"May 15, 2019",2.425
"May 14, 2019",2.431
"May 13, 2019",2.460
"May 10, 2019",2.458
"May 9, 2019",2.426
"May 8, 2019",2.453
"May 7, 2019",2.494
"May 6, 2019",2.500
"May 3, 2019",2.519
"May 2, 2019",2.509
"May 1, 2019",2.526
"April 30, 2019",2.546
"April 29, 2019",2.502
"April 26, 2019",2.523
"April 25, 2019",2.527
"April 24, 2019",2.505
"April 23, 2019",2.486
"April 22, 2019",2.479
"April 18, 2019",2.490
"April 17, 2019",2.488
"April 16, 2019",2.489
"April 15, 2019",2.526
"April 12, 2019",2.527
"April 11, 2019",2.521
"April 10, 2019",2.512
"April 9, 2019",2.521
"April 8, 2019",2.517
"April 5, 2019",2.529
"April 4, 2019",2.496
"April 3, 2019",2.482
"April 2, 2019",2.490
"April 1, 2019",2.494
"March 31, 2019",
"March 29, 2019",2.513
"March 28, 2019",2.496
"March 27, 2019",2.526
"March 26, 2019",2.556
"March 25, 2019",2.534
"March 22, 2019",2.532
"March 21, 2019",2.510
"March 20, 2019",2.496
"March 19, 2019",2.488
"March 18, 2019",2.515
"March 15, 2019",2.531
"March 14, 2019",2.523
"March 13, 2019",2.529
"March 12, 2019",2.527
"March 11, 2019",2.523
"March 8, 2019",2.518
"March 7, 2019",2.501
"March 6, 2019",2.501
"March 5, 2019",2.500
"March 4, 2019",2.510
"March 1, 2019",2.498
