date,fulmer_h_score
"Dec. 31, 2019",2.058
"Sept. 30, 2019",2.004
"June 30, 2019",1.929
"March 31, 2019",1.886
"Dec. 31, 2018",1.847
"Sept. 30, 2018",1.921
"June 30, 2018",1.898
"March 31, 2018",1.956
"Dec. 31, 2017",2.014
"Sept. 30, 2017",1.950
"June 30, 2017",1.974
"March 31, 2017",1.961
"Dec. 31, 2016",1.928
"Sept. 30, 2016",2.138
"June 30, 2016",2.018
"March 31, 2016",2.044
"Dec. 31, 2015",2.123
"Sept. 30, 2015",2.154
"June 30, 2015",2.126
"March 31, 2015",2.192
"Dec. 31, 2014",2.165
"Sept. 30, 2014",2.272
"June 30, 2014",2.213
"March 31, 2014",2.138
"Dec. 31, 2013",2.153
"Sept. 30, 2013",2.035
"June 30, 2013",1.850
"March 31, 2013",1.960
"Dec. 31, 2012",1.894
"Sept. 30, 2012",2.007
"June 30, 2012",1.985
"March 31, 2012",1.997
"Dec. 31, 2011",2.139
"Sept. 30, 2011",2.230
"June 30, 2011",2.268
"March 31, 2011",2.109
"Dec. 31, 2010",2.136
"Sept. 30, 2010",
"June 30, 2010",1.689
"March 31, 2010",2.006
"Dec. 31, 2009",1.916
"Sept. 30, 2009",2.043
"June 30, 2009",1.951
"March 31, 2009",1.991
"Dec. 31, 2008",2.120
"Sept. 30, 2008",2.192
"June 30, 2008",2.673
"March 31, 2008",3.200
