date,market_cap
"March 19, 2020",55.04B
"March 18, 2020",58.14B
"March 17, 2020",63.07B
"March 16, 2020",56.16B
"March 13, 2020",62.90B
"March 12, 2020",59.02B
"March 11, 2020",66.69B
"March 10, 2020",69.70B
"March 9, 2020",69.36B
"March 6, 2020",72.64B
"March 5, 2020",73.43B
"March 4, 2020",74.54B
"March 3, 2020",70.11B
"March 2, 2020",70.89B
"Feb. 28, 2020",67.25B
"Feb. 27, 2020",69.66B
"Feb. 26, 2020",72.55B
"Feb. 25, 2020",72.80B
"Feb. 24, 2020",75.02B
"Feb. 21, 2020",75.11B
"Feb. 20, 2020",74.38B
"Feb. 19, 2020",74.37B
"Feb. 18, 2020",74.81B
"Feb. 14, 2020",74.27B
"Feb. 13, 2020",73.41B
"Feb. 12, 2020",71.81B
"Feb. 11, 2020",71.12B
"Feb. 10, 2020",70.57B
"Feb. 7, 2020",70.60B
"Feb. 6, 2020",71.08B
"Feb. 5, 2020",71.23B
"Feb. 4, 2020",70.84B
"Feb. 3, 2020",71.62B
"Jan. 31, 2020",71.59B
"Jan. 30, 2020",71.45B
"Jan. 29, 2020",70.92B
"Jan. 28, 2020",70.52B
"Jan. 27, 2020",70.44B
"Jan. 24, 2020",70.57B
"Jan. 23, 2020",70.43B
"Jan. 22, 2020",69.86B
"Jan. 21, 2020",69.48B
"Jan. 17, 2020",68.70B
"Jan. 16, 2020",68.30B
"Jan. 15, 2020",67.80B
"Jan. 14, 2020",66.92B
"Jan. 13, 2020",66.88B
"Jan. 10, 2020",66.29B
"Jan. 9, 2020",66.42B
"Jan. 8, 2020",66.26B
"Jan. 7, 2020",66.17B
"Jan. 6, 2020",66.59B
"Jan. 3, 2020",66.26B
"Jan. 2, 2020",66.22B
"Dec. 31, 2019",66.86B
"Dec. 30, 2019",66.19B
"Dec. 27, 2019",66.32B
"Dec. 26, 2019",65.90B
"Dec. 24, 2019",65.78B
"Dec. 23, 2019",65.72B
"Dec. 20, 2019",66.06B
"Dec. 19, 2019",65.58B
"Dec. 18, 2019",66.06B
"Dec. 17, 2019",66.01B
"Dec. 16, 2019",65.97B
"Dec. 13, 2019",65.69B
"Dec. 12, 2019",65.29B
"Dec. 11, 2019",64.88B
"Dec. 10, 2019",64.92B
"Dec. 9, 2019",65.09B
"Dec. 6, 2019",65.44B
"Dec. 5, 2019",65.10B
"Dec. 4, 2019",64.85B
"Dec. 3, 2019",64.05B
"Dec. 2, 2019",63.64B
"Nov. 29, 2019",64.28B
"Nov. 27, 2019",64.56B
"Nov. 26, 2019",64.30B
"Nov. 25, 2019",63.86B
"Nov. 22, 2019",63.53B
"Nov. 21, 2019",63.18B
"Nov. 20, 2019",63.52B
"Nov. 19, 2019",63.45B
"Nov. 18, 2019",64.63B
"Nov. 15, 2019",64.58B
"Nov. 14, 2019",64.34B
"Nov. 13, 2019",64.54B
"Nov. 12, 2019",63.86B
"Nov. 11, 2019",63.86B
"Nov. 8, 2019",65.58B
"Nov. 7, 2019",67.49B
"Nov. 6, 2019",68.06B
"Nov. 5, 2019",67.91B
"Nov. 4, 2019",68.27B
"Nov. 1, 2019",68.81B
"Oct. 31, 2019",68.72B
"Oct. 30, 2019",68.50B
"Oct. 29, 2019",68.15B
"Oct. 28, 2019",68.56B
"Oct. 25, 2019",69.53B
"Oct. 24, 2019",70.00B
"Oct. 23, 2019",70.07B
"Oct. 22, 2019",69.45B
"Oct. 21, 2019",69.46B
"Oct. 18, 2019",69.47B
"Oct. 17, 2019",69.34B
"Oct. 16, 2019",69.31B
"Oct. 15, 2019",69.22B
"Oct. 14, 2019",69.31B
"Oct. 11, 2019",69.92B
"Oct. 10, 2019",70.16B
"Oct. 9, 2019",69.97B
"Oct. 8, 2019",70.01B
"Oct. 7, 2019",70.62B
"Oct. 4, 2019",70.80B
"Oct. 3, 2019",69.29B
"Oct. 2, 2019",69.01B
"Oct. 1, 2019",70.08B
"Sept. 30, 2019",69.84B
"Sept. 27, 2019",70.14B
"Sept. 26, 2019",70.09B
"Sept. 25, 2019",69.95B
"Sept. 24, 2019",70.15B
"Sept. 23, 2019",69.51B
"Sept. 20, 2019",69.41B
"Sept. 19, 2019",68.85B
"Sept. 18, 2019",68.68B
"Sept. 17, 2019",68.39B
"Sept. 16, 2019",67.85B
"Sept. 13, 2019",68.42B
"Sept. 12, 2019",69.19B
"Sept. 11, 2019",68.85B
"Sept. 10, 2019",68.44B
"Sept. 9, 2019",68.28B
"Sept. 6, 2019",68.31B
"Sept. 5, 2019",68.06B
"Sept. 4, 2019",68.47B
"Sept. 3, 2019",68.25B
"Aug. 30, 2019",67.57B
"Aug. 29, 2019",67.59B
"Aug. 28, 2019",67.25B
"Aug. 27, 2019",67.14B
"Aug. 26, 2019",66.56B
"Aug. 23, 2019",66.11B
"Aug. 22, 2019",66.54B
"Aug. 21, 2019",66.48B
"Aug. 20, 2019",66.43B
"Aug. 19, 2019",66.06B
"Aug. 16, 2019",65.41B
"Aug. 15, 2019",65.05B
"Aug. 14, 2019",64.71B
"Aug. 13, 2019",65.44B
"Aug. 12, 2019",65.21B
"Aug. 9, 2019",65.39B
"Aug. 8, 2019",65.07B
"Aug. 7, 2019",64.73B
"Aug. 6, 2019",64.79B
"Aug. 5, 2019",63.36B
"Aug. 2, 2019",64.20B
"Aug. 1, 2019",63.75B
"July 31, 2019",63.18B
"July 30, 2019",63.87B
"July 29, 2019",63.91B
"July 26, 2019",63.27B
"July 25, 2019",62.96B
"July 24, 2019",63.47B
"July 23, 2019",63.83B
"July 22, 2019",64.17B
"July 19, 2019",64.39B
"July 18, 2019",65.37B
"July 17, 2019",64.89B
"July 16, 2019",64.81B
"July 15, 2019",65.07B
"July 12, 2019",64.57B
"July 11, 2019",65.12B
"July 10, 2019",65.25B
"July 9, 2019",65.08B
"July 8, 2019",65.27B
"July 5, 2019",65.29B
"July 3, 2019",65.59B
"July 2, 2019",64.89B
"July 1, 2019",64.07B
"June 28, 2019",64.24B
"June 27, 2019",64.47B
"June 26, 2019",64.05B
"June 25, 2019",65.61B
"June 24, 2019",65.46B
"June 21, 2019",65.18B
"June 20, 2019",64.49B
"June 19, 2019",63.81B
"June 18, 2019",63.51B
"June 17, 2019",64.03B
"June 14, 2019",63.97B
"June 13, 2019",63.17B
"June 12, 2019",63.09B
"June 11, 2019",62.35B
"June 10, 2019",62.82B
"June 7, 2019",63.37B
"June 6, 2019",63.86B
"June 5, 2019",63.50B
"June 4, 2019",62.54B
"June 3, 2019",62.63B
"May 31, 2019",62.33B
"May 30, 2019",62.27B
"May 29, 2019",62.47B
"May 28, 2019",63.43B
"May 24, 2019",64.66B
"May 23, 2019",64.72B
"May 22, 2019",63.93B
"May 21, 2019",63.40B
"May 20, 2019",63.31B
"May 17, 2019",63.49B
"May 16, 2019",62.79B
"May 15, 2019",63.19B
"May 14, 2019",63.35B
"May 13, 2019",64.10B
"May 10, 2019",64.06B
"May 9, 2019",63.22B
"May 8, 2019",63.92B
"May 7, 2019",64.99B
"May 6, 2019",65.15B
"May 3, 2019",65.64B
"May 2, 2019",65.39B
"May 1, 2019",65.82B
"April 30, 2019",66.34B
"April 29, 2019",65.21B
"April 26, 2019",65.75B
"April 25, 2019",65.85B
"April 24, 2019",65.29B
"April 23, 2019",64.80B
"April 22, 2019",64.60B
"April 18, 2019",64.89B
"April 17, 2019",64.84B
"April 16, 2019",64.86B
"April 15, 2019",65.84B
"April 12, 2019",65.85B
"April 11, 2019",65.71B
"April 10, 2019",65.48B
"April 9, 2019",65.70B
"April 8, 2019",65.60B
"April 5, 2019",65.91B
"April 4, 2019",65.05B
"April 3, 2019",64.68B
"April 2, 2019",64.89B
"April 1, 2019",65.00B
"March 29, 2019",65.49B
"March 28, 2019",65.04B
"March 27, 2019",65.84B
"March 26, 2019",66.60B
"March 25, 2019",66.05B
"March 22, 2019",66.00B
"March 21, 2019",65.42B
"March 20, 2019",65.04B
"March 19, 2019",64.85B
"March 18, 2019",65.53B
"March 15, 2019",65.96B
"March 14, 2019",65.75B
"March 13, 2019",65.90B
"March 12, 2019",65.86B
"March 11, 2019",65.75B
"March 8, 2019",65.63B
"March 7, 2019",65.18B
"March 6, 2019",65.18B
"March 5, 2019",65.15B
"March 4, 2019",65.40B
"March 1, 2019",65.09B
"Feb. 28, 2019",65.18B
"Feb. 27, 2019",64.91B
"Feb. 26, 2019",64.62B
"Feb. 25, 2019",65.05B
"Feb. 22, 2019",65.37B
"Feb. 21, 2019",65.13B
"Feb. 20, 2019",64.59B
"Feb. 19, 2019",63.93B
"Feb. 15, 2019",63.62B
"Feb. 14, 2019",63.85B
"Feb. 13, 2019",65.13B
"Feb. 12, 2019",65.60B
"Feb. 11, 2019",65.55B
"Feb. 8, 2019",65.65B
"Feb. 7, 2019",65.05B
"Feb. 6, 2019",64.31B
"Feb. 5, 2019",64.34B
"Feb. 4, 2019",63.85B
"Feb. 1, 2019",63.82B
"Jan. 31, 2019",63.82B
"Jan. 30, 2019",62.56B
"Jan. 29, 2019",62.25B
"Jan. 28, 2019",62.27B
"Jan. 25, 2019",62.41B
"Jan. 24, 2019",63.03B
"Jan. 23, 2019",62.62B
"Jan. 22, 2019",62.24B
"Jan. 18, 2019",62.23B
"Jan. 17, 2019",62.26B
"Jan. 16, 2019",61.99B
"Jan. 15, 2019",61.90B
"Jan. 14, 2019",60.82B
"Jan. 11, 2019",61.51B
"Jan. 10, 2019",61.99B
"Jan. 9, 2019",61.66B
"Jan. 8, 2019",62.58B
"Jan. 7, 2019",61.80B
"Jan. 4, 2019",62.06B
"Jan. 3, 2019",61.56B
"Jan. 2, 2019",61.58B
"Dec. 31, 2018",62.74B
"Dec. 28, 2018",61.39B
"Dec. 27, 2018",61.28B
"Dec. 26, 2018",60.77B
"Dec. 24, 2018",59.82B
"Dec. 21, 2018",62.50B
"Dec. 20, 2018",62.83B
"Dec. 19, 2018",62.18B
"Dec. 18, 2018",62.49B
"Dec. 17, 2018",62.80B
"Dec. 14, 2018",64.69B
"Dec. 13, 2018",64.80B
"Dec. 12, 2018",63.87B
"Dec. 11, 2018",64.72B
"Dec. 10, 2018",64.52B
"Dec. 7, 2018",64.15B
"Dec. 6, 2018",64.04B
"Dec. 4, 2018",64.19B
"Dec. 3, 2018",63.89B
"Nov. 30, 2018",63.14B
"Nov. 29, 2018",62.45B
"Nov. 28, 2018",62.45B
"Nov. 27, 2018",62.61B
"Nov. 26, 2018",62.01B
"Nov. 23, 2018",61.84B
"Nov. 21, 2018",61.63B
"Nov. 20, 2018",63.10B
"Nov. 19, 2018",62.48B
