date,operating_margin_ttm
"Dec. 31, 2019",22.75%
"Sept. 30, 2019",22.00%
"June 30, 2019",21.41%
"March 31, 2019",20.99%
"Dec. 31, 2018",21.11%
"Sept. 30, 2018",22.77%
"June 30, 2018",23.61%
"March 31, 2018",24.56%
"Dec. 31, 2017",24.95%
"Sept. 30, 2017",22.94%
"June 30, 2017",23.26%
"March 31, 2017",23.16%
"Dec. 31, 2016",22.83%
"Sept. 30, 2016",23.97%
"June 30, 2016",23.31%
"March 31, 2016",22.82%
"Dec. 31, 2015",23.04%
"Sept. 30, 2015",22.63%
"June 30, 2015",21.92%
"March 31, 2015",21.95%
"Dec. 31, 2014",21.83%
"Sept. 30, 2014",23.18%
"June 30, 2014",23.55%
"March 31, 2014",23.13%
"Dec. 31, 2013",22.45%
"Sept. 30, 2013",21.13%
"June 30, 2013",19.17%
"March 31, 2013",19.26%
"Dec. 31, 2012",19.91%
"Sept. 30, 2012",20.52%
"June 30, 2012",22.64%
"March 31, 2012",22.03%
"Dec. 31, 2011",21.36%
"Sept. 30, 2011",21.38%
"June 30, 2011",21.43%
"March 31, 2011",21.47%
"Dec. 31, 2010",21.26%
"Sept. 30, 2010",22.23%
"June 30, 2010",21.43%
"March 31, 2010",21.11%
"Dec. 31, 2009",20.92%
"Sept. 30, 2009",19.78%
"June 30, 2009",18.14%
"March 31, 2009",18.73%
"Dec. 31, 2008",19.13%
"Sept. 30, 2008",19.22%
"June 30, 2008",21.02%
"March 31, 2008",20.21%
"Dec. 31, 2007",19.64%
"Sept. 30, 2007",17.75%
"June 30, 2007",15.83%
"March 31, 2007",13.62%
"Dec. 31, 2006",12.98%
"Sept. 30, 2006",16.33%
"June 30, 2006",53.33%
"March 31, 2006",31.02%
"Dec. 31, 2005",19.11%
"Sept. 30, 2005",15.93%
"June 30, 2005",14.18%
"March 31, 2005",14.23%
"Dec. 31, 2004",14.23%
"Sept. 30, 2004",-1.13%
"June 30, 2004",-3.67%
"March 31, 2004",-4.24%
"Dec. 31, 2003",-3.34%
"Sept. 30, 2003",10.89%
"June 30, 2003",12.98%
"March 31, 2003",14.99%
"Dec. 31, 2002",16.31%
"Sept. 30, 2002",14.91%
"June 30, 2002",20.37%
"March 31, 2002",11.60%
"Dec. 31, 2001",9.09%
"Sept. 30, 2001",21.15%
"June 30, 2001",12.14%
"March 31, 2001",14.09%
"Dec. 31, 2000",19.85%
"Sept. 30, 2000",6.11%
"June 30, 2000",7.12%
"March 31, 2000",7.85%
"Dec. 31, 1999",8.43%
"Sept. 30, 1999",12.94%
"June 30, 1999",13.61%
"March 31, 1999",14.23%
"Dec. 31, 1998",14.07%
"Sept. 30, 1998",13.24%
"June 30, 1998",12.35%
"March 31, 1998",11.83%
"Dec. 31, 1997",12.08%
"Sept. 30, 1997",13.05%
"June 30, 1997",14.99%
"March 31, 1997",16.58%
"Dec. 31, 1996",18.30%
"Sept. 30, 1996",18.61%
"June 30, 1996",20.19%
"March 31, 1996",21.10%
"Dec. 31, 1995",21.33%
"Sept. 30, 1995",28.78%
"June 30, 1995",27.83%
"March 31, 1995",27.16%
"Dec. 31, 1994",26.28%
"Sept. 30, 1994",44.85%
"June 30, 1994",63.90%
"March 31, 1994",82.34%
