date,return_on_equity
"Dec. 31, 2019",8.46%
"Sept. 30, 2019",8.06%
"June 30, 2019",7.53%
"March 31, 2019",6.85%
"Dec. 31, 2018",6.26%
"Sept. 30, 2018",6.89%
"June 30, 2018",6.64%
"March 31, 2018",7.14%
"Dec. 31, 2017",7.39%
"Sept. 30, 2017",5.18%
"June 30, 2017",5.77%
"March 31, 2017",5.37%
"Dec. 31, 2016",5.35%
"Sept. 30, 2016",7.15%
"June 30, 2016",6.57%
"March 31, 2016",6.61%
"Dec. 31, 2015",7.00%
"Sept. 30, 2015",6.01%
"June 30, 2015",6.82%
"March 31, 2015",6.94%
"Dec. 31, 2014",4.59%
"Sept. 30, 2014",6.02%
"June 30, 2014",5.40%
"March 31, 2014",4.73%
"Dec. 31, 2013",6.52%
"Sept. 30, 2013",5.91%
"June 30, 2013",5.40%
"March 31, 2013",6.27%
"Dec. 31, 2012",5.90%
"Sept. 30, 2012",6.16%
"June 30, 2012",6.61%
"March 31, 2012",6.55%
"Dec. 31, 2011",7.52%
"Sept. 30, 2011",8.25%
"June 30, 2011",9.21%
"March 31, 2011",6.30%
"Dec. 31, 2010",6.06%
"Sept. 30, 2010",
"June 30, 2010",3.15%
"March 31, 2010",5.46%
"Dec. 31, 2009",5.03%
"Sept. 30, 2009",4.98%
"June 30, 2009",5.50%
"March 31, 2009",5.84%
"Dec. 31, 2008",6.41%
"Sept. 30, 2008",5.99%
"June 30, 2008",7.90%
"March 31, 2008",7.68%
"Dec. 31, 2007",6.85%
"Sept. 30, 2007",7.16%
"June 30, 2007",7.54%
"March 31, 2007",8.06%
"Dec. 31, 2006",8.37%
"Sept. 30, 2006",10.30%
"June 30, 2006",7.48%
"March 31, 2006",8.04%
"Dec. 31, 2005",11.18%
"Sept. 30, 2005",9.80%
"June 30, 2005",12.17%
"March 31, 2005",13.34%
"Dec. 31, 2004",10.07%
"Sept. 30, 2004",-6.03%
"June 30, 2004",-8.30%
"March 31, 2004",-8.27%
"Dec. 31, 2003",-8.74%
"Sept. 30, 2003",4.25%
"June 30, 2003",5.52%
"March 31, 2003",5.92%
"Dec. 31, 2002",7.23%
"Sept. 30, 2002",9.49%
"June 30, 2002",14.00%
"March 31, 2002",14.61%
"Dec. 31, 2001",16.49%
"Sept. 30, 2001",17.86%
"June 30, 2001",18.70%
"March 31, 2001",18.87%
"Dec. 31, 2000",18.66%
"Sept. 30, 2000",13.91%
"June 30, 2000",10.64%
"March 31, 2000",10.28%
"Dec. 31, 1999",17.01%
"Sept. 30, 1999",22.15%
"June 30, 1999",22.92%
"March 31, 1999",23.50%
"Dec. 31, 1998",16.06%
"Sept. 30, 1998",15.78%
"June 30, 1998",14.43%
"March 31, 1998",13.94%
"Dec. 31, 1997",13.95%
"Sept. 30, 1997",15.74%
"June 30, 1997",17.88%
"March 31, 1997",20.90%
"Dec. 31, 1996",18.78%
"Sept. 30, 1996",24.20%
"June 30, 1996",23.07%
"March 31, 1996",21.25%
"Dec. 31, 1995",21.76%
"Sept. 30, 1995",15.49%
"June 30, 1995",14.84%
"March 31, 1995",14.79%
"Dec. 31, 1994",14.27%
"Sept. 30, 1994",14.94%
