date,return_on_invested_capital
"Dec. 31, 2019",3.55%
"Sept. 30, 2019",3.41%
"June 30, 2019",3.22%
"March 31, 2019",2.94%
"Dec. 31, 2018",2.70%
"Sept. 30, 2018",2.98%
"June 30, 2018",2.88%
"March 31, 2018",3.11%
"Dec. 31, 2017",3.25%
"Sept. 30, 2017",2.29%
"June 30, 2017",2.59%
"March 31, 2017",2.45%
"Dec. 31, 2016",2.49%
"Sept. 30, 2016",3.37%
"June 30, 2016",3.15%
"March 31, 2016",3.19%
"Dec. 31, 2015",3.40%
"Sept. 30, 2015",2.94%
"June 30, 2015",3.34%
"March 31, 2015",3.41%
"Dec. 31, 2014",2.27%
"Sept. 30, 2014",2.99%
"June 30, 2014",2.67%
"March 31, 2014",2.35%
"Dec. 31, 2013",3.25%
"Sept. 30, 2013",2.95%
"June 30, 2013",2.71%
"March 31, 2013",3.18%
"Dec. 31, 2012",3.01%
"Sept. 30, 2012",3.19%
"June 30, 2012",3.48%
"March 31, 2012",3.50%
"Dec. 31, 2011",4.05%
"Sept. 30, 2011",4.42%
"June 30, 2011",5.01%
"March 31, 2011",3.45%
"Dec. 31, 2010",3.34%
"Sept. 30, 2010",3.19%
"June 30, 2010",1.76%
"March 31, 2010",3.09%
"Dec. 31, 2009",2.88%
"Sept. 30, 2009",2.88%
"June 30, 2009",3.23%
"March 31, 2009",3.50%
"Dec. 31, 2008",3.92%
"Sept. 30, 2008",3.72%
"June 30, 2008",4.98%
"March 31, 2008",4.88%
"Dec. 31, 2007",4.21%
"Sept. 30, 2007",4.25%
"June 30, 2007",4.32%
"March 31, 2007",4.45%
"Dec. 31, 2006",4.44%
"Sept. 30, 2006",5.32%
"June 30, 2006",3.70%
"March 31, 2006",3.79%
"Dec. 31, 2005",5.16%
"Sept. 30, 2005",4.35%
"June 30, 2005",5.18%
"March 31, 2005",5.48%
"Dec. 31, 2004",3.98%
"Sept. 30, 2004",-2.31%
"June 30, 2004",-3.15%
"March 31, 2004",-3.14%
"Dec. 31, 2003",-3.32%
"Sept. 30, 2003",1.60%
"June 30, 2003",2.05%
"March 31, 2003",2.17%
"Dec. 31, 2002",2.68%
"Sept. 30, 2002",3.60%
"June 30, 2002",5.54%
"March 31, 2002",5.87%
"Dec. 31, 2001",6.70%
"Sept. 30, 2001",7.22%
"June 30, 2001",7.29%
"March 31, 2001",7.23%
"Dec. 31, 2000",7.32%
"Sept. 30, 2000",5.64%
"June 30, 2000",4.49%
"March 31, 2000",4.63%
"Dec. 31, 1999",7.94%
"Sept. 30, 1999",10.62%
"June 30, 1999",11.28%
"March 31, 1999",11.53%
"Dec. 31, 1998",7.82%
"Sept. 30, 1998",7.78%
"June 30, 1998",7.20%
"March 31, 1998",7.03%
"Dec. 31, 1997",7.08%
"Sept. 30, 1997",8.08%
"June 30, 1997",9.19%
"March 31, 1997",10.83%
"Dec. 31, 1996",9.69%
"Sept. 30, 1996",12.54%
"June 30, 1996",11.87%
"March 31, 1996",10.85%
"Dec. 31, 1995",11.01%
"Sept. 30, 1995",7.84%
"June 30, 1995",7.47%
"March 31, 1995",7.48%
"Dec. 31, 1994",7.23%
"Sept. 30, 1994",7.61%
