date,sales_est_0q
"March 6, 2020",6.318B
"March 2, 2020",6.318B
"Feb. 20, 2020",6.364B
"Feb. 18, 2020",6.356B
"Feb. 14, 2020",6.064B
"Feb. 13, 2020",6.298B
"Jan. 13, 2020",6.078B
"Jan. 7, 2020",6.075B
"Dec. 31, 2019",6.545B
"Dec. 30, 2019",6.539B
"Dec. 12, 2019",6.639B
"Dec. 11, 2019",6.684B
"Nov. 21, 2019",6.662B
"Nov. 20, 2019",6.586B
"Nov. 19, 2019",6.404B
"Nov. 18, 2019",6.269B
"Nov. 9, 2019",6.351B
"Nov. 6, 2019",6.351B
"Oct. 21, 2019",6.369B
"Oct. 14, 2019",6.375B
"Oct. 11, 2019",6.377B
"Oct. 2, 2019",6.372B
"Sept. 30, 2019",7.237B
"Sept. 17, 2019",7.189B
"Sept. 9, 2019",7.189B
"Aug. 21, 2019",7.197B
"Aug. 12, 2019",7.042B
"Aug. 9, 2019",6.845B
"Aug. 7, 2019",6.843B
"July 23, 2019",7.350B
"July 22, 2019",7.357B
"July 18, 2019",7.381B
"July 15, 2019",7.473B
"July 12, 2019",7.475B
"June 30, 2019",5.764B
"June 3, 2019",5.799B
"May 15, 2019",5.873B
"May 13, 2019",5.875B
"May 10, 2019",5.803B
"April 22, 2019",5.978B
"April 17, 2019",5.934B
"April 15, 2019",5.809B
"April 12, 2019",5.819B
"March 31, 2019",6.385B
"March 21, 2019",6.556B
"March 20, 2019",6.488B
"March 11, 2019",6.465B
"March 8, 2019",6.357B
"Feb. 20, 2019",6.356B
"Feb. 19, 2019",6.348B
"Feb. 14, 2019",6.614B
"Feb. 7, 2019",6.436B
"Jan. 29, 2019",6.436B
"Jan. 22, 2019",6.440B
"Jan. 9, 2019",6.443B
"Jan. 7, 2019",6.447B
"Dec. 31, 2018",5.842B
"Nov. 6, 2018",5.909B
"Nov. 5, 2018",5.895B
"Nov. 3, 2018",5.619B
"Oct. 18, 2018",5.570B
"Oct. 15, 2018",5.515B
"Oct. 12, 2018",5.485B
"Oct. 9, 2018",5.485B
"Sept. 30, 2018",6.592B
"Sept. 10, 2018",6.725B
"Aug. 27, 2018",6.621B
"Aug. 8, 2018",6.576B
"Aug. 6, 2018",6.576B
"Aug. 3, 2018",6.388B
"July 23, 2018",6.733B
"July 20, 2018",6.713B
"July 17, 2018",6.655B
"July 11, 2018",7.057B
"June 30, 2018",5.607B
"June 20, 2018",5.553B
"May 18, 2018",5.447B
"May 14, 2018",5.368B
"May 12, 2018",5.424B
"May 11, 2018",5.519B
"April 20, 2018",5.516B
"April 18, 2018",5.530B
"April 2, 2018",5.497B
"March 31, 2018",5.755B
"March 28, 2018",5.565B
"March 27, 2018",5.565B
"March 9, 2018",5.563B
"March 7, 2018",5.521B
"March 6, 2018",5.385B
"Feb. 27, 2018",5.521B
"Feb. 21, 2018",5.659B
"Feb. 20, 2018",5.688B
"Feb. 14, 2018",5.657B
"Feb. 2, 2018",5.701B
"Feb. 1, 2018",5.749B
"Jan. 10, 2018",5.979B
"Jan. 2, 2018",5.978B
