date,book_value_of_equity_per_share
"Dec. 31, 2019",37.19
"Sept. 30, 2019",36.31
"June 30, 2019",35.53
"March 31, 2019",34.30
"Dec. 31, 2018",33.39
"Sept. 30, 2018",31.97
"June 30, 2018",30.13
"March 31, 2018",29.10
"Dec. 31, 2017",28.15
"Sept. 30, 2017",24.08
"June 30, 2017",24.08
"March 31, 2017",24.13
"Dec. 31, 2016",24.24
"Sept. 30, 2016",21.40
"June 30, 2016",21.90
"March 31, 2016",22.55
"Dec. 31, 2015",23.54
"Sept. 30, 2015",24.17
"June 30, 2015",31.74
"March 31, 2015",31.83
"Dec. 31, 2014",32.30
"Sept. 30, 2014",32.34
"June 30, 2014",30.52
"March 31, 2014",29.34
"Dec. 31, 2013",28.23
"Sept. 30, 2013",27.23
"June 30, 2013",26.41
"March 31, 2013",25.28
"Dec. 31, 2012",24.45
"Sept. 30, 2012",25.46
"June 30, 2012",24.75
"March 31, 2012",24.10
"Dec. 31, 2011",23.49
"Sept. 30, 2011",23.24
"June 30, 2011",22.49
"March 31, 2011",21.96
"Dec. 31, 2010",20.13
"Sept. 30, 2010",19.93
"June 30, 2010",19.99
"March 31, 2010",20.09
"Dec. 31, 2009",19.80
"Sept. 30, 2009",18.86
"June 30, 2009",18.49
"March 31, 2009",18.21
"Dec. 31, 2008",18.06
"Sept. 30, 2008",17.87
"June 30, 2008",14.92
"March 31, 2008",14.49
"Dec. 31, 2007",14.17
"Sept. 30, 2007",13.38
"June 30, 2007",12.74
"March 31, 2007",11.84
"Dec. 31, 2006",11.38
"Sept. 30, 2006",11.04
"June 30, 2006",10.41
"March 31, 2006",9.572
"Dec. 31, 2005",8.711
"Sept. 30, 2005",7.768
"June 30, 2005",6.879
"March 31, 2005",6.388
"Dec. 31, 2004",5.984
"Sept. 30, 2004",5.443
"June 30, 2004",4.948
"March 31, 2004",4.659
"Dec. 31, 2003",4.475
"Sept. 30, 2003",4.241
"June 30, 2003",3.990
"March 31, 2003",3.654
"Dec. 31, 2002",3.322
"Sept. 30, 2002",3.285
"June 30, 2002",3.310
"March 31, 2002",3.185
"Dec. 31, 2001",3.238
"Sept. 30, 2001",3.335
"June 30, 2001",3.258
"March 31, 2001",2.979
"Dec. 31, 2000",2.638
"Sept. 30, 2000",2.359
"June 30, 2000",2.178
"March 31, 2000",2.105
"Dec. 31, 1999",2.062
"Sept. 30, 1999",1.997
"June 30, 1999",2.128
"March 31, 1999",2.089
"Dec. 31, 1998",2.082
"Sept. 30, 1998",2.075
"June 30, 1998",2.099
"March 31, 1998",2.098
"Dec. 31, 1997",2.065
"Sept. 30, 1997",2.029
"June 30, 1997",1.993
"March 31, 1997",1.975
"Dec. 31, 1996",1.980
"Sept. 30, 1996",1.935
"June 30, 1996",1.898
"March 31, 1996",1.837
"Dec. 31, 1995",1.82
"Sept. 30, 1995",1.783
"June 30, 1995",1.738
"March 31, 1995",1.668
"Dec. 31, 1994",1.730
"Sept. 30, 1994",1.596
"June 30, 1994",1.535
"March 31, 1994",1.489
"Dec. 31, 1993",1.459
"Sept. 30, 1993",1.405
"June 30, 1993",1.367
"March 31, 1993",1.329
"Dec. 31, 1992",1.303
"Sept. 30, 1992",1.318
"June 30, 1992",1.113
"March 31, 1992",1.097
"Dec. 31, 1991",1.071
"Sept. 30, 1991",1.044
"June 30, 1991",1.074
"March 31, 1991",1.018
"Dec. 31, 1990",1.005
"Sept. 30, 1990",0.9783
"June 30, 1990",0.959
"March 31, 1990",0.9657
"Dec. 31, 1989",0.959
