date,cash_financing_ttm
"Dec. 31, 2019",-1.513B
"Sept. 30, 2019",-1.825B
"June 30, 2019",-1.777B
"March 31, 2019",-861.72M
"Dec. 31, 2018",-839.10M
"Sept. 30, 2018",-464.79M
"June 30, 2018",-1.055B
"March 31, 2018",-1.035B
"Dec. 31, 2017",-1.036B
"Sept. 30, 2017",-1.204B
"June 30, 2017",-587.27M
"March 31, 2017",-583.38M
"Dec. 31, 2016",-242.72M
"Sept. 30, 2016",168.38M
"June 30, 2016",200.10M
"March 31, 2016",-295.59M
"Dec. 31, 2015",370.92M
"Sept. 30, 2015",147.03M
"June 30, 2015",153.54M
"March 31, 2015",654.85M
"Dec. 31, 2014",-327.73M
"Sept. 30, 2014",-690.72M
"June 30, 2014",-670.08M
"March 31, 2014",-625.22M
"Dec. 31, 2013",-573.93M
"Sept. 30, 2013",-148.36M
"June 30, 2013",1.118B
"March 31, 2013",1.128B
"Dec. 31, 2012",1.140B
"Sept. 30, 2012",899.42M
"June 30, 2012",-363.01M
"March 31, 2012",-368.16M
"Dec. 31, 2011",1.009B
"Sept. 30, 2011",2.692B
"June 30, 2011",2.726B
"March 31, 2011",3.689B
"Dec. 31, 2010",2.303B
"Sept. 30, 2010",893.22M
"June 30, 2010",880.74M
"March 31, 2010",622.59M
"Dec. 31, 2009",834.16M
"Sept. 30, 2009",723.24M
"June 30, 2009",1.488B
"March 31, 2009",788.98M
"Dec. 31, 2008",645.10M
"Sept. 30, 2008",614.74M
"June 30, 2008",258.96M
"March 31, 2008",341.82M
"Dec. 31, 2007",393.72M
"Sept. 30, 2007",368.22M
"June 30, 2007",-73.34M
"March 31, 2007",-164.83M
"Dec. 31, 2006",-298.88M
"Sept. 30, 2006",-204.45M
"June 30, 2006",-204.54M
"March 31, 2006",-170.37M
"Dec. 31, 2005",-72.31M
"Sept. 30, 2005",-39.57M
"June 30, 2005",0.994M
"March 31, 2005",26.74M
"Dec. 31, 2004",-43.24M
"Sept. 30, 2004",90.55M
"June 30, 2004",97.61M
"March 31, 2004",42.31M
"Dec. 31, 2003",-57.20M
"Sept. 30, 2003",-151.96M
"June 30, 2003",-120.51M
"March 31, 2003",-33.03M
"Dec. 31, 2002",211.30M
"Sept. 30, 2002",331.86M
"June 30, 2002",342.82M
"March 31, 2002",261.82M
"Dec. 31, 2001",-127.01M
"Sept. 30, 2001",-391.49M
"June 30, 2001",-468.24M
"March 31, 2001",-487.01M
"Dec. 31, 2000",-304.93M
"Sept. 30, 2000",-208.54M
"June 30, 2000",-181.94M
"March 31, 2000",-169.32M
"Dec. 31, 1999",-61.62M
"Sept. 30, 1999",35.80M
"June 30, 1999",252.70M
"March 31, 1999",329.60M
"Dec. 31, 1998",353.00M
"Sept. 30, 1998",312.00M
"June 30, 1998",146.00M
"March 31, 1998",199.40M
"Dec. 31, 1997",167.90M
"Sept. 30, 1997",296.40M
"June 30, 1997",266.50M
"March 31, 1997",131.40M
"Dec. 31, 1996",131.10M
"Sept. 30, 1996",0.90M
"June 30, 1996",44.50M
"March 31, 1996",90.70M
"Dec. 31, 1995",73.20M
"Sept. 30, 1995",51.20M
"June 30, 1995",-5.30M
"March 31, 1995",4.20M
"Dec. 31, 1994",-28.40M
"Sept. 30, 1994",0.20M
"June 30, 1994",0.40M
"March 31, 1994",-24.10M
"Dec. 31, 1993",3.40M
"Sept. 30, 1993",-25.80M
"June 30, 1993",-182.90M
"March 31, 1993",-172.50M
"Dec. 31, 1992",-176.50M
"Sept. 30, 1992",-153.10M
"June 30, 1992",-5.70M
"March 31, 1992",-13.90M
"Dec. 31, 1991",-11.10M
"Sept. 30, 1991",-24.50M
"June 30, 1991",-19.00M
"March 31, 1991",5.40M
"Dec. 31, 1990",1.90M
