date,cash_on_hand
"Dec. 31, 2019",2.028B
"Sept. 30, 2019",1.583B
"June 30, 2019",1.160B
"March 31, 2019",1.136B
"Dec. 31, 2018",1.556B
"Sept. 30, 2018",1.274B
"June 30, 2018",1.008B
"March 31, 2018",816.09M
"Dec. 31, 2017",834.23M
"Sept. 30, 2017",846.14M
"June 30, 2017",1.649B
"March 31, 2017",1.547B
"Dec. 31, 2016",1.600B
"Sept. 30, 2016",1.049B
"June 30, 2016",779.72M
"March 31, 2016",668.48M
"Dec. 31, 2015",718.51M
"Sept. 30, 2015",742.69M
"June 30, 2015",1.367B
"March 31, 2015",2.127B
"Dec. 31, 2014",2.087B
"Sept. 30, 2014",1.481B
"June 30, 2014",1.230B
"March 31, 2014",1.667B
"Dec. 31, 2013",1.318B
"Sept. 30, 2013",1.319B
"June 30, 2013",1.228B
"March 31, 2013",1.108B
"Dec. 31, 2012",876.44M
"Sept. 30, 2012",1.113B
"June 30, 2012",280.37M
"March 31, 2012",294.06M
"Dec. 31, 2011",615.73M
"Sept. 30, 2011",1.387B
"June 30, 2011",1.577B
"March 31, 2011",1.668B
"Dec. 31, 2010",788.85M
"Sept. 30, 2010",27.83M
"June 30, 2010",650.11M
"March 31, 2010",230.08M
"Dec. 31, 2009",685.75M
"Sept. 30, 2009",608.51M
"June 30, 2009",706.96M
"March 31, 2009",85.21M
"Dec. 31, 2008",331.31M
"Sept. 30, 2008",885.98M
"June 30, 2008",108.10M
"March 31, 2008",204.94M
"Dec. 31, 2007",54.23M
"Sept. 30, 2007",301.94M
"June 30, 2007",58.53M
"March 31, 2007",141.70M
"Dec. 31, 2006",218.26M
"Sept. 30, 2006",595.93M
"June 30, 2006",759.11M
"March 31, 2006",821.33M
"Dec. 31, 2005",643.81M
"Sept. 30, 2005",341.06M
"June 30, 2005",282.70M
"March 31, 2005",173.38M
"Dec. 31, 2004",20.98M
"Sept. 30, 2004",81.91M
"June 30, 2004",67.84M
"March 31, 2004",95.72M
"Dec. 31, 2003",4.443M
"Sept. 30, 2003",184.49M
"June 30, 2003",150.97M
"March 31, 2003",6.833M
"Dec. 31, 2002",9.848M
"Sept. 30, 2002",7.782M
"June 30, 2002",9.206M
"March 31, 2002",5.403M
"Dec. 31, 2001",2.512M
"Sept. 30, 2001",11.34M
"June 30, 2001",68.29M
"March 31, 2001",30.85M
"Dec. 31, 2000",20.15M
"Sept. 30, 2000",16.71M
"June 30, 2000",11.71M
"March 31, 2000",33.36M
"Dec. 31, 1999",24.80M
"Sept. 30, 1999",18.80M
"June 30, 1999",11.40M
"March 31, 1999",13.10M
"Dec. 31, 1998",6.30M
"Sept. 30, 1998",9.20M
"June 30, 1998",13.60M
"March 31, 1998",5.10M
"Dec. 31, 1997",9.30M
"Sept. 30, 1997",6.10M
"June 30, 1997",16.50M
"March 31, 1997",3.60M
"Dec. 31, 1996",7.60M
"Sept. 30, 1996",9.70M
"June 30, 1996",38.10M
"March 31, 1996",26.50M
"Dec. 31, 1995",23.00M
"Sept. 30, 1995",8.50M
"June 30, 1995",20.40M
"March 31, 1995",15.30M
"Dec. 31, 1994",5.80M
"Sept. 30, 1994",86.80M
"June 30, 1994",85.70M
"March 31, 1994",57.20M
"Dec. 31, 1993",103.10M
"Sept. 30, 1993",116.80M
"June 30, 1993",42.10M
"March 31, 1993",39.90M
"Dec. 31, 1992",132.60M
"Sept. 30, 1992",182.50M
"June 30, 1992",11.60M
"March 31, 1992",17.30M
"Dec. 31, 1991",3.80M
"Sept. 30, 1991",5.40M
"June 30, 1991",3.40M
"March 31, 1991",12.80M
"Dec. 31, 1990",3.60M
"Sept. 30, 1990",35.30M
"June 30, 1990",8.80M
"March 31, 1990",23.80M
"Dec. 31, 1989",15.30M
