Ex-Date,Record Date,Pay Date,Declared Date,Type,Amoun
04/15/2020,04/16/2020,04/30/2020,02/27/2020,Normal,0.375
01/16/2020,01/17/2020,01/31/2020,12/10/2019,Normal,0.2875
10/16/2019,10/17/2019,10/31/2019,09/12/2019,Normal,0.2875
07/16/2019,07/17/2019,07/31/2019,05/02/2019,Normal,0.2875
04/15/2019,04/16/2019,04/30/2019,02/13/2019,Normal,0.22
01/16/2019,01/17/2019,01/31/2019,12/12/2018,Normal,0.22
10/16/2018,10/17/2018,10/31/2018,08/02/2018,Normal,0.22
07/16/2018,07/17/2018,07/31/2018,04/26/2018,Normal,0.185
04/13/2018,04/16/2018,04/30/2018,02/27/2018,Normal,0.185
01/16/2018,01/17/2018,01/31/2018,12/13/2017,Normal,0.1675
10/16/2017,10/17/2017,10/31/2017,09/19/2017,Normal,0.1675
07/13/2017,07/17/2017,07/31/2017,04/27/2017,Normal,0.1675
04/11/2017,04/13/2017,04/28/2017,02/28/2017,Normal,0.1675
01/12/2017,01/17/2017,01/31/2017,12/14/2016,Normal,0.1675
10/13/2016,10/17/2016,10/31/2016,09/28/2016,Normal,0.1675
07/13/2016,07/15/2016,07/29/2016,04/27/2016,Normal,0.1675
04/13/2016,04/15/2016,04/29/2016,02/25/2016,Normal,0.1675
01/13/2016,01/15/2016,01/29/2016,12/02/2015,Normal,0.1675
10/14/2015,10/16/2015,10/30/2015,09/22/2015,Normal,0.1675
07/15/2015,07/17/2015,07/31/2015,05/01/2015,Normal,0.1675
04/14/2015,04/16/2015,04/30/2015,02/23/2015,Normal,0.1675
01/14/2015,01/16/2015,01/30/2015,12/16/2014,Normal,0.1675
10/15/2014,10/17/2014,10/31/2014,08/06/2014,Normal,0.1675
07/15/2014,07/17/2014,07/31/2014,05/02/2014,Normal,0.125
04/14/2014,04/16/2014,04/30/2014,02/24/2014,Normal,0.125
01/15/2014,01/17/2014,01/31/2014,12/11/2013,Normal,0.0938
10/15/2013,10/17/2013,10/31/2013,09/06/2013,Normal,0.0938
07/15/2013,07/17/2013,07/31/2013,05/06/2013,Normal,0.0938
04/12/2013,04/16/2013,04/30/2013,02/14/2013,Normal,0.0938
01/15/2013,01/17/2013,01/31/2013,12/12/2012,Normal,0.085
10/15/2012,10/17/2012,10/31/2012,09/07/2012,Normal,0.085
07/13/2012,07/17/2012,07/31/2012,05/04/2012,Normal,0.085
04/12/2012,04/16/2012,04/30/2012,02/17/2012,Normal,0.085
01/12/2012,01/17/2012,01/31/2012,12/17/2011,Normal,0.08
10/13/2011,10/17/2011,10/31/2011,09/08/2011,Normal,0.08
07/13/2011,07/15/2011,07/29/2011,05/05/2011,Normal,0.08
04/13/2011,04/15/2011,04/29/2011,02/18/2011,Normal,0.08
01/12/2011,01/14/2011,01/31/2011,12/15/2010,Normal,0.0775
10/13/2010,10/15/2010,10/29/2010,09/10/2010,Normal,0.0775
07/14/2010,07/16/2010,07/30/2010,04/30/2010,Normal,0.0775
04/14/2010,04/16/2010,04/30/2010,02/10/2010,Normal,0.0775
01/13/2010,01/15/2010,01/29/2010,12/16/2009,Normal,0.0725
10/14/2009,10/16/2009,10/30/2009,09/04/2009,Normal,0.0725
07/15/2009,07/17/2009,07/31/2009,05/01/2009,Normal,0.0725
04/14/2009,04/16/2009,04/30/2009,02/04/2009,Normal,0.0725
01/14/2009,01/16/2009,01/30/2009,12/17/2008,Normal,0.0675
10/15/2008,10/17/2008,10/31/2008,07/30/2008,Normal,0.0675
07/15/2008,07/17/2008,07/31/2008,05/09/2008,Normal,0.06
04/14/2008,04/16/2008,04/30/2008,02/07/2008,Normal,0.06
01/15/2008,01/17/2008,01/31/2008,12/11/2007,Normal,0.045
10/15/2007,10/17/2007,10/31/2007,09/06/2007,Normal,0.045
07/13/2007,07/17/2007,07/31/2007,04/24/2007,Normal,0.045
04/12/2007,04/16/2007,04/30/2007,02/01/2007,Normal,0.045
01/12/2007,01/17/2007,01/31/2007,12/04/2006,Normal,0.03
10/13/2006,10/17/2006,10/31/2006,09/07/2006,Normal,0.03
07/13/2006,07/17/2006,07/31/2006,05/02/2006,Normal,0.03
04/11/2006,04/13/2006,04/28/2006,02/01/2006,Normal,0.03
01/12/2006,01/17/2006,01/31/2006,10/31/2005,Normal,0.02
10/13/2005,10/17/2005,10/31/2005,08/01/2005,Normal,0.02
07/13/2005,07/15/2005,07/29/2005,05/04/2005,Normal,0.02
04/13/2005,04/15/2005,04/29/2005,02/03/2005,Normal,0.02
01/12/2005,01/14/2005,01/31/2005,12/03/2004,Normal,0.015
10/13/2004,10/15/2004,10/29/2004,09/16/2004,Normal,0.015
07/14/2004,07/16/2004,07/30/2004,05/04/2004,Normal,0.015
04/14/2004,04/16/2004,04/30/2004,03/05/2004,Normal,0.015
01/14/2004,01/16/2004,01/30/2004,11/06/2003,Normal,0.0125
10/15/2003,10/17/2003,10/31/2003,09/05/2003,Normal,0.0125
07/15/2003,07/17/2003,07/31/2003,05/05/2003,Normal,0.0125
04/14/2003,04/16/2003,04/30/2003,02/20/2003,Normal,0.01
01/15/2003,01/17/2003,01/31/2003,12/10/2002,Normal,0.01
10/15/2002,10/17/2002,10/31/2002,09/10/2002,Normal,0.01
07/15/2002,07/17/2002,07/31/2002,05/07/2002,Normal,0.01
04/12/2002,04/16/2002,04/30/2002,03/01/2002,Normal,0.01
01/15/2002,01/17/2002,01/10/2002,12/11/2001,Normal,0.01
10/15/2001,10/17/2001,10/31/2001,09/12/2001,Normal,0.01
07/13/2001,07/17/2001,07/31/2001,05/08/2001,Normal,0.01
04/11/2001,04/16/2001,04/30/2001,02/13/2001,Normal,0.01
01/12/2001,01/17/2001,01/31/2001,12/12/2000,Normal,0.0088
10/13/2000,10/17/2000,10/31/2000,09/12/2000,Normal,0.0088
07/13/2000,07/17/2000,07/31/2000,05/09/2000,Normal,0.0088
04/13/2000,04/11/2000,--,03/02/2000,Normal,0.0075
04/12/2000,04/14/2000,04/28/2000,03/23/2000,Normal,0.0075
01/12/2000,01/14/2000,01/31/2000,12/09/1999,Normal,0.0075
10/13/1999,10/15/1999,10/29/1999,09/07/1999,Normal,0.0075
07/13/1999,07/15/1999,07/30/1999,06/30/1999,Normal,0.0075
04/13/1999,04/15/1999,04/30/1999,04/01/1999,Normal,0.0075
01/13/1999,01/15/1999,01/29/1999,12/08/1998,Normal,0.0075
10/13/1998,10/15/1998,10/30/1998,09/08/1998,Normal,0.0075
07/13/1998,07/15/1998,07/31/1998,05/06/1998,Normal,0.0075
04/13/1998,04/15/1998,04/30/1998,02/11/1998,Normal,0.0075
01/13/1998,01/15/1998,01/30/1998,12/09/1997,Normal,0.0075
10/10/1997,10/15/1997,10/31/1997,09/10/1997,Normal,0.0075
07/11/1997,07/15/1997,07/31/1997,05/06/1997,Normal,0.0075
04/11/1997,04/15/1997,04/30/1997,02/13/1997,Normal,0.0075
01/13/1997,01/15/1997,01/31/1997,12/11/1996,Normal,0.0075
10/10/1996,10/15/1996,10/31/1996,09/09/1996,Normal,0.0075
07/11/1996,07/15/1996,07/31/1996,05/08/1996,Normal,0.0075
04/11/1996,04/15/1996,04/30/1996,02/13/1996,Normal,0.0075
01/11/1996,01/09/1996,--,11/30/1995,Normal,0.0075
10/12/1995,10/16/1995,10/31/1995,09/22/1995,Normal,0.0075
07/12/1995,07/14/1995,07/31/1995,06/22/1995,Normal,0.0075
04/07/1995,04/13/1995,04/28/1995,03/18/1995,Normal,0.0075
01/09/1995,01/16/1995,01/31/1995,12/14/1994,Normal,0.0075
10/07/1994,10/14/1994,10/31/1994,09/06/1994,Normal,0.0075
07/11/1994,07/15/1994,07/29/1994,05/03/1994,Normal,0.0075
04/11/1994,04/15/1994,04/29/1994,02/08/1994,Normal,0.0075
01/10/1994,01/14/1994,01/31/1994,12/14/1993,Normal,0.0075
10/08/1993,10/15/1993,10/29/1993,09/08/1993,Normal,0.0075
07/09/1993,07/15/1993,07/30/1993,05/04/1993,Normal,0.0075
04/08/1993,04/15/1993,04/30/1993,02/10/1993,Normal,0.0075
01/11/1993,01/15/1993,01/29/1993,12/09/1992,Normal,0.0075
10/08/1992,10/15/1992,10/30/1992,09/09/1992,Normal,0.0062
07/09/1992,07/15/1992,07/31/1992,05/06/1992,Normal,0.0062
04/07/1992,04/13/1992,04/30/1992,03/18/1992,Normal,0.0062
01/09/1992,01/15/1992,01/31/1992,12/10/1991,Normal,0.0062
10/08/1991,10/15/1991,10/31/1991,09/11/1991,Normal,0.0062
07/09/1991,07/15/1991,07/31/1991,05/07/1991,Normal,0.0062
04/10/1991,04/16/1991,04/30/1991,02/13/1991,Normal,0.0062
01/09/1991,01/15/1991,01/31/1991,12/12/1990,Normal,0.0062
10/09/1990,10/15/1990,10/31/1990,09/12/1990,Normal,0.0062
07/10/1990,07/16/1990,07/31/1990,05/08/1990,Normal,0.0062
04/09/1990,04/16/1990,04/30/1990,03/13/1990,Normal,0.0062
01/10/1990,01/17/1990,01/31/1990,12/13/1989,Normal,0.0062
