date,forward_ps_ratio_1y
"March 19, 2020",1.153
"March 18, 2020",1.033
"March 17, 2020",1.072
"March 16, 2020",1.080
"March 13, 2020",1.208
"March 12, 2020",1.128
"March 11, 2020",1.349
"March 10, 2020",1.444
"March 9, 2020",1.305
"March 6, 2020",1.920
"March 5, 2020",2.148
"March 4, 2020",2.224
"March 3, 2020",2.167
"March 2, 2020",2.182
"Feb. 28, 2020",2.196
"Feb. 27, 2020",2.083
"Feb. 26, 2020",2.194
"Feb. 25, 2020",2.325
"Feb. 24, 2020",2.427
"Feb. 21, 2020",2.576
"Feb. 20, 2020",2.638
"Feb. 19, 2020",2.682
"Feb. 18, 2020",2.587
"Feb. 14, 2020",2.601
"Feb. 13, 2020",2.627
"Feb. 12, 2020",2.616
"Feb. 11, 2020",2.596
"Feb. 10, 2020",2.558
"Feb. 7, 2020",2.580
"Feb. 6, 2020",2.633
"Feb. 5, 2020",2.674
"Feb. 4, 2020",2.555
"Feb. 3, 2020",2.477
"Jan. 31, 2020",2.530
"Jan. 30, 2020",2.631
"Jan. 29, 2020",2.608
"Jan. 28, 2020",2.674
"Jan. 27, 2020",2.660
"Jan. 24, 2020",2.771
"Jan. 23, 2020",2.840
"Jan. 22, 2020",2.884
"Jan. 21, 2020",2.916
"Jan. 17, 2020",2.960
"Jan. 16, 2020",3.020
"Jan. 15, 2020",3.010
"Jan. 14, 2020",2.996
"Jan. 13, 2020",2.968
"Jan. 10, 2020",2.994
"Jan. 9, 2020",3.063
"Jan. 8, 2020",3.031
"Jan. 7, 2020",3.099
"Jan. 6, 2020",3.069
"Jan. 3, 2020",2.949
"Jan. 2, 2020",2.920
"Dec. 31, 2019",2.907
"Dec. 30, 2019",2.876
"Dec. 27, 2019",2.902
"Dec. 26, 2019",2.920
"Dec. 24, 2019",2.925
"Dec. 23, 2019",2.910
"Dec. 20, 2019",2.885
"Dec. 19, 2019",2.836
"Dec. 18, 2019",2.813
"Dec. 17, 2019",2.751
"Dec. 16, 2019",2.719
"Dec. 13, 2019",2.635
"Dec. 12, 2019",2.678
"Dec. 11, 2019",2.606
"Dec. 10, 2019",2.612
"Dec. 9, 2019",2.601
"Dec. 6, 2019",2.582
"Dec. 5, 2019",2.464
"Dec. 4, 2019",2.515
"Dec. 3, 2019",2.401
"Dec. 2, 2019",2.471
"Nov. 29, 2019",2.475
"Nov. 27, 2019",2.525
"Nov. 26, 2019",2.510
"Nov. 25, 2019",2.566
"Nov. 22, 2019",2.548
"Nov. 21, 2019",2.559
"Nov. 20, 2019",2.515
"Nov. 19, 2019",2.457
"Nov. 18, 2019",2.487
"Nov. 15, 2019",2.565
"Nov. 14, 2019",2.525
"Nov. 13, 2019",2.534
"Nov. 12, 2019",2.558
"Nov. 11, 2019",2.577
"Nov. 8, 2019",2.607
"Nov. 7, 2019",2.609
"Nov. 6, 2019",2.493
"Nov. 5, 2019",2.583
"Nov. 4, 2019",2.572
"Nov. 1, 2019",2.483
"Oct. 31, 2019",2.419
"Oct. 30, 2019",2.43
"Oct. 29, 2019",2.506
"Oct. 28, 2019",2.480
"Oct. 25, 2019",2.530
"Oct. 24, 2019",2.512
"Oct. 23, 2019",2.511
"Oct. 22, 2019",2.428
"Oct. 21, 2019",2.362
"Oct. 18, 2019",2.249
"Oct. 17, 2019",2.331
