date,sales_est_0y
"March 19, 2020",16.67B
"March 16, 2020",16.70B
"March 13, 2020",18.42B
"March 10, 2020",18.42B
"March 9, 2020",17.87B
"March 3, 2020",18.45B
"March 2, 2020",18.57B
"Feb. 28, 2020",18.19B
"Feb. 14, 2020",18.41B
"Feb. 3, 2020",18.36B
"Jan. 27, 2020",18.34B
"Jan. 24, 2020",18.32B
"Jan. 23, 2020",18.29B
"Jan. 22, 2020",18.34B
"Jan. 21, 2020",18.34B
"Jan. 14, 2020",18.31B
"Jan. 13, 2020",18.06B
"Jan. 10, 2020",18.00B
"Dec. 31, 2019",17.37B
"Dec. 16, 2019",17.27B
"Dec. 9, 2019",17.27B
"Dec. 5, 2019",17.16B
"Nov. 21, 2019",17.14B
"Nov. 16, 2019",17.12B
"Nov. 15, 2019",17.13B
"Nov. 13, 2019",17.10B
"Nov. 12, 2019",17.14B
"Nov. 11, 2019",17.26B
"Nov. 9, 2019",17.28B
"Nov. 8, 2019",17.35B
"Nov. 7, 2019",17.33B
"Oct. 22, 2019",17.53B
"Oct. 21, 2019",17.58B
"Oct. 20, 2019",17.61B
"Oct. 19, 2019",17.61B
"Oct. 17, 2019",17.60B
"Oct. 16, 2019",17.59B
"Oct. 15, 2019",17.60B
"Oct. 14, 2019",17.65B
"Oct. 11, 2019",17.65B
"Oct. 10, 2019",17.65B
"Oct. 4, 2019",17.65B
"Oct. 3, 2019",17.66B
"Sept. 24, 2019",17.69B
"Sept. 16, 2019",17.65B
"Aug. 30, 2019",17.65B
"Aug. 29, 2019",17.69B
"Aug. 28, 2019",17.69B
"Aug. 22, 2019",17.70B
"Aug. 16, 2019",17.75B
"Aug. 15, 2019",17.74B
"Aug. 13, 2019",17.73B
"Aug. 9, 2019",17.74B
"Aug. 7, 2019",17.74B
"Aug. 5, 2019",17.74B
"Aug. 3, 2019",17.71B
"Aug. 2, 2019",17.55B
"July 23, 2019",17.49B
"July 22, 2019",17.53B
"July 19, 2019",17.59B
"July 18, 2019",17.57B
"July 17, 2019",17.57B
"July 16, 2019",17.60B
"July 15, 2019",17.61B
"July 12, 2019",17.68B
"July 11, 2019",17.68B
"July 10, 2019",17.68B
"July 8, 2019",17.69B
"June 28, 2019",17.74B
"June 27, 2019",17.77B
"June 24, 2019",17.77B
"June 20, 2019",17.80B
"June 14, 2019",17.86B
"June 3, 2019",17.93B
"May 28, 2019",17.93B
"May 16, 2019",17.92B
"May 15, 2019",17.93B
"May 14, 2019",17.93B
"May 13, 2019",17.93B
"May 8, 2019",17.94B
"May 6, 2019",17.92B
"May 3, 2019",18.12B
"May 2, 2019",17.87B
"April 29, 2019",17.78B
"April 26, 2019",17.76B
"April 24, 2019",17.36B
"April 22, 2019",17.34B
"April 18, 2019",17.39B
"April 17, 2019",17.28B
"April 16, 2019",17.25B
"April 12, 2019",17.22B
"April 11, 2019",17.50B
"April 3, 2019",17.51B
"March 26, 2019",17.52B
"March 22, 2019",17.47B
"March 21, 2019",17.32B
"March 19, 2019",17.31B
"March 18, 2019",17.19B
"March 5, 2019",17.15B
"March 4, 2019",17.27B
"March 1, 2019",17.26B
"Feb. 28, 2019",17.25B
"Feb. 27, 2019",17.32B
"Feb. 11, 2019",17.65B
"Feb. 6, 2019",17.75B
"Jan. 31, 2019",17.67B
"Jan. 30, 2019",17.60B
"Jan. 29, 2019",17.50B
"Jan. 28, 2019",17.60B
"Jan. 25, 2019",17.60B
"Jan. 24, 2019",17.84B
"Jan. 23, 2019",17.90B
"Jan. 17, 2019",17.79B
"Jan. 16, 2019",17.91B
"Jan. 15, 2019",18.09B
"Jan. 9, 2019",18.09B
"Jan. 8, 2019",18.79B
"Jan. 7, 2019",18.89B
"Dec. 31, 2018",17.24B
"Dec. 17, 2018",17.36B
"Dec. 11, 2018",17.37B
"Dec. 7, 2018",17.24B
"Dec. 4, 2018",17.24B
"Nov. 27, 2018",17.24B
"Nov. 26, 2018",17.39B
"Nov. 20, 2018",17.41B
"Nov. 18, 2018",17.46B
"Nov. 16, 2018",17.46B
"Nov. 13, 2018",17.09B
"Nov. 9, 2018",17.10B
"Nov. 5, 2018",17.09B
"Nov. 2, 2018",16.72B
"Nov. 1, 2018",16.60B
"Oct. 26, 2018",16.62B
"Oct. 25, 2018",16.73B
"Oct. 23, 2018",17.06B
"Oct. 22, 2018",17.20B
"Oct. 19, 2018",17.22B
"Oct. 15, 2018",17.10B
"Oct. 13, 2018",17.08B
"Oct. 12, 2018",17.15B
"Oct. 9, 2018",17.11B
"Oct. 8, 2018",17.10B
"Oct. 2, 2018",17.09B
"Sept. 26, 2018",16.63B
"Sept. 19, 2018",16.63B
"Sept. 13, 2018",16.70B
"Sept. 6, 2018",16.64B
"Aug. 30, 2018",16.55B
"Aug. 28, 2018",16.57B
"Aug. 20, 2018",16.56B
"Aug. 16, 2018",16.47B
"Aug. 13, 2018",16.52B
"Aug. 8, 2018",16.51B
"Aug. 7, 2018",16.40B
"Aug. 6, 2018",16.34B
"Aug. 4, 2018",16.18B
"Aug. 3, 2018",16.05B
"Aug. 2, 2018",16.27B
"July 25, 2018",16.27B
"July 24, 2018",16.19B
"July 23, 2018",16.19B
"July 20, 2018",16.19B
"July 19, 2018",16.08B
"July 18, 2018",16.11B
"July 17, 2018",16.11B
"July 16, 2018",16.20B
"July 12, 2018",16.16B
"July 9, 2018",16.24B
"July 3, 2018",16.20B
"July 2, 2018",15.38B
"June 29, 2018",14.40B
"June 11, 2018",14.45B
"May 28, 2018",14.83B
"May 25, 2018",15.45B
"May 24, 2018",15.51B
"May 21, 2018",15.47B
"May 19, 2018",15.52B
"May 17, 2018",15.41B
"May 9, 2018",15.31B
"May 8, 2018",15.24B
"May 7, 2018",15.90B
"May 4, 2018",16.00B
"May 1, 2018",15.28B
"April 26, 2018",15.20B
"April 24, 2018",15.19B
"April 18, 2018",15.10B
"April 17, 2018",14.81B
"April 11, 2018",14.79B
"March 28, 2018",14.77B
"March 23, 2018",14.75B
"March 12, 2018",14.75B
"March 7, 2018",14.64B
"March 6, 2018",14.64B
"March 5, 2018",14.55B
"March 1, 2018",14.44B
"Feb. 28, 2018",14.25B
"Feb. 27, 2018",14.27B
"Feb. 12, 2018",14.00B
"Feb. 11, 2018",14.00B
"Jan. 31, 2018",13.99B
"Jan. 30, 2018",13.82B
"Jan. 24, 2018",13.35B
"Jan. 23, 2018",13.28B
"Jan. 22, 2018",12.83B
"Jan. 11, 2018",12.77B
"Jan. 3, 2018",12.72B
