date,shareholders_equity
"Dec. 31, 2019",21.64B
"Sept. 30, 2019",21.12B
"June 30, 2019",20.63B
"March 31, 2019",19.90B
"Dec. 31, 2018",19.36B
"Sept. 30, 2018",18.54B
"June 30, 2018",17.45B
"March 31, 2018",16.84B
"Dec. 31, 2017",16.28B
"Sept. 30, 2017",13.92B
"June 30, 2017",13.90B
"March 31, 2017",13.93B
"Dec. 31, 2016",13.98B
"Sept. 30, 2016",11.80B
"June 30, 2016",12.06B
"March 31, 2016",12.41B
"Dec. 31, 2015",12.94B
"Sept. 30, 2015",13.28B
"June 30, 2015",17.43B
"March 31, 2015",17.47B
"Dec. 31, 2014",17.71B
"Sept. 30, 2014",17.72B
"June 30, 2014",16.71B
"March 31, 2014",16.03B
"Dec. 31, 2013",15.42B
"Sept. 30, 2013",14.86B
"June 30, 2013",14.38B
"March 31, 2013",13.76B
"Dec. 31, 2012",13.28B
"Sept. 30, 2012",13.79B
"June 30, 2012",13.36B
"March 31, 2012",12.99B
"Dec. 31, 2011",12.64B
"Sept. 30, 2011",12.49B
"June 30, 2011",12.08B
"March 31, 2011",11.79B
"Dec. 31, 2010",10.23B
"Sept. 30, 2010",10.12B
"June 30, 2010",10.13B
"March 31, 2010",10.16B
"Dec. 31, 2009",9.998B
"Sept. 30, 2009",9.518B
"June 30, 2009",9.260B
"March 31, 2009",9.116B
"Dec. 31, 2008",9.014B
"Sept. 30, 2008",8.920B
"June 30, 2008",7.426B
"March 31, 2008",7.191B
"Dec. 31, 2007",6.990B
"Sept. 30, 2007",6.627B
"June 30, 2007",6.293B
"March 31, 2007",5.846B
"Dec. 31, 2006",5.600B
"Sept. 30, 2006",5.474B
"June 30, 2006",5.148B
"March 31, 2006",4.743B
"Dec. 31, 2005",4.316B
"Sept. 30, 2005",3.851B
"June 30, 2005",3.399B
"March 31, 2005",3.154B
"Dec. 31, 2004",2.945B
"Sept. 30, 2004",2.726B
"June 30, 2004",2.478B
"March 31, 2004",2.316B
"Dec. 31, 2003",2.223B
"Sept. 30, 2003",2.100B
"June 30, 2003",1.982B
"March 31, 2003",1.823B
"Dec. 31, 2002",1.672B
"Sept. 30, 2002",1.666B
"June 30, 2002",1.686B
"March 31, 2002",1.625B
"Dec. 31, 2001",1.643B
"Sept. 30, 2001",1.689B
"June 30, 2001",1.659B
"March 31, 2001",1.532B
"Dec. 31, 2000",1.381B
"Sept. 30, 2000",1.248B
"June 30, 2000",1.163B
"March 31, 2000",1.134B
"Dec. 31, 1999",1.130B
"Sept. 30, 1999",951.70M
"June 30, 1999",1.31B
"March 31, 1999",1.285B
"Dec. 31, 1998",1.280B
"Sept. 30, 1998",1.276B
"June 30, 1998",1.300B
"March 31, 1998",1.299B
"Dec. 31, 1997",1.281B
"Sept. 30, 1997",1.275B
"June 30, 1997",1.255B
"March 31, 1997",1.25B
"Dec. 31, 1996",1.265B
"Sept. 30, 1996",1.237B
"June 30, 1996",1.214B
"March 31, 1996",1.175B
"Dec. 31, 1995",1.164B
"Sept. 30, 1995",1.140B
"June 30, 1995",1.131B
"March 31, 1995",1.086B
"Dec. 31, 1994",1.043B
"Sept. 30, 1994",1.020B
"June 30, 1994",981.30M
"March 31, 1994",952.00M
"Dec. 31, 1993",933.10M
"Sept. 30, 1993",899.00M
"June 30, 1993",875.10M
"March 31, 1993",850.70M
"Dec. 31, 1992",834.00M
"Sept. 30, 1992",800.40M
"June 30, 1992",675.90M
"March 31, 1992",665.90M
"Dec. 31, 1991",650.20M
"Sept. 30, 1991",633.70M
"June 30, 1991",652.20M
"March 31, 1991",618.30M
"Dec. 31, 1990",610.00M
"Sept. 30, 1990",594.00M
"June 30, 1990",582.30M
"March 31, 1990",586.40M
"Dec. 31, 1989",582.30M
