date,total_long_term_debt
"Dec. 31, 2019",5.175B
"Sept. 30, 2019",5.177B
"June 30, 2019",5.179B
"March 31, 2019",6.081B
"Dec. 31, 2018",6.083B
"Sept. 30, 2018",6.435B
"June 30, 2018",6.435B
"March 31, 2018",6.435B
"Dec. 31, 2017",6.387B
"Sept. 30, 2017",6.387B
"June 30, 2017",6.987B
"March 31, 2017",6.987B
"Dec. 31, 2016",6.986B
"Sept. 30, 2016",6.986B
"June 30, 2016",6.986B
"March 31, 2016",6.986B
"Dec. 31, 2015",6.655B
"Sept. 30, 2015",6.430B
"June 30, 2015",6.400B
"March 31, 2015",6.900B
"Dec. 31, 2014",5.910B
"Sept. 30, 2014",5.910B
"June 30, 2014",5.910B
"March 31, 2014",5.910B
"Dec. 31, 2013",5.913B
"Sept. 30, 2013",6.313B
"June 30, 2013",6.313B
"March 31, 2013",6.312B
"Dec. 31, 2012",6.312B
"Sept. 30, 2012",6.305B
"June 30, 2012",5.012B
"March 31, 2012",5.011B
"Dec. 31, 2011",5.009B
"Sept. 30, 2011",5.228B
"June 30, 2011",5.226B
"March 31, 2011",5.225B
"Dec. 31, 2010",5.223B
"Sept. 30, 2010",3.769B
"June 30, 2010",3.734B
"March 31, 2010",2.797B
"Dec. 31, 2009",2.797B
"Sept. 30, 2009",2.797B
"June 30, 2009",2.797B
"March 31, 2009",2.105B
"Dec. 31, 2008",1.897B
"Sept. 30, 2008",1.897B
"June 30, 2008",1.147B
"March 31, 2008",1.185B
"Dec. 31, 2007",1.185B
"Sept. 30, 2007",1.283B
"June 30, 2007",883.84M
"March 31, 2007",820.04M
"Dec. 31, 2006",733.44M
"Sept. 30, 2006",829.52M
"June 30, 2006",892.52M
"March 31, 2006",932.74M
"Dec. 31, 2005",985.07M
"Sept. 30, 2005",1.043B
"June 30, 2005",1.117B
"March 31, 2005",1.120B
"Dec. 31, 2004",1.078B
"Sept. 30, 2004",1.063B
"June 30, 2004",1.086B
"March 31, 2004",1.086B
"Dec. 31, 2003",1.109B
"Sept. 30, 2003",1.011B
"June 30, 2003",1.011B
"March 31, 2003",1.044B
"Dec. 31, 2002",1.145B
"Sept. 30, 2002",1.091B
"June 30, 2002",1.036B
"March 31, 2002",975.66M
"Dec. 31, 2001",855.97M
"Sept. 30, 2001",701.02M
"June 30, 2001",640.82M
"March 31, 2001",644.87M
"Dec. 31, 2000",859.00M
"Sept. 30, 2000",945.17M
"June 30, 2000",949.55M
"March 31, 2000",940.92M
"Dec. 31, 1999",990.30M
"Sept. 30, 1999",1.165B
"June 30, 1999",1.140B
"March 31, 1999",1.170B
"Dec. 31, 1998",1.143B
"Sept. 30, 1998",1.074B
"June 30, 1998",850.90M
"March 31, 1998",799.20M
"Dec. 31, 1997",741.30M
"Sept. 30, 1997",678.60M
"June 30, 1997",633.60M
"March 31, 1997",518.10M
"Dec. 31, 1996",466.10M
"Sept. 30, 1996",300.70M
"June 30, 1996",288.60M
"March 31, 1996",318.40M
"Dec. 31, 1995",289.10M
"Sept. 30, 1995",263.90M
"June 30, 1995",215.70M
"March 31, 1995",200.00M
"Dec. 31, 1994",192.00M
"Sept. 30, 1994",183.90M
"June 30, 1994",176.00M
"March 31, 1994",153.00M
"Dec. 31, 1993",183.00M
"Sept. 30, 1993",150.00M
"June 30, 1993",150.00M
"March 31, 1993",150.00M
"Dec. 31, 1992",150.00M
"Sept. 30, 1992",159.90M
"June 30, 1992",426.70M
"March 31, 1992",418.30M
"Dec. 31, 1991",422.40M
"Sept. 30, 1991",396.40M
"June 30, 1991",382.60M
"March 31, 1991",413.10M
"Dec. 31, 1990",418.40M
"Sept. 30, 1990",408.70M
"June 30, 1990",450.10M
"March 31, 1990",393.80M
"Dec. 31, 1989",360.00M
"Sept. 30, 1989",0.00
"June 30, 1989",0.00
"March 31, 1989",0.00
