date,eps_est_0y
"March 19, 2020",3.654
"March 12, 2020",3.654
"March 11, 2020",3.653
"March 10, 2020",3.651
"Feb. 28, 2020",3.652
"Feb. 21, 2020",3.652
"Feb. 19, 2020",3.647
"Jan. 28, 2020",3.642
"Jan. 23, 2020",3.646
"Jan. 22, 2020",3.647
"Jan. 21, 2020",3.648
"Jan. 17, 2020",3.648
"Jan. 16, 2020",3.651
"Jan. 15, 2020",3.650
"Jan. 7, 2020",3.650
"Dec. 31, 2019",3.454
"Dec. 11, 2019",3.457
"Nov. 25, 2019",3.458
"Nov. 21, 2019",3.462
"Nov. 7, 2019",3.462
"Nov. 6, 2019",3.461
"Oct. 21, 2019",3.461
"Oct. 18, 2019",3.459
"Oct. 17, 2019",3.459
"Oct. 14, 2019",3.455
"Oct. 8, 2019",3.454
"Sept. 24, 2019",3.460
"Sept. 9, 2019",3.456
"Sept. 4, 2019",3.455
"Aug. 19, 2019",3.456
"Aug. 16, 2019",3.458
"Aug. 5, 2019",3.458
"Aug. 4, 2019",3.458
"Aug. 2, 2019",3.459
"Aug. 1, 2019",3.460
"July 23, 2019",3.459
"July 22, 2019",3.452
"July 19, 2019",3.454
"July 18, 2019",3.454
"July 16, 2019",3.461
"July 12, 2019",3.462
"June 18, 2019",3.461
"June 14, 2019",3.459
"June 5, 2019",3.458
"June 4, 2019",3.457
"June 3, 2019",3.454
"May 31, 2019",3.460
"May 30, 2019",3.461
"May 13, 2019",3.462
"May 7, 2019",3.462
"May 3, 2019",3.462
"May 2, 2019",3.460
"April 29, 2019",3.468
"April 27, 2019",3.463
"April 22, 2019",3.461
"April 18, 2019",3.461
"April 17, 2019",3.465
"April 8, 2019",3.465
"April 2, 2019",3.465
"March 13, 2019",3.461
"March 7, 2019",3.458
"March 4, 2019",3.456
"March 1, 2019",3.455
"Feb. 25, 2019",3.456
"Feb. 22, 2019",3.459
"Feb. 21, 2019",3.465
"Feb. 19, 2019",3.488
"Feb. 13, 2019",3.488
"Jan. 23, 2019",3.488
"Jan. 22, 2019",3.486
"Jan. 18, 2019",3.486
"Jan. 11, 2019",3.488
"Jan. 7, 2019",3.486
"Dec. 31, 2018",3.282
"Dec. 4, 2018",3.270
"Nov. 30, 2018",3.269
"Nov. 27, 2018",3.270
"Nov. 5, 2018",3.268
"Nov. 2, 2018",3.267
"Oct. 22, 2018",3.266
"Oct. 19, 2018",3.265
"Oct. 18, 2018",3.264
"Oct. 17, 2018",3.264
"Oct. 11, 2018",3.264
"Sept. 25, 2018",3.262
"Sept. 4, 2018",3.262
"Aug. 29, 2018",3.262
"Aug. 7, 2018",3.257
"Aug. 3, 2018",3.258
"Aug. 2, 2018",3.257
"Aug. 1, 2018",3.256
"July 23, 2018",3.257
"July 18, 2018",3.257
"July 13, 2018",3.257
"July 9, 2018",3.256
"July 3, 2018",3.256
"June 18, 2018",3.255
"May 29, 2018",3.254
"May 23, 2018",3.254
"May 17, 2018",3.253
"May 11, 2018",3.253
"May 4, 2018",3.253
"May 3, 2018",3.253
"May 2, 2018",3.254
"May 1, 2018",3.250
"April 30, 2018",3.250
"April 24, 2018",3.254
"April 20, 2018",3.255
"April 19, 2018",3.255
"April 10, 2018",3.255
"April 4, 2018",3.256
"April 3, 2018",3.254
"April 2, 2018",3.254
"March 29, 2018",3.255
"March 28, 2018",3.256
"March 12, 2018",3.255
"March 7, 2018",3.256
"March 5, 2018",3.256
"March 2, 2018",3.259
"March 1, 2018",3.259
"Feb. 27, 2018",3.257
"Feb. 26, 2018",3.261
"Feb. 25, 2018",3.260
"Feb. 23, 2018",3.264
"Feb. 8, 2018",3.298
"Feb. 3, 2018",3.300
"Feb. 2, 2018",3.305
"Feb. 1, 2018",3.314
"Jan. 29, 2018",3.316
"Jan. 26, 2018",3.320
"Jan. 25, 2018",3.318
"Jan. 24, 2018",3.314
"Jan. 23, 2018",3.314
"Jan. 17, 2018",3.314
"Jan. 10, 2018",3.315
"Jan. 6, 2018",3.317
