date,free_cash_flow
"Dec. 31, 2019",-895.68M
"Sept. 30, 2019",446.93M
"June 30, 2019",-206.47M
"March 31, 2019",-246.69M
"Dec. 31, 2018",-720.85M
"Sept. 30, 2018",535.00M
"June 30, 2018",-123.92M
"March 31, 2018",-429.62M
"Dec. 31, 2017",-185.47M
"Sept. 30, 2017",-43.47M
"June 30, 2017",-44.75M
"March 31, 2017",-78.21M
"Dec. 31, 2016",-59.82M
"Sept. 30, 2016",181.93M
"June 30, 2016",40.78M
"March 31, 2016",68.49M
"Dec. 31, 2015",-78.00M
"Sept. 30, 2015",49.13M
"June 30, 2015",-4.052M
"March 31, 2015",128.96M
"Dec. 31, 2014",-238.29M
"Sept. 30, 2014",113.90M
"June 30, 2014",27.52M
"March 31, 2014",145.10M
"Dec. 31, 2013",103.54M
"Sept. 30, 2013",34.44M
"June 30, 2013",-15.42M
"March 31, 2013",84.19M
"Dec. 31, 2012",-25.30M
"Sept. 30, 2012",84.23M
"June 30, 2012",-74.50M
"March 31, 2012",-295.48M
"Dec. 31, 2011",-245.73M
"Sept. 30, 2011",-78.78M
"June 30, 2011",82.09M
"March 31, 2011",136.08M
"Dec. 31, 2010",-27.08M
"Sept. 30, 2010",74.69M
"June 30, 2010",68.16M
"March 31, 2010",23.22M
"Dec. 31, 2009",-45.71M
"Sept. 30, 2009",39.24M
"June 30, 2009",156.39M
"March 31, 2009",-68.94M
"Dec. 31, 2008",-74.87M
"Sept. 30, 2008",-182.23M
"June 30, 2008",-152.92M
"March 31, 2008",-190.41M
"Dec. 31, 2007",-184.31M
"Sept. 30, 2007",-153.44M
"June 30, 2007",-34.32M
"March 31, 2007",-494.31M
"Dec. 31, 2006",-245.07M
"Sept. 30, 2006",-52.48M
"June 30, 2006",-6.457M
"March 31, 2006",-161.10M
"Dec. 31, 2005",-165.37M
"Sept. 30, 2005",-113.64M
"June 30, 2005",-77.43M
"March 31, 2005",22.29M
"Dec. 31, 2004",-105.26M
"Sept. 30, 2004",-212.68M
"June 30, 2004",12.50M
"March 31, 2004",178.68M
"Dec. 31, 2003",-49.08M
"Sept. 30, 2003",93.73M
"June 30, 2003",-48.80M
"March 31, 2003",33.94M
"Dec. 31, 2002",-35.00M
"Sept. 30, 2002",5.04M
"June 30, 2002",11.12M
"March 31, 2002",123.62M
"Dec. 31, 2001",-218.26M
"Sept. 30, 2001",152.41M
"June 30, 2001",-131.12M
"March 31, 2001",131.12M
"Dec. 31, 2000",4.922M
"Sept. 30, 2000",58.36M
"June 30, 2000",55.03M
"March 31, 2000",46.05M
"Dec. 31, 1999",-99.50M
"Sept. 30, 1999",79.43M
"June 30, 1999",81.17M
"March 31, 1999",223.50M
"Dec. 31, 1998",43.30M
"Sept. 30, 1998",104.00M
"June 30, 1998",66.50M
"March 31, 1998",240.90M
"Dec. 31, 1997",28.10M
"Sept. 30, 1997",74.80M
"June 30, 1997",45.30M
"March 31, 1997",-11.30M
"Dec. 31, 1996",72.60M
"Sept. 30, 1996",108.60M
"June 30, 1996",154.40M
"March 31, 1996",242.50M
"Dec. 31, 1995",97.60M
"Sept. 30, 1995",235.20M
"June 30, 1995",95.00M
"March 31, 1995",205.80M
"Dec. 31, 1994",135.30M
"Sept. 30, 1994",221.00M
"June 30, 1994",77.20M
"March 31, 1994",199.20M
