date,springate_score
"Dec. 31, 2019",0.5721
"Sept. 30, 2019",0.5554
"June 30, 2019",0.5515
"March 31, 2019",0.5788
"Dec. 31, 2018",0.5974
"Sept. 30, 2018",0.6535
"June 30, 2018",0.6674
"March 31, 2018",0.6828
"Dec. 31, 2017",0.7162
"Sept. 30, 2017",0.7722
"June 30, 2017",0.7458
"March 31, 2017",0.7941
"Dec. 31, 2016",0.7867
"Sept. 30, 2016",0.8211
"June 30, 2016",0.8068
"March 31, 2016",0.7721
"Dec. 31, 2015",0.7533
"Sept. 30, 2015",0.767
"June 30, 2015",0.7762
"March 31, 2015",0.7407
"Dec. 31, 2014",0.7204
"Sept. 30, 2014",0.677
"June 30, 2014",0.6607
"March 31, 2014",0.6626
"Dec. 31, 2013",0.6011
"Sept. 30, 2013",0.5806
"June 30, 2013",0.6025
"March 31, 2013",0.5746
"Dec. 31, 2012",0.5668
"Sept. 30, 2012",0.583
"June 30, 2012",0.5692
"March 31, 2012",0.7195
"Dec. 31, 2011",0.7584
"Sept. 30, 2011",0.9539
"June 30, 2011",1.031
"March 31, 2011",1.130
"Dec. 31, 2010",1.165
"Sept. 30, 2010",1.042
"June 30, 2010",0.986
"March 31, 2010",0.9548
"Dec. 31, 2009",0.8792
"Sept. 30, 2009",0.8461
"June 30, 2009",0.8626
"March 31, 2009",0.8427
"Dec. 31, 2008",0.7674
"Sept. 30, 2008",0.8239
"June 30, 2008",0.7966
"March 31, 2008",0.7334
