date,ytd_return
"March 19, 2020",-9.43%
"March 18, 2020",1.39%
"March 17, 2020",2.52%
"March 16, 2020",-9.27%
"March 13, 2020",4.07%
"March 12, 2020",-2.88%
"March 11, 2020",3.20%
"March 10, 2020",7.14%
"March 9, 2020",8.80%
"March 6, 2020",13.27%
"March 5, 2020",14.54%
"March 4, 2020",15.83%
"March 3, 2020",8.62%
"March 2, 2020",10.05%
"Feb. 28, 2020",1.63%
"Feb. 27, 2020",5.23%
"Feb. 26, 2020",9.86%
"Feb. 25, 2020",9.77%
"Feb. 24, 2020",11.92%
"Feb. 21, 2020",12.80%
"Feb. 20, 2020",12.44%
"Feb. 19, 2020",10.85%
"Feb. 18, 2020",11.45%
"Feb. 14, 2020",10.10%
"Feb. 13, 2020",8.71%
"Feb. 12, 2020",7.28%
"Feb. 11, 2020",7.18%
"Feb. 10, 2020",7.41%
"Feb. 7, 2020",6.48%
"Feb. 6, 2020",6.82%
"Feb. 5, 2020",6.37%
"Feb. 4, 2020",6.50%
"Feb. 3, 2020",8.63%
"Jan. 31, 2020",8.66%
"Jan. 30, 2020",9.57%
"Jan. 29, 2020",8.60%
"Jan. 28, 2020",7.90%
"Jan. 27, 2020",7.41%
"Jan. 24, 2020",7.92%
"Jan. 23, 2020",7.25%
"Jan. 22, 2020",5.74%
"Jan. 21, 2020",5.56%
"Jan. 17, 2020",4.30%
"Jan. 16, 2020",3.16%
"Jan. 15, 2020",2.64%
"Jan. 14, 2020",0.92%
"Jan. 13, 2020",0.09%
"Jan. 10, 2020",-0.78%
"Jan. 9, 2020",-1.96%
"Jan. 8, 2020",-2.73%
"Jan. 7, 2020",-2.81%
"Jan. 6, 2020",-2.07%
"Jan. 3, 2020",-2.60%
"Jan. 2, 2020",-2.16%
"Dec. 31, 2019",30.80%
"Dec. 30, 2019",29.78%
"Dec. 27, 2019",29.64%
"Dec. 26, 2019",29.61%
"Dec. 24, 2019",29.09%
"Dec. 23, 2019",28.74%
"Dec. 20, 2019",30.06%
"Dec. 19, 2019",28.81%
"Dec. 18, 2019",28.52%
"Dec. 17, 2019",27.31%
"Dec. 16, 2019",26.15%
"Dec. 13, 2019",25.06%
"Dec. 12, 2019",24.31%
"Dec. 11, 2019",25.08%
"Dec. 10, 2019",24.51%
"Dec. 9, 2019",24.11%
"Dec. 6, 2019",24.85%
"Dec. 5, 2019",26.32%
"Dec. 4, 2019",27.64%
"Dec. 3, 2019",26.12%
"Dec. 2, 2019",26.11%
"Nov. 29, 2019",27.06%
"Nov. 27, 2019",27.46%
"Nov. 26, 2019",27.18%
"Nov. 25, 2019",26.31%
"Nov. 22, 2019",26.43%
"Nov. 21, 2019",26.41%
"Nov. 20, 2019",26.84%
"Nov. 19, 2019",26.38%
"Nov. 18, 2019",26.31%
"Nov. 15, 2019",24.95%
"Nov. 14, 2019",24.23%
"Nov. 13, 2019",24.40%
"Nov. 12, 2019",21.76%
"Nov. 11, 2019",21.91%
"Nov. 8, 2019",22.09%
"Nov. 7, 2019",22.06%
"Nov. 6, 2019",25.14%
"Nov. 5, 2019",24.66%
"Nov. 4, 2019",25.18%
"Nov. 1, 2019",27.29%
"Oct. 31, 2019",28.75%
"Oct. 30, 2019",27.98%
"Oct. 29, 2019",27.46%
"Oct. 28, 2019",28.92%
"Oct. 25, 2019",31.17%
"Oct. 24, 2019",32.53%
"Oct. 23, 2019",32.32%
"Oct. 22, 2019",32.01%
"Oct. 21, 2019",32.44%
"Oct. 18, 2019",31.61%
"Oct. 17, 2019",30.87%
"Oct. 16, 2019",30.04%
"Oct. 15, 2019",29.29%
"Oct. 14, 2019",30.32%
"Oct. 11, 2019",31.57%
"Oct. 10, 2019",31.52%
"Oct. 9, 2019",32.36%
"Oct. 8, 2019",30.46%
"Oct. 7, 2019",31.26%
"Oct. 4, 2019",31.63%
"Oct. 3, 2019",30.17%
"Oct. 2, 2019",29.80%
"Oct. 1, 2019",31.24%
"Sept. 30, 2019",31.41%
"Sept. 27, 2019",31.21%
"Sept. 26, 2019",31.09%
"Sept. 25, 2019",30.14%
"Sept. 24, 2019",30.17%
"Sept. 23, 2019",28.37%
"Sept. 20, 2019",28.01%
"Sept. 19, 2019",27.97%
"Sept. 18, 2019",28.18%
"Sept. 17, 2019",27.84%
"Sept. 16, 2019",26.75%
"Sept. 13, 2019",26.66%
"Sept. 12, 2019",27.40%
"Sept. 11, 2019",26.34%
"Sept. 10, 2019",25.88%
"Sept. 9, 2019",25.77%
"Sept. 6, 2019",26.61%
"Sept. 5, 2019",26.12%
"Sept. 4, 2019",26.83%
"Sept. 3, 2019",25.26%
"Aug. 30, 2019",23.20%
"Aug. 29, 2019",23.63%
"Aug. 28, 2019",23.45%
"Aug. 27, 2019",23.86%
"Aug. 26, 2019",22.91%
"Aug. 23, 2019",21.73%
"Aug. 22, 2019",22.65%
"Aug. 21, 2019",22.32%
"Aug. 20, 2019",21.62%
"Aug. 19, 2019",21.42%
"Aug. 16, 2019",20.91%
"Aug. 15, 2019",21.17%
"Aug. 14, 2019",18.63%
"Aug. 13, 2019",19.79%
"Aug. 12, 2019",19.58%
"Aug. 9, 2019",20.59%
"Aug. 8, 2019",20.56%
"Aug. 7, 2019",19.76%
"Aug. 6, 2019",19.07%
"Aug. 5, 2019",17.70%
"Aug. 2, 2019",17.93%
"Aug. 1, 2019",17.68%
"July 31, 2019",16.64%
"July 30, 2019",17.67%
"July 29, 2019",18.10%
"July 26, 2019",17.22%
"July 25, 2019",17.16%
"July 24, 2019",17.50%
"July 23, 2019",18.00%
"July 22, 2019",18.25%
"July 19, 2019",18.04%
"July 18, 2019",20.54%
"July 17, 2019",18.94%
"July 16, 2019",18.53%
"July 15, 2019",19.54%
"July 12, 2019",19.22%
"July 11, 2019",20.02%
"July 10, 2019",19.42%
"July 9, 2019",18.33%
"July 8, 2019",18.45%
"July 5, 2019",18.37%
"July 3, 2019",18.57%
"July 2, 2019",17.87%
"July 1, 2019",16.33%
"June 28, 2019",16.48%
"June 27, 2019",15.94%
"June 26, 2019",15.88%
"June 25, 2019",18.36%
"June 24, 2019",18.99%
"June 21, 2019",19.00%
"June 20, 2019",19.20%
"June 19, 2019",18.65%
"June 18, 2019",17.30%
"June 17, 2019",17.62%
"June 14, 2019",19.02%
"June 13, 2019",17.88%
"June 12, 2019",17.64%
"June 11, 2019",16.05%
"June 10, 2019",16.88%
"June 7, 2019",17.31%
"June 6, 2019",18.16%
"June 5, 2019",17.34%
"June 4, 2019",14.38%
"June 3, 2019",15.05%
"May 31, 2019",13.53%
"May 30, 2019",12.50%
"May 29, 2019",12.07%
"May 28, 2019",13.98%
"May 24, 2019",15.13%
"May 23, 2019",15.07%
"May 22, 2019",13.38%
"May 21, 2019",13.38%
"May 20, 2019",13.21%
"May 17, 2019",13.05%
"May 16, 2019",12.44%
"May 15, 2019",11.62%
"May 14, 2019",11.61%
"May 13, 2019",12.22%
"May 10, 2019",10.33%
"May 9, 2019",8.32%
"May 8, 2019",8.24%
"May 7, 2019",9.95%
"May 6, 2019",10.50%
"May 3, 2019",10.82%
"May 2, 2019",9.96%
"May 1, 2019",9.36%
"April 30, 2019",10.18%
"April 29, 2019",8.52%
"April 26, 2019",9.19%
"April 25, 2019",8.92%
"April 24, 2019",8.95%
"April 23, 2019",8.24%
"April 22, 2019",7.61%
"April 18, 2019",7.56%
"April 17, 2019",7.95%
"April 16, 2019",7.86%
"April 15, 2019",8.83%
"April 12, 2019",8.67%
"April 11, 2019",8.55%
"April 10, 2019",8.10%
"April 9, 2019",8.83%
"April 8, 2019",8.58%
"April 5, 2019",9.29%
"April 4, 2019",8.18%
"April 3, 2019",8.41%
"April 2, 2019",8.75%
"April 1, 2019",8.67%
"March 29, 2019",9.09%
"March 28, 2019",8.15%
"March 27, 2019",9.52%
"March 26, 2019",10.62%
"March 25, 2019",10.35%
"March 22, 2019",10.22%
"March 21, 2019",8.95%
"March 20, 2019",7.96%
"March 19, 2019",7.93%
"March 18, 2019",9.56%
"March 15, 2019",10.29%
"March 14, 2019",9.04%
"March 13, 2019",8.55%
"March 12, 2019",8.41%
"March 11, 2019",8.06%
"March 8, 2019",7.13%
"March 7, 2019",6.69%
"March 6, 2019",6.20%
"March 5, 2019",5.46%
"March 4, 2019",6.04%
"March 1, 2019",7.23%
"Feb. 28, 2019",7.33%
"Feb. 27, 2019",7.10%
"Feb. 26, 2019",7.10%
"Feb. 25, 2019",6.66%
"Feb. 22, 2019",8.09%
"Feb. 21, 2019",8.44%
"Feb. 20, 2019",8.04%
"Feb. 19, 2019",8.24%
"Feb. 15, 2019",7.93%
"Feb. 14, 2019",7.78%
"Feb. 13, 2019",7.72%
"Feb. 12, 2019",8.06%
"Feb. 11, 2019",7.86%
"Feb. 8, 2019",7.70%
"Feb. 7, 2019",7.66%
"Feb. 6, 2019",6.12%
"Feb. 5, 2019",6.57%
"Feb. 4, 2019",6.12%
"Feb. 1, 2019",6.30%
"Jan. 31, 2019",6.72%
"Jan. 30, 2019",3.91%
"Jan. 29, 2019",3.55%
"Jan. 28, 2019",3.18%
"Jan. 25, 2019",3.44%
"Jan. 24, 2019",5.26%
"Jan. 23, 2019",5.01%
"Jan. 22, 2019",3.77%
"Jan. 18, 2019",4.04%
"Jan. 17, 2019",3.44%
"Jan. 16, 2019",2.49%
"Jan. 15, 2019",2.11%
"Jan. 14, 2019",0.83%
"Jan. 11, 2019",1.46%
"Jan. 10, 2019",1.55%
"Jan. 9, 2019",-0.45%
"Jan. 8, 2019",0.09%
"Jan. 7, 2019",-1.71%
"Jan. 4, 2019",-1.46%
"Jan. 3, 2019",-2.44%
"Jan. 2, 2019",-2.38%
"Dec. 31, 2018",2.94%
"Dec. 28, 2018",2.36%
"Dec. 27, 2018",2.53%
"Dec. 26, 2018",1.68%
"Dec. 24, 2018",0.32%
"Dec. 21, 2018",5.21%
"Dec. 20, 2018",6.32%
"Dec. 19, 2018",6.51%
"Dec. 18, 2018",6.14%
"Dec. 17, 2018",6.44%
"Dec. 14, 2018",10.43%
"Dec. 13, 2018",11.16%
"Dec. 12, 2018",9.92%
"Dec. 11, 2018",11.06%
"Dec. 10, 2018",10.22%
"Dec. 7, 2018",9.94%
"Dec. 6, 2018",9.43%
"Dec. 4, 2018",9.13%
"Dec. 3, 2018",8.80%
"Nov. 30, 2018",8.17%
"Nov. 29, 2018",6.16%
"Nov. 28, 2018",6.73%
"Nov. 27, 2018",6.76%
"Nov. 26, 2018",5.73%
"Nov. 23, 2018",5.76%
"Nov. 21, 2018",5.13%
"Nov. 20, 2018",7.06%
"Nov. 19, 2018",6.65%
"Nov. 16, 2018",6.11%
"Nov. 15, 2018",4.78%
"Nov. 14, 2018",3.56%
"Nov. 13, 2018",4.10%
"Nov. 12, 2018",3.64%
"Nov. 9, 2018",3.10%
"Nov. 8, 2018",2.15%
"Nov. 7, 2018",1.90%
"Nov. 6, 2018",0.46%
"Nov. 5, 2018",-0.41%
"Nov. 2, 2018",-1.57%
"Nov. 1, 2018",-0.78%
"Oct. 31, 2018",0.13%
"Oct. 30, 2018",1.35%
"Oct. 29, 2018",1.19%
"Oct. 26, 2018",-0.65%
"Oct. 25, 2018",0.78%
"Oct. 24, 2018",2.67%
"Oct. 23, 2018",0.19%
"Oct. 22, 2018",0.03%
"Oct. 19, 2018",0.24%
"Oct. 18, 2018",-1.58%
"Oct. 17, 2018",-1.09%
"Oct. 16, 2018",-1.93%
"Oct. 15, 2018",-2.86%
"Oct. 12, 2018",-2.63%
"Oct. 11, 2018",-2.37%
"Oct. 10, 2018",-0.22%
"Oct. 9, 2018",0.28%
"Oct. 8, 2018",-0.55%
"Oct. 5, 2018",-1.23%
"Oct. 4, 2018",-2.60%
"Oct. 3, 2018",-3.31%
"Oct. 2, 2018",-1.61%
"Oct. 1, 2018",-2.63%
"Sept. 28, 2018",-2.75%
"Sept. 27, 2018",-4.15%
"Sept. 26, 2018",-4.72%
"Sept. 25, 2018",-3.96%
"Sept. 24, 2018",-2.69%
"Sept. 21, 2018",-1.61%
"Sept. 20, 2018",-2.23%
"Sept. 19, 2018",-1.82%
"Sept. 18, 2018",0.73%
"Sept. 17, 2018",0.93%
"Sept. 14, 2018",0.55%
"Sept. 13, 2018",0.68%
"Sept. 12, 2018",0.05%
"Sept. 11, 2018",0.14%
"Sept. 10, 2018",0.19%
"Sept. 7, 2018",-0.59%
"Sept. 6, 2018",0.52%
"Sept. 5, 2018",0.32%
"Sept. 4, 2018",-1.20%
"Aug. 31, 2018",-1.19%
"Aug. 30, 2018",-0.85%
"Aug. 29, 2018",-1.58%
"Aug. 28, 2018",-2.12%
"Aug. 27, 2018",-1.54%
"Aug. 24, 2018",-0.66%
"Aug. 23, 2018",-1.19%
"Aug. 22, 2018",-1.30%
"Aug. 21, 2018",-0.59%
"Aug. 20, 2018",-0.10%
"Aug. 17, 2018",0.10%
"Aug. 16, 2018",-0.30%
"Aug. 15, 2018",-1.33%
"Aug. 14, 2018",-2.18%
"Aug. 13, 2018",-2.26%
"Aug. 10, 2018",-2.90%
"Aug. 9, 2018",-3.23%
"Aug. 8, 2018",-3.53%
"Aug. 7, 2018",-3.47%
"Aug. 6, 2018",-3.31%
"Aug. 3, 2018",-3.56%
"Aug. 2, 2018",-5.03%
"Aug. 1, 2018",-5.44%
"July 31, 2018",-3.89%
"July 30, 2018",-5.41%
"July 27, 2018",-4.91%
"July 26, 2018",-4.46%
"July 25, 2018",-6.08%
"July 24, 2018",-6.90%
"July 23, 2018",-7.47%
"July 20, 2018",-7.01%
"July 19, 2018",-6.36%
"July 18, 2018",-7.38%
"July 17, 2018",-6.82%
"July 16, 2018",-6.55%
"July 13, 2018",-6.39%
"July 12, 2018",-6.39%
"July 11, 2018",-6.22%
"July 10, 2018",-7.06%
"July 9, 2018",-7.47%
"July 6, 2018",-4.54%
"July 5, 2018",-5.48%
"July 3, 2018",-5.79%
"July 2, 2018",-6.58%
"June 29, 2018",-7.23%
"June 28, 2018",-7.76%
"June 27, 2018",-8.21%
"June 26, 2018",-8.91%
"June 25, 2018",-9.26%
"June 22, 2018",-11.32%
"June 21, 2018",-11.84%
"June 20, 2018",-11.67%
"June 19, 2018",-11.74%
"June 18, 2018",-12.80%
"June 15, 2018",-13.53%
"June 14, 2018",-14.55%
"June 13, 2018",-15.43%
"June 12, 2018",-15.04%
"June 11, 2018",-16.32%
"June 8, 2018",-15.23%
"June 7, 2018",-15.16%
"June 6, 2018",-15.10%
"June 5, 2018",-12.96%
"June 4, 2018",-12.16%
"June 1, 2018",-11.68%
"May 31, 2018",-9.66%
"May 30, 2018",-9.56%
"May 29, 2018",-10.08%
"May 25, 2018",-10.95%
"May 24, 2018",-10.37%
"May 23, 2018",-10.51%
"May 22, 2018",-8.55%
"May 21, 2018",-9.04%
"May 18, 2018",-9.28%
"May 17, 2018",-9.62%
"May 16, 2018",-9.09%
"May 15, 2018",-9.16%
"May 14, 2018",-8.94%
"May 11, 2018",-8.14%
"May 10, 2018",-8.28%
"May 9, 2018",-9.78%
"May 8, 2018",-9.28%
"May 7, 2018",-7.04%
"May 4, 2018",-6.55%
"May 3, 2018",-6.82%
"May 2, 2018",-5.52%
"May 1, 2018",-5.43%
"April 30, 2018",-4.64%
"April 27, 2018",-4.05%
"April 26, 2018",-5.00%
"April 25, 2018",-6.03%
"April 24, 2018",-5.92%
"April 23, 2018",-6.28%
"April 20, 2018",-6.27%
"April 19, 2018",-5.25%
"April 18, 2018",-5.19%
"April 17, 2018",-4.65%
"April 16, 2018",-5.54%
"April 13, 2018",-6.57%
"April 12, 2018",-7.19%
"April 11, 2018",-5.97%
"April 10, 2018",-6.13%
"April 9, 2018",-5.49%
"April 6, 2018",-5.59%
"April 5, 2018",-5.02%
"April 4, 2018",-5.78%
"April 3, 2018",-6.14%
"April 2, 2018",-7.14%
"March 29, 2018",-6.74%
"March 28, 2018",-7.45%
"March 27, 2018",-7.26%
"March 26, 2018",-8.94%
"March 23, 2018",-10.11%
"March 22, 2018",-8.97%
"March 21, 2018",-9.05%
"March 20, 2018",-8.72%
"March 19, 2018",-8.14%
"March 16, 2018",-7.79%
"March 15, 2018",-8.86%
"March 14, 2018",-9.48%
"March 13, 2018",-10.29%
"March 12, 2018",-9.69%
"March 9, 2018",-9.40%
"March 8, 2018",-9.99%
"March 7, 2018",-10.91%
"March 6, 2018",-10.29%
"March 5, 2018",-8.64%
"March 2, 2018",-9.62%
"March 1, 2018",-10.49%
"Feb. 28, 2018",-9.78%
"Feb. 27, 2018",-9.16%
"Feb. 26, 2018",-6.90%
"Feb. 23, 2018",-5.87%
"Feb. 22, 2018",-9.02%
"Feb. 21, 2018",-9.21%
"Feb. 20, 2018",-7.93%
"Feb. 16, 2018",-6.43%
"Feb. 15, 2018",-7.30%
