date,accruals
"Dec. 31, 2019",-309.08M
"Sept. 30, 2019",-695.40M
"June 30, 2019",-311.37M
"March 31, 2019",-242.54M
"Dec. 31, 2018",-588.06M
"Sept. 30, 2018",-239.76M
"June 30, 2018",-273.67M
"March 31, 2018",-421.19M
"Dec. 31, 2017",-1.386B
"Sept. 30, 2017",-491.42M
"June 30, 2017",123.08M
"March 31, 2017",-443.34M
"Dec. 31, 2016",-2.512B
"Sept. 30, 2016",-607.11M
"June 30, 2016",-146.67M
"March 31, 2016",-297.58M
"Dec. 31, 2015",-836.69M
"Sept. 30, 2015",-1.730B
"June 30, 2015",-573.68M
"March 31, 2015",-308.03M
"Dec. 31, 2014",-873.06M
"Sept. 30, 2014",-1.128B
"June 30, 2014",-567.12M
"March 31, 2014",-361.10M
"Dec. 31, 2013",-838.41M
"Sept. 30, 2013",-839.37M
"June 30, 2013",-403.86M
"March 31, 2013",-377.01M
"Dec. 31, 2012",-418.65M
"Sept. 30, 2012",-689.20M
"June 30, 2012",-216.84M
"March 31, 2012",-747.24M
"Dec. 31, 2011",-839.04M
"Sept. 30, 2011",-519.44M
"June 30, 2011",-333.55M
"March 31, 2011",-69.42M
"Dec. 31, 2010",-527.69M
"Sept. 30, 2010",-1.199B
"June 30, 2010",-473.29M
"March 31, 2010",-455.45M
"Dec. 31, 2009",-605.09M
"Sept. 30, 2009",-532.82M
"June 30, 2009",-409.92M
"March 31, 2009",-134.29M
"Dec. 31, 2008",-440.97M
"Sept. 30, 2008",-1.309B
"June 30, 2008",-189.47M
"March 31, 2008",-139.42M
"Dec. 31, 2007",-739.12M
"Sept. 30, 2007",-201.46M
"June 30, 2007",-203.21M
"March 31, 2007",-281.12M
"Dec. 31, 2006",-916.39M
"Sept. 30, 2006",-381.12M
"June 30, 2006",-186.23M
"March 31, 2006",-810.85M
"Dec. 31, 2005",-289.84M
"Sept. 30, 2005",22.59M
"June 30, 2005",16.16M
"March 31, 2005",-318.39M
"Dec. 31, 2004",-1.078B
"Sept. 30, 2004",-496.55M
"June 30, 2004",-259.29M
"March 31, 2004",-185.76M
"Dec. 31, 2003",-863.36M
"Sept. 30, 2003",-279.17M
"June 30, 2003",-263.03M
"March 31, 2003",350.21M
"Dec. 31, 2002",-429.76M
"Sept. 30, 2002",-500.49M
"June 30, 2002",-201.50M
"March 31, 2002",-426.89M
"Dec. 31, 2001",-960.19M
"Sept. 30, 2001",-310.60M
"June 30, 2001",-170.56M
"March 31, 2001",-23.68M
"Dec. 31, 2000",-743.37M
"Sept. 30, 2000",-129.91M
"June 30, 2000",-181.47M
"March 31, 2000",-202.19M
"Dec. 31, 1999",-364.06M
"Sept. 30, 1999",-121.24M
"June 30, 1999",-188.33M
"March 31, 1999",-120.30M
"Dec. 31, 1998",-159.50M
"Sept. 30, 1998",-356.70M
"June 30, 1998",-162.80M
"March 31, 1998",-214.50M
"Dec. 31, 1997",-158.60M
"Sept. 30, 1997",-669.40M
"June 30, 1997",-176.40M
"March 31, 1997",-378.80M
"Dec. 31, 1996",-205.60M
"Sept. 30, 1996",-343.20M
"June 30, 1996",-151.30M
"March 31, 1996",-337.30M
"Dec. 31, 1995",-219.90M
"Sept. 30, 1995",-375.90M
"June 30, 1995",-11.40M
"March 31, 1995",-185.20M
"Dec. 31, 1994",-433.70M
"Sept. 30, 1994",-469.20M
"June 30, 1994",-41.50M
"March 31, 1994",-251.70M
"Dec. 31, 1993",-261.50M
"Sept. 30, 1993",-249.70M
"June 30, 1993",-6.80M
"March 31, 1993",-4.50M
