date,days_sales_outstanding
"Dec. 31, 2019",47.19
"Sept. 30, 2019",37.38
"June 30, 2019",39.52
"March 31, 2019",38.27
"Dec. 31, 2018",45.05
"Sept. 30, 2018",38.58
"June 30, 2018",40.01
"March 31, 2018",38.44
"Dec. 31, 2017",43.93
"Sept. 30, 2017",34.23
"June 30, 2017",36.48
"March 31, 2017",37.78
"Dec. 31, 2016",43.94
"Sept. 30, 2016",37.24
"June 30, 2016",40.08
"March 31, 2016",36.05
"Dec. 31, 2015",43.69
"Sept. 30, 2015",34.15
"June 30, 2015",37.97
"March 31, 2015",33.92
"Dec. 31, 2014",38.94
"Sept. 30, 2014",33.60
"June 30, 2014",35.95
"March 31, 2014",32.71
"Dec. 31, 2013",41.35
"Sept. 30, 2013",33.90
"June 30, 2013",37.56
"March 31, 2013",35.56
"Dec. 31, 2012",40.25
"Sept. 30, 2012",33.63
"June 30, 2012",33.81
"March 31, 2012",35.05
"Dec. 31, 2011",41.25
"Sept. 30, 2011",32.94
"June 30, 2011",34.75
"March 31, 2011",35.33
"Dec. 31, 2010",40.58
"Sept. 30, 2010",32.63
"June 30, 2010",33.52
"March 31, 2010",31.71
"Dec. 31, 2009",37.67
"Sept. 30, 2009",33.83
"June 30, 2009",37.83
"March 31, 2009",35.88
"Dec. 31, 2008",40.13
"Sept. 30, 2008",32.62
"June 30, 2008",36.04
"March 31, 2008",37.61
"Dec. 31, 2007",43.54
"Sept. 30, 2007",37.00
"June 30, 2007",37.19
"March 31, 2007",36.39
"Dec. 31, 2006",45.44
"Sept. 30, 2006",35.96
"June 30, 2006",41.36
"March 31, 2006",47.91
"Dec. 31, 2005",58.14
"Sept. 30, 2005",50.43
"June 30, 2005",45.29
"March 31, 2005",49.34
"Dec. 31, 2004",58.83
"Sept. 30, 2004",39.02
"June 30, 2004",40.05
"March 31, 2004",40.50
"Dec. 31, 2003",47.61
"Sept. 30, 2003",39.92
"June 30, 2003",41.10
"March 31, 2003",40.50
"Dec. 31, 2002",46.94
"Sept. 30, 2002",38.33
"June 30, 2002",38.27
"March 31, 2002",38.96
"Dec. 31, 2001",47.08
"Sept. 30, 2001",39.73
"June 30, 2001",40.21
"March 31, 2001",41.17
"Dec. 31, 2000",45.67
"Sept. 30, 2000",31.47
"June 30, 2000",38.12
"March 31, 2000",39.20
"Dec. 31, 1999",50.33
"Sept. 30, 1999",48.02
"June 30, 1999",74.21
"March 31, 1999",93.04
"Dec. 31, 1998",73.16
"Sept. 30, 1998",29.95
"June 30, 1998",44.43
"March 31, 1998",46.86
"Dec. 31, 1997",47.48
"Sept. 30, 1997",41.60
"June 30, 1997",50.11
"March 31, 1997",43.84
"Dec. 31, 1996",49.13
"Sept. 30, 1996",37.31
"June 30, 1996",38.43
"March 31, 1996",40.06
"Dec. 31, 1995",49.64
"Sept. 30, 1995",37.31
"June 30, 1995",38.10
"March 31, 1995",41.63
"Dec. 31, 1994",55.31
"Sept. 30, 1994",38.00
"June 30, 1994",37.85
"March 31, 1994",40.72
"Dec. 31, 1993",57.49
"Sept. 30, 1993",43.51
"June 30, 1993",57.36
"March 31, 1993",33.13
"Dec. 31, 1992",0.00
"Sept. 30, 1992",0.00
"June 30, 1992",0.00
"March 31, 1992",0.00
"Dec. 31, 1991",0.00
"Sept. 30, 1991",0.00
"June 30, 1991",0.00
"March 31, 1991",0.00
"Dec. 31, 1990",0.00
"Sept. 30, 1990",0.00
"June 30, 1990",0.00
"March 31, 1990",0.00
"Dec. 31, 1989",0.00
"Sept. 30, 1989",0.00
"June 30, 1989",0.00
"March 31, 1989",0.00
"Dec. 31, 1988",0.00
"Sept. 30, 1988",0.00
"June 30, 1988",0.00
"March 31, 1988",0.00
"Dec. 31, 1987",0.00
"Sept. 30, 1987",0.00
"June 30, 1987",0.00
"March 31, 1987",0.00
"Dec. 31, 1986",0.00
"Sept. 30, 1986",0.00
"June 30, 1986",0.00
"March 31, 1986",0.00
"Dec. 31, 1985",0.00
"Sept. 30, 1985",0.00
"June 30, 1985",0.00
"March 31, 1985",0.00
"Dec. 31, 1984",0.00
"Sept. 30, 1984",0.00
"June 30, 1984",0.00
