date,forward_pe_ratio
"March 19, 2020",14.99
"March 18, 2020",15.41
"March 17, 2020",17.76
"March 16, 2020",15.46
"March 13, 2020",18.35
"March 12, 2020",18.12
"March 11, 2020",19.90
"March 10, 2020",21.27
"March 9, 2020",20.57
"March 6, 2020",22.16
"March 5, 2020",22.72
"March 4, 2020",22.89
"March 3, 2020",21.73
"March 2, 2020",22.13
"Feb. 28, 2020",20.84
"Feb. 27, 2020",21.54
"Feb. 26, 2020",22.40
"Feb. 25, 2020",22.52
"Feb. 24, 2020",23.13
"Feb. 21, 2020",23.17
"Feb. 20, 2020",23.44
"Feb. 19, 2020",23.73
"Feb. 18, 2020",24.03
"Feb. 14, 2020",23.91
"Feb. 13, 2020",23.76
"Feb. 12, 2020",23.46
"Feb. 11, 2020",23.69
"Feb. 10, 2020",23.69
"Feb. 7, 2020",23.52
"Feb. 6, 2020",23.43
"Feb. 5, 2020",23.28
"Feb. 4, 2020",23.28
"Feb. 3, 2020",23.57
"Jan. 31, 2020",23.45
"Jan. 30, 2020",23.48
"Jan. 29, 2020",23.28
"Jan. 28, 2020",23.18
"Jan. 27, 2020",23.10
"Jan. 24, 2020",23.31
"Jan. 23, 2020",23.17
"Jan. 22, 2020",22.80
"Jan. 21, 2020",22.71
"Jan. 17, 2020",22.52
"Jan. 16, 2020",22.28
"Jan. 15, 2020",22.06
"Jan. 14, 2020",21.68
"Jan. 13, 2020",21.67
"Jan. 10, 2020",21.50
"Jan. 9, 2020",21.44
"Jan. 8, 2020",21.21
"Jan. 7, 2020",21.24
"Jan. 6, 2020",21.24
"Jan. 3, 2020",21.17
"Jan. 2, 2020",21.03
"Dec. 31, 2019",21.36
"Dec. 30, 2019",22.26
"Dec. 27, 2019",22.37
"Dec. 26, 2019",22.31
"Dec. 24, 2019",22.29
"Dec. 23, 2019",22.13
"Dec. 20, 2019",22.43
"Dec. 19, 2019",22.30
"Dec. 18, 2019",22.33
"Dec. 17, 2019",22.18
"Dec. 16, 2019",22.23
"Dec. 13, 2019",22.08
"Dec. 12, 2019",21.82
"Dec. 11, 2019",22.06
"Dec. 10, 2019",21.96
"Dec. 9, 2019",22.06
"Dec. 6, 2019",22.04
"Dec. 5, 2019",22.10
"Dec. 4, 2019",22.04
"Dec. 3, 2019",21.82
"Dec. 2, 2019",21.65
"Nov. 29, 2019",21.72
"Nov. 27, 2019",21.82
"Nov. 26, 2019",21.74
"Nov. 25, 2019",21.53
"Nov. 22, 2019",21.60
"Nov. 21, 2019",21.63
"Nov. 20, 2019",21.85
"Nov. 19, 2019",21.68
"Nov. 18, 2019",21.82
"Nov. 15, 2019",21.78
"Nov. 14, 2019",21.82
"Nov. 13, 2019",21.93
"Nov. 12, 2019",21.44
"Nov. 11, 2019",21.29
"Nov. 8, 2019",21.44
"Nov. 7, 2019",21.41
"Nov. 6, 2019",21.71
"Nov. 5, 2019",21.76
"Nov. 4, 2019",22.13
"Nov. 1, 2019",22.33
"Oct. 31, 2019",22.67
"Oct. 30, 2019",22.69
"Oct. 29, 2019",22.22
"Oct. 28, 2019",22.05
"Oct. 25, 2019",22.45
"Oct. 24, 2019",22.63
"Oct. 23, 2019",22.52
"Oct. 22, 2019",22.29
"Oct. 21, 2019",22.21
"Oct. 18, 2019",22.05
"Oct. 17, 2019",21.89
"Oct. 16, 2019",21.66
"Oct. 15, 2019",21.57
"Oct. 14, 2019",21.76
"Oct. 11, 2019",21.88
"Oct. 10, 2019",21.98
"Oct. 9, 2019",22.03
"Oct. 8, 2019",21.95
"Oct. 7, 2019",21.98
"Oct. 4, 2019",22.17
"Oct. 3, 2019",21.74
"Oct. 2, 2019",21.73
"Oct. 1, 2019",21.90
"Sept. 30, 2019",21.90
"Sept. 27, 2019",21.93
"Sept. 26, 2019",21.94
"Sept. 25, 2019",21.81
"Sept. 24, 2019",21.85
"Sept. 23, 2019",21.58
"Sept. 20, 2019",21.50
"Sept. 19, 2019",21.48
"Sept. 18, 2019",21.40
"Sept. 17, 2019",21.36
"Sept. 16, 2019",21.19
"Sept. 13, 2019",21.19
"Sept. 12, 2019",21.26
"Sept. 11, 2019",21.07
"Sept. 10, 2019",20.95
"Sept. 9, 2019",21.01
"Sept. 6, 2019",21.19
"Sept. 5, 2019",21.37
"Sept. 4, 2019",21.57
"Sept. 3, 2019",21.50
"Aug. 30, 2019",21.06
"Aug. 29, 2019",21.09
"Aug. 28, 2019",20.96
"Aug. 27, 2019",20.92
"Aug. 26, 2019",20.82
"Aug. 23, 2019",20.50
"Aug. 22, 2019",20.77
"Aug. 21, 2019",20.84
"Aug. 20, 2019",20.57
"Aug. 19, 2019",20.49
"Aug. 16, 2019",20.38
"Aug. 15, 2019",20.34
"Aug. 14, 2019",19.97
"Aug. 13, 2019",20.12
"Aug. 12, 2019",20.12
"Aug. 9, 2019",20.05
"Aug. 8, 2019",19.98
"Aug. 7, 2019",19.77
"Aug. 6, 2019",19.89
"Aug. 5, 2019",19.58
"Aug. 2, 2019",19.92
"Aug. 1, 2019",19.96
"July 31, 2019",19.71
"July 30, 2019",19.39
"July 29, 2019",19.59
"July 26, 2019",19.35
"July 25, 2019",19.41
"July 24, 2019",19.53
"July 23, 2019",19.57
"July 22, 2019",19.67
"July 19, 2019",19.71
"July 18, 2019",19.92
"July 17, 2019",19.70
"July 16, 2019",19.57
"July 15, 2019",19.57
"July 12, 2019",19.39
"July 11, 2019",19.49
"July 10, 2019",19.54
"July 9, 2019",19.45
"July 8, 2019",19.48
"July 5, 2019",19.47
"July 3, 2019",19.51
"July 2, 2019",19.35
"July 1, 2019",19.04
"June 30, 2019",
"June 28, 2019",19.21
"June 27, 2019",18.97
"June 26, 2019",18.89
"June 25, 2019",19.27
"June 24, 2019",19.35
"June 21, 2019",19.46
"June 20, 2019",19.31
"June 19, 2019",19.13
"June 18, 2019",18.91
"June 17, 2019",18.99
"June 14, 2019",19.04
"June 13, 2019",18.85
"June 12, 2019",18.91
"June 11, 2019",18.57
"June 10, 2019",18.64
"June 7, 2019",18.78
"June 6, 2019",18.85
"June 5, 2019",18.71
"June 4, 2019",18.19
"June 3, 2019",18.29
"May 31, 2019",18.12
"May 30, 2019",17.95
"May 29, 2019",17.85
"May 28, 2019",18.09
"May 24, 2019",18.47
"May 23, 2019",18.54
"May 22, 2019",18.38
"May 21, 2019",18.23
"May 20, 2019",18.28
"May 17, 2019",18.27
"May 16, 2019",18.09
"May 15, 2019",17.97
"May 14, 2019",18.01
"May 13, 2019",18.19
"May 10, 2019",17.98
"May 9, 2019",17.60
"May 8, 2019",17.59
"May 7, 2019",18.01
"May 6, 2019",17.96
"May 3, 2019",18.03
"May 2, 2019",17.96
"May 1, 2019",17.90
"April 30, 2019",18.08
"April 29, 2019",17.73
"April 26, 2019",17.75
"April 25, 2019",17.77
"April 24, 2019",17.66
"April 23, 2019",17.60
"April 22, 2019",17.48
"April 18, 2019",17.44
"April 17, 2019",17.34
"April 16, 2019",17.43
"April 15, 2019",17.74
"April 12, 2019",17.78
"April 11, 2019",17.73
"April 10, 2019",17.65
"April 9, 2019",17.68
"April 8, 2019",17.61
"April 5, 2019",17.63
"April 4, 2019",17.47
"April 3, 2019",17.55
"April 2, 2019",17.57
"April 1, 2019",17.61
"March 31, 2019",
"March 29, 2019",17.85
"March 28, 2019",17.74
"March 27, 2019",17.91
"March 26, 2019",18.01
"March 25, 2019",17.88
"March 22, 2019",17.94
"March 21, 2019",17.72
"March 20, 2019",17.46
"March 19, 2019",17.39
"March 18, 2019",17.64
"March 15, 2019",17.67
"March 14, 2019",17.72
"March 13, 2019",17.73
"March 12, 2019",17.71
"March 11, 2019",17.54
"March 8, 2019",17.26
"March 7, 2019",17.19
"March 6, 2019",17.19
"March 5, 2019",17.20
"March 4, 2019",17.29
"March 1, 2019",17.40
"Feb. 28, 2019",17.42
"Feb. 27, 2019",17.26
"Feb. 26, 2019",17.30
"Feb. 25, 2019",17.25
"Feb. 22, 2019",17.31
"Feb. 21, 2019",17.02
"Feb. 20, 2019",17.03
"Feb. 19, 2019",16.81
"Feb. 15, 2019",16.77
"Feb. 14, 2019",16.74
"Feb. 13, 2019",16.68
"Feb. 12, 2019",16.96
"Feb. 11, 2019",16.91
"Feb. 8, 2019",16.95
"Feb. 7, 2019",16.85
"Feb. 6, 2019",16.71
"Feb. 5, 2019",16.65
"Feb. 4, 2019",16.65
"Feb. 1, 2019",16.58
"Jan. 31, 2019",16.65
"Jan. 30, 2019",16.26
"Jan. 29, 2019",16.16
"Jan. 28, 2019",16.15
"Jan. 25, 2019",16.26
"Jan. 24, 2019",16.54
"Jan. 23, 2019",16.40
"Jan. 22, 2019",16.17
"Jan. 18, 2019",16.10
"Jan. 17, 2019",16.06
"Jan. 16, 2019",16.13
"Jan. 15, 2019",16.17
"Jan. 14, 2019",15.81
"Jan. 11, 2019",16.02
"Jan. 10, 2019",16.17
"Jan. 9, 2019",15.95
"Jan. 8, 2019",16.03
"Jan. 7, 2019",15.75
"Jan. 4, 2019",15.83
"Jan. 3, 2019",15.71
"Jan. 2, 2019",15.68
"Dec. 31, 2018",16.06
