date,forward_ps_ratio
"March 19, 2020",1.508
"March 18, 2020",1.550
"March 17, 2020",1.787
"March 16, 2020",1.556
"March 13, 2020",1.846
"March 12, 2020",1.823
"March 11, 2020",2.002
"March 10, 2020",2.140
"March 9, 2020",2.025
"March 6, 2020",2.180
"March 5, 2020",2.236
"March 4, 2020",2.252
"March 3, 2020",2.138
"March 2, 2020",2.177
"Feb. 28, 2020",2.051
"Feb. 27, 2020",2.119
"Feb. 26, 2020",2.204
"Feb. 25, 2020",2.216
"Feb. 24, 2020",2.276
"Feb. 21, 2020",2.280
"Feb. 20, 2020",2.306
"Feb. 19, 2020",2.335
"Feb. 18, 2020",2.364
"Feb. 14, 2020",2.353
"Feb. 13, 2020",2.337
"Feb. 12, 2020",2.308
"Feb. 11, 2020",2.331
"Feb. 10, 2020",2.331
"Feb. 7, 2020",2.314
"Feb. 6, 2020",2.305
"Feb. 5, 2020",2.290
"Feb. 4, 2020",2.290
"Feb. 3, 2020",2.319
"Jan. 31, 2020",2.307
"Jan. 30, 2020",2.304
"Jan. 29, 2020",2.284
"Jan. 28, 2020",2.274
"Jan. 27, 2020",2.266
"Jan. 24, 2020",2.287
"Jan. 23, 2020",2.273
"Jan. 22, 2020",2.237
"Jan. 21, 2020",2.228
"Jan. 17, 2020",2.209
"Jan. 16, 2020",2.186
"Jan. 15, 2020",2.164
"Jan. 14, 2020",2.127
"Jan. 13, 2020",2.126
"Jan. 10, 2020",2.110
"Jan. 9, 2020",2.104
"Jan. 8, 2020",2.081
"Jan. 7, 2020",2.084
"Jan. 6, 2020",2.084
"Jan. 3, 2020",2.077
"Jan. 2, 2020",2.063
"Dec. 31, 2019",2.095
"Dec. 30, 2019",2.150
"Dec. 27, 2019",2.160
"Dec. 26, 2019",2.154
"Dec. 24, 2019",2.152
"Dec. 23, 2019",2.137
"Dec. 20, 2019",2.166
"Dec. 19, 2019",2.154
"Dec. 18, 2019",2.156
"Dec. 17, 2019",2.141
"Dec. 16, 2019",2.147
"Dec. 13, 2019",2.132
"Dec. 12, 2019",2.107
"Dec. 11, 2019",2.130
"Dec. 10, 2019",2.120
"Dec. 9, 2019",2.130
"Dec. 6, 2019",2.128
