date,historical_monthly_var_1_all
"Feb. 29, 2020",15.90%
"Jan. 31, 2020",15.91%
"Dec. 31, 2019",15.91%
"Nov. 30, 2019",15.91%
"Oct. 31, 2019",15.91%
"Sept. 30, 2019",15.91%
"Aug. 31, 2019",15.91%
"July 31, 2019",15.91%
"June 30, 2019",15.94%
"May 31, 2019",15.98%
"April 30, 2019",16.03%
"March 31, 2019",16.07%
"Feb. 28, 2019",16.10%
"Jan. 31, 2019",16.11%
"Dec. 31, 2018",16.11%
"Nov. 30, 2018",16.11%
"Oct. 31, 2018",16.11%
"Sept. 30, 2018",16.13%
"Aug. 31, 2018",16.15%
"July 31, 2018",16.17%
"June 30, 2018",16.19%
"May 31, 2018",16.20%
"April 30, 2018",16.22%
"March 31, 2018",16.22%
"Feb. 28, 2018",16.23%
"Jan. 31, 2018",16.24%
"Dec. 31, 2017",16.25%
"Nov. 30, 2017",16.26%
"Oct. 31, 2017",16.27%
"Sept. 30, 2017",16.28%
"Aug. 31, 2017",16.29%
"July 31, 2017",16.30%
"June 30, 2017",16.30%
"May 31, 2017",16.31%
"April 30, 2017",16.32%
"March 31, 2017",16.32%
"Feb. 28, 2017",16.34%
"Jan. 31, 2017",16.35%
"Dec. 31, 2016",16.36%
"Nov. 30, 2016",16.37%
"Oct. 31, 2016",16.39%
"Sept. 30, 2016",16.40%
"Aug. 31, 2016",16.41%
"July 31, 2016",16.43%
"June 30, 2016",16.44%
"May 31, 2016",16.45%
"April 30, 2016",16.46%
"March 31, 2016",16.48%
"Feb. 29, 2016",16.49%
"Jan. 31, 2016",16.51%
"Dec. 31, 2015",16.54%
"Nov. 30, 2015",16.58%
"Oct. 31, 2015",16.62%
"Sept. 30, 2015",16.66%
"Aug. 31, 2015",16.68%
"July 31, 2015",16.69%
"June 30, 2015",16.71%
"May 31, 2015",16.72%
"April 30, 2015",16.74%
"March 31, 2015",16.79%
"Feb. 28, 2015",16.83%
"Jan. 31, 2015",16.87%
"Dec. 31, 2014",16.92%
"Nov. 30, 2014",16.94%
"Oct. 31, 2014",16.94%
"Sept. 30, 2014",16.94%
"Aug. 31, 2014",16.94%
"July 31, 2014",16.94%
"June 30, 2014",16.95%
"May 31, 2014",16.95%
"April 30, 2014",16.96%
"March 31, 2014",16.96%
"Feb. 28, 2014",16.97%
"Jan. 31, 2014",16.97%
"Dec. 31, 2013",16.97%
"Nov. 30, 2013",16.98%
"Oct. 31, 2013",16.98%
"Sept. 30, 2013",17.00%
"Aug. 31, 2013",17.02%
"July 31, 2013",17.04%
"June 30, 2013",17.06%
"May 31, 2013",17.07%
"April 30, 2013",17.08%
"March 31, 2013",17.08%
"Feb. 28, 2013",17.08%
"Jan. 31, 2013",17.08%
"Dec. 31, 2012",17.08%
"Nov. 30, 2012",17.09%
"Oct. 31, 2012",17.09%
"Sept. 30, 2012",17.09%
"Aug. 31, 2012",17.09%
"July 31, 2012",17.11%
"June 30, 2012",17.12%
"May 31, 2012",17.13%
"April 30, 2012",17.15%
"March 31, 2012",17.16%
"Feb. 29, 2012",17.18%
"Jan. 31, 2012",17.20%
"Dec. 31, 2011",17.22%
"Nov. 30, 2011",17.24%
"Oct. 31, 2011",17.27%
"Sept. 30, 2011",17.30%
"Aug. 31, 2011",17.33%
"July 31, 2011",17.37%
"June 30, 2011",17.39%
"May 31, 2011",17.41%
"April 30, 2011",17.43%
"March 31, 2011",17.45%
"Feb. 28, 2011",17.47%
"Jan. 31, 2011",17.48%
"Dec. 31, 2010",17.48%
"Nov. 30, 2010",17.48%
"Oct. 31, 2010",17.48%
"Sept. 30, 2010",17.48%
"Aug. 31, 2010",17.49%
"July 31, 2010",17.50%
"June 30, 2010",17.51%
"May 31, 2010",17.52%
"April 30, 2010",17.53%
"March 31, 2010",17.54%
"Feb. 28, 2010",17.55%
"Jan. 31, 2010",17.56%
"Dec. 31, 2009",17.57%
"Nov. 30, 2009",17.59%
"Oct. 31, 2009",17.61%
"Sept. 30, 2009",17.63%
"Aug. 31, 2009",17.64%
"July 31, 2009",17.66%
"June 30, 2009",17.70%
"May 31, 2009",17.73%
"April 30, 2009",17.75%
"March 31, 2009",17.78%
"Feb. 28, 2009",17.80%
"Jan. 31, 2009",17.82%
"Dec. 31, 2008",17.83%
"Nov. 30, 2008",17.84%
"Oct. 31, 2008",17.86%
"Sept. 30, 2008",17.27%
"Aug. 31, 2008",17.19%
"July 31, 2008",17.21%
"June 30, 2008",17.23%
"May 31, 2008",17.25%
"April 30, 2008",17.29%
"March 31, 2008",17.32%
"Feb. 29, 2008",17.35%
"Jan. 31, 2008",17.38%
"Dec. 31, 2007",17.41%
"Nov. 30, 2007",17.42%
"Oct. 31, 2007",17.44%
"Sept. 30, 2007",17.46%
"Aug. 31, 2007",17.48%
"July 31, 2007",17.48%
"June 30, 2007",17.48%
"May 31, 2007",17.48%
"April 30, 2007",17.48%
"March 31, 2007",17.49%
"Feb. 28, 2007",17.50%
"Jan. 31, 2007",17.51%
"Dec. 31, 2006",17.52%
"Nov. 30, 2006",17.53%
"Oct. 31, 2006",17.54%
"Sept. 30, 2006",17.55%
"Aug. 31, 2006",17.56%
"July 31, 2006",17.57%
"June 30, 2006",17.58%
"May 31, 2006",17.60%
"April 30, 2006",17.62%
"March 31, 2006",17.64%
"Feb. 28, 2006",17.66%
"Jan. 31, 2006",17.68%
"Dec. 31, 2005",17.71%
"Nov. 30, 2005",17.74%
"Oct. 31, 2005",17.77%
"Sept. 30, 2005",17.80%
"Aug. 31, 2005",17.81%
"July 31, 2005",17.83%
"June 30, 2005",17.84%
"May 31, 2005",17.85%
"April 30, 2005",17.86%
"March 31, 2005",17.86%
"Feb. 28, 2005",17.86%
