date,quality_ratio
"Dec. 31, 2019",0.0834
"Sept. 30, 2019",0.0804
"June 30, 2019",0.0747
"March 31, 2019",0.0747
"Dec. 31, 2018",0.0777
"Sept. 30, 2018",0.0823
"June 30, 2018",0.0909
"March 31, 2018",0.0931
"Dec. 31, 2017",0.0907
"Sept. 30, 2017",0.0906
"June 30, 2017",0.0907
"March 31, 2017",0.092
"Dec. 31, 2016",0.0952
"Sept. 30, 2016",0.0924
"June 30, 2016",0.0899
"March 31, 2016",0.0879
"Dec. 31, 2015",0.0888
"Sept. 30, 2015",0.0914
"June 30, 2015",0.0909
"March 31, 2015",0.0929
"Dec. 31, 2014",0.0982
"Sept. 30, 2014",0.0983
"June 30, 2014",0.0993
"March 31, 2014",0.0966
"Dec. 31, 2013",0.088
"Sept. 30, 2013",0.0894
"June 30, 2013",0.0896
"March 31, 2013",0.0918
"Dec. 31, 2012",0.0895
"Sept. 30, 2012",0.0391
"June 30, 2012",0.0596
"March 31, 2012",0.081
"Dec. 31, 2011",0.1031
"Sept. 30, 2011",0.1787
"June 30, 2011",0.1808
"March 31, 2011",0.1824
"Dec. 31, 2010",0.1849
"Sept. 30, 2010",0.1897
"June 30, 2010",0.189
"March 31, 2010",0.1866
"Dec. 31, 2009",0.1854
"Sept. 30, 2009",0.1779
"June 30, 2009",0.1794
"March 31, 2009",0.1854
"Dec. 31, 2008",0.1926
"Sept. 30, 2008",0.2012
"June 30, 2008",0.2057
"March 31, 2008",0.2053
"Dec. 31, 2007",0.2013
"Sept. 30, 2007",0.1965
"June 30, 2007",0.1896
"March 31, 2007",0.1858
"Dec. 31, 2006",0.1798
"Sept. 30, 2006",0.179
"June 30, 2006",0.1775
"March 31, 2006",0.1811
"Dec. 31, 2005",0.1809
"Sept. 30, 2005",0.1824
"June 30, 2005",0.1843
"March 31, 2005",0.1849
"Dec. 31, 2004",0.1872
"Sept. 30, 2004",0.1833
"June 30, 2004",0.1851
"March 31, 2004",0.1859
"Dec. 31, 2003",0.1885
"Sept. 30, 2003",0.1948
"June 30, 2003",0.198
"March 31, 2003",0.2028
"Dec. 31, 2002",0.2019
"Sept. 30, 2002",0.2013
"June 30, 2002",0.1957
"March 31, 2002",0.1908
"Dec. 31, 2001",0.1889
"Sept. 30, 2001",0.1904
"June 30, 2001",0.1978
"March 31, 2001",0.1987
"Dec. 31, 2000",0.1932
"Sept. 30, 2000",0.1867
"June 30, 2000",0.1822
"March 31, 2000",0.1836
"Dec. 31, 1999",0.1808
"Sept. 30, 1999",0.1815
"June 30, 1999",0.1857
"March 31, 1999",0.1886
"Dec. 31, 1998",0.1948
"Sept. 30, 1998",
"June 30, 1998",
"March 31, 1998",
"Dec. 31, 1997",
"Sept. 30, 1997",
"June 30, 1997",0.2043
"March 31, 1997",0.206
"Dec. 31, 1996",0.2079
"Sept. 30, 1996",0.2063
"June 30, 1996",0.2046
"March 31, 1996",0.2008
"Dec. 31, 1995",0.1973
"Sept. 30, 1995",0.1874
"June 30, 1995",0.1837
"March 31, 1995",0.1824
"Dec. 31, 1994",0.1817
"Sept. 30, 1994",0.1785
"June 30, 1994",0.1667
"March 31, 1994",0.1529
"Dec. 31, 1993",0.1404
