date,year_low
"March 19, 2020",77.59
"March 18, 2020",79.51
"March 17, 2020",85.84
"March 16, 2020",85.84
"March 13, 2020",92.73
"March 12, 2020",92.73
"March 11, 2020",92.73
"March 10, 2020",92.73
"March 9, 2020",92.45
"March 6, 2020",91.60
"March 5, 2020",91.60
"March 4, 2020",91.60
"March 3, 2020",91.60
"March 2, 2020",91.60
"Feb. 28, 2020",91.60
"Feb. 27, 2020",91.60
"Feb. 26, 2020",91.60
"Feb. 25, 2020",91.60
"Feb. 24, 2020",91.60
"Feb. 21, 2020",91.06
"Feb. 20, 2020",89.98
"Feb. 19, 2020",88.84
"Feb. 18, 2020",88.84
"Feb. 14, 2020",88.84
"Feb. 13, 2020",88.84
"Feb. 12, 2020",88.84
"Feb. 11, 2020",88.84
"Feb. 10, 2020",88.84
"Feb. 7, 2020",88.84
"Feb. 6, 2020",88.84
"Feb. 5, 2020",88.64
"Feb. 4, 2020",88.43
"Feb. 3, 2020",87.59
"Jan. 31, 2020",87.59
"Jan. 30, 2020",86.78
"Jan. 29, 2020",86.21
"Jan. 28, 2020",86.20
"Jan. 27, 2020",85.97
"Jan. 24, 2020",85.97
"Jan. 23, 2020",85.97
"Jan. 22, 2020",85.97
"Jan. 21, 2020",85.69
"Jan. 17, 2020",85.41
"Jan. 16, 2020",85.41
"Jan. 15, 2020",85.30
"Jan. 14, 2020",84.47
"Jan. 13, 2020",83.24
"Jan. 10, 2020",83.24
"Jan. 9, 2020",83.24
"Jan. 8, 2020",83.24
"Jan. 7, 2020",83.24
"Jan. 6, 2020",83.24
"Jan. 3, 2020",83.24
"Jan. 2, 2020",83.24
"Dec. 31, 2019",83.24
"Dec. 30, 2019",83.24
"Dec. 27, 2019",83.24
"Dec. 26, 2019",82.92
"Dec. 24, 2019",82.06
"Dec. 23, 2019",82.06
"Dec. 20, 2019",82.06
"Dec. 19, 2019",82.06
"Dec. 18, 2019",82.06
"Dec. 17, 2019",82.06
"Dec. 16, 2019",82.06
"Dec. 13, 2019",82.06
"Dec. 12, 2019",82.06
"Dec. 11, 2019",82.06
"Dec. 10, 2019",82.06
"Dec. 9, 2019",82.06
"Dec. 6, 2019",82.06
"Dec. 5, 2019",82.06
"Dec. 4, 2019",82.06
"Dec. 3, 2019",82.06
"Dec. 2, 2019",82.06
"Nov. 29, 2019",82.06
"Nov. 27, 2019",82.06
"Nov. 26, 2019",82.06
"Nov. 25, 2019",82.06
"Nov. 22, 2019",82.06
"Nov. 21, 2019",82.06
"Nov. 20, 2019",82.06
"Nov. 19, 2019",82.06
"Nov. 18, 2019",82.06
"Nov. 15, 2019",82.06
"Nov. 14, 2019",82.06
"Nov. 13, 2019",82.06
"Nov. 12, 2019",82.06
"Nov. 11, 2019",82.06
"Nov. 8, 2019",82.06
"Nov. 7, 2019",82.06
"Nov. 6, 2019",82.06
"Nov. 5, 2019",82.06
"Nov. 4, 2019",82.06
"Nov. 1, 2019",82.06
"Oct. 31, 2019",82.06
"Oct. 30, 2019",81.02
"Oct. 29, 2019",81.02
"Oct. 28, 2019",81.02
"Oct. 25, 2019",81.02
"Oct. 24, 2019",81.02
"Oct. 23, 2019",81.02
"Oct. 22, 2019",81.02
"Oct. 21, 2019",81.02
"Oct. 18, 2019",81.02
"Oct. 17, 2019",81.02
"Oct. 16, 2019",81.02
"Oct. 15, 2019",81.02
"Oct. 14, 2019",81.02
"Oct. 11, 2019",80.04
"Oct. 10, 2019",80.04
"Oct. 9, 2019",80.04
"Oct. 8, 2019",80.04
"Oct. 7, 2019",80.04
"Oct. 4, 2019",80.04
"Oct. 3, 2019",79.56
"Oct. 2, 2019",79.56
"Oct. 1, 2019",79.56
"Sept. 30, 2019",79.56
"Sept. 27, 2019",79.56
"Sept. 26, 2019",79.00
"Sept. 25, 2019",78.99
"Sept. 24, 2019",78.99
"Sept. 23, 2019",78.99
"Sept. 20, 2019",78.99
"Sept. 19, 2019",78.99
"Sept. 18, 2019",78.99
"Sept. 17, 2019",78.99
"Sept. 16, 2019",78.99
"Sept. 13, 2019",78.99
"Sept. 12, 2019",78.99
"Sept. 11, 2019",78.99
"Sept. 10, 2019",78.99
"Sept. 9, 2019",78.99
"Sept. 6, 2019",78.99
"Sept. 5, 2019",78.99
"Sept. 4, 2019",78.99
"Sept. 3, 2019",78.99
"Aug. 30, 2019",78.99
"Aug. 29, 2019",78.99
"Aug. 28, 2019",78.99
"Aug. 27, 2019",78.99
"Aug. 26, 2019",78.99
"Aug. 23, 2019",78.99
"Aug. 22, 2019",78.99
"Aug. 21, 2019",78.99
"Aug. 20, 2019",78.99
"Aug. 19, 2019",78.99
"Aug. 16, 2019",78.99
"Aug. 15, 2019",78.99
"Aug. 14, 2019",78.99
"Aug. 13, 2019",78.99
"Aug. 12, 2019",78.99
"Aug. 9, 2019",78.99
"Aug. 8, 2019",78.99
"Aug. 7, 2019",78.99
"Aug. 6, 2019",78.99
"Aug. 5, 2019",78.99
"Aug. 2, 2019",78.99
"Aug. 1, 2019",78.99
"July 31, 2019",78.99
"July 30, 2019",78.99
"July 29, 2019",78.99
"July 26, 2019",78.99
"July 25, 2019",78.99
"July 24, 2019",78.71
"July 23, 2019",77.59
"July 22, 2019",77.59
"July 19, 2019",77.59
"July 18, 2019",77.59
"July 17, 2019",77.59
"July 16, 2019",77.59
"July 15, 2019",77.59
"July 12, 2019",77.59
"July 11, 2019",77.59
"July 10, 2019",77.59
"July 9, 2019",77.59
"July 8, 2019",77.59
"July 5, 2019",77.59
"July 3, 2019",77.59
"July 2, 2019",77.59
"July 1, 2019",77.59
"June 28, 2019",77.59
"June 27, 2019",77.59
"June 26, 2019",77.59
"June 25, 2019",77.59
"June 24, 2019",77.59
"June 21, 2019",77.59
"June 20, 2019",77.59
"June 19, 2019",77.59
"June 18, 2019",77.59
"June 17, 2019",77.59
"June 14, 2019",76.17
"June 13, 2019",76.17
"June 12, 2019",76.17
"June 11, 2019",76.05
"June 10, 2019",75.91
"June 7, 2019",75.91
"June 6, 2019",75.83
"June 5, 2019",75.83
"June 4, 2019",75.83
"June 3, 2019",75.83
"May 31, 2019",75.83
"May 30, 2019",75.83
"May 29, 2019",75.83
"May 28, 2019",75.83
"May 24, 2019",75.83
"May 23, 2019",75.83
"May 22, 2019",75.83
"May 21, 2019",75.83
"May 20, 2019",75.78
"May 17, 2019",75.45
"May 16, 2019",75.45
"May 15, 2019",75.45
"May 14, 2019",75.45
"May 13, 2019",75.45
"May 10, 2019",75.45
"May 9, 2019",75.45
"May 8, 2019",75.45
"May 7, 2019",75.45
"May 6, 2019",75.45
"May 3, 2019",75.45
"May 2, 2019",75.45
"May 1, 2019",75.45
"April 30, 2019",75.45
"April 29, 2019",75.45
"April 26, 2019",75.45
"April 25, 2019",75.45
"April 24, 2019",75.45
"April 23, 2019",75.45
"April 22, 2019",75.45
"April 18, 2019",75.45
"April 17, 2019",75.45
"April 16, 2019",75.45
"April 15, 2019",75.45
"April 12, 2019",75.45
"April 11, 2019",75.45
"April 10, 2019",75.45
"April 9, 2019",75.45
"April 8, 2019",75.45
"April 5, 2019",75.45
"April 4, 2019",75.45
"April 3, 2019",75.45
"April 2, 2019",75.45
"April 1, 2019",75.45
"March 29, 2019",75.45
"March 28, 2019",75.45
"March 27, 2019",75.45
"March 26, 2019",75.45
"March 25, 2019",75.45
"March 22, 2019",75.45
"March 21, 2019",75.45
"March 20, 2019",75.45
"March 19, 2019",75.45
"March 18, 2019",75.45
"March 15, 2019",75.45
"March 14, 2019",75.45
"March 13, 2019",75.45
"March 12, 2019",75.45
"March 11, 2019",75.45
"March 8, 2019",75.45
"March 7, 2019",75.45
"March 6, 2019",75.45
"March 5, 2019",75.45
"March 4, 2019",75.45
"March 1, 2019",75.45
"Feb. 28, 2019",75.45
"Feb. 27, 2019",75.45
"Feb. 26, 2019",75.45
"Feb. 25, 2019",75.45
"Feb. 22, 2019",73.55
"Feb. 21, 2019",73.55
"Feb. 20, 2019",73.55
"Feb. 19, 2019",73.55
"Feb. 15, 2019",73.55
"Feb. 14, 2019",73.55
"Feb. 13, 2019",73.55
"Feb. 12, 2019",73.55
"Feb. 11, 2019",73.42
"Feb. 8, 2019",72.14
"Feb. 7, 2019",71.99
"Feb. 6, 2019",71.99
"Feb. 5, 2019",71.95
"Feb. 4, 2019",71.95
"Feb. 1, 2019",71.95
"Jan. 31, 2019",71.95
"Jan. 30, 2019",71.95
"Jan. 29, 2019",71.95
"Jan. 28, 2019",71.95
"Jan. 25, 2019",71.95
"Jan. 24, 2019",71.95
"Jan. 23, 2019",71.95
"Jan. 22, 2019",71.95
"Jan. 18, 2019",71.95
"Jan. 17, 2019",71.95
"Jan. 16, 2019",71.95
"Jan. 15, 2019",71.95
"Jan. 14, 2019",71.95
"Jan. 11, 2019",71.95
"Jan. 10, 2019",71.95
"Jan. 9, 2019",71.95
"Jan. 8, 2019",71.95
"Jan. 7, 2019",71.95
"Jan. 4, 2019",71.95
"Jan. 3, 2019",71.95
"Jan. 2, 2019",71.95
"Dec. 31, 2018",71.95
"Dec. 28, 2018",71.95
"Dec. 27, 2018",71.95
"Dec. 26, 2018",71.95
"Dec. 24, 2018",71.95
"Dec. 21, 2018",71.95
"Dec. 20, 2018",71.95
"Dec. 19, 2018",71.95
"Dec. 18, 2018",71.95
"Dec. 17, 2018",71.95
"Dec. 14, 2018",71.95
"Dec. 13, 2018",71.95
"Dec. 12, 2018",71.95
"Dec. 11, 2018",71.95
"Dec. 10, 2018",71.95
"Dec. 7, 2018",71.95
"Dec. 6, 2018",71.95
"Dec. 4, 2018",71.95
"Dec. 3, 2018",71.95
"Nov. 30, 2018",71.95
"Nov. 29, 2018",71.95
"Nov. 28, 2018",71.95
"Nov. 27, 2018",71.95
"Nov. 26, 2018",71.95
"Nov. 23, 2018",71.95
"Nov. 21, 2018",71.95
"Nov. 20, 2018",71.95
"Nov. 19, 2018",71.95
"Nov. 16, 2018",71.95
"Nov. 15, 2018",71.95
"Nov. 14, 2018",71.95
"Nov. 13, 2018",71.95
"Nov. 12, 2018",71.95
"Nov. 9, 2018",71.95
"Nov. 8, 2018",71.95
"Nov. 7, 2018",71.95
"Nov. 6, 2018",71.95
"Nov. 5, 2018",71.95
"Nov. 2, 2018",71.95
"Nov. 1, 2018",71.95
"Oct. 31, 2018",71.95
"Oct. 30, 2018",71.95
"Oct. 29, 2018",71.95
"Oct. 26, 2018",71.95
"Oct. 25, 2018",71.95
"Oct. 24, 2018",71.95
"Oct. 23, 2018",71.95
"Oct. 22, 2018",71.95
"Oct. 19, 2018",71.95
"Oct. 18, 2018",71.95
"Oct. 17, 2018",71.95
"Oct. 16, 2018",71.95
"Oct. 15, 2018",71.95
"Oct. 12, 2018",71.95
"Oct. 11, 2018",71.95
"Oct. 10, 2018",71.95
"Oct. 9, 2018",71.95
"Oct. 8, 2018",71.95
"Oct. 5, 2018",71.95
"Oct. 4, 2018",71.95
"Oct. 3, 2018",71.95
"Oct. 2, 2018",71.95
"Oct. 1, 2018",71.95
"Sept. 28, 2018",71.95
"Sept. 27, 2018",71.95
"Sept. 26, 2018",71.95
"Sept. 25, 2018",71.95
"Sept. 24, 2018",71.95
"Sept. 21, 2018",71.95
"Sept. 20, 2018",71.95
"Sept. 19, 2018",71.95
"Sept. 18, 2018",71.95
"Sept. 17, 2018",71.95
"Sept. 14, 2018",71.95
"Sept. 13, 2018",71.95
"Sept. 12, 2018",71.95
"Sept. 11, 2018",71.95
"Sept. 10, 2018",71.95
"Sept. 7, 2018",71.95
"Sept. 6, 2018",71.95
"Sept. 5, 2018",71.95
"Sept. 4, 2018",71.95
"Aug. 31, 2018",71.95
"Aug. 30, 2018",71.95
"Aug. 29, 2018",71.95
"Aug. 28, 2018",71.95
"Aug. 27, 2018",71.95
"Aug. 24, 2018",71.95
"Aug. 23, 2018",71.95
"Aug. 22, 2018",71.95
"Aug. 21, 2018",71.95
"Aug. 20, 2018",71.95
"Aug. 17, 2018",71.95
"Aug. 16, 2018",71.95
"Aug. 15, 2018",71.95
"Aug. 14, 2018",71.95
"Aug. 13, 2018",71.95
"Aug. 10, 2018",71.95
"Aug. 9, 2018",71.95
"Aug. 8, 2018",71.95
"Aug. 7, 2018",71.95
"Aug. 6, 2018",71.95
"Aug. 3, 2018",71.95
"Aug. 2, 2018",71.95
"Aug. 1, 2018",71.95
"July 31, 2018",71.95
"July 30, 2018",71.95
"July 27, 2018",71.95
"July 26, 2018",71.95
"July 25, 2018",71.95
"July 24, 2018",71.95
"July 23, 2018",71.95
"July 20, 2018",71.95
"July 19, 2018",71.95
"July 18, 2018",71.95
"July 17, 2018",71.95
"July 16, 2018",71.95
"July 13, 2018",71.95
"July 12, 2018",71.95
"July 11, 2018",71.95
"July 10, 2018",71.95
"July 9, 2018",71.95
"July 6, 2018",71.95
"July 5, 2018",71.95
"July 3, 2018",71.95
"July 2, 2018",71.95
"June 29, 2018",71.95
"June 28, 2018",71.95
"June 27, 2018",71.95
"June 26, 2018",71.95
"June 25, 2018",71.95
"June 22, 2018",71.95
"June 21, 2018",71.95
"June 20, 2018",71.95
"June 19, 2018",71.95
"June 18, 2018",71.95
"June 15, 2018",71.95
"June 14, 2018",71.95
"June 13, 2018",71.95
"June 12, 2018",71.95
"June 11, 2018",71.95
"June 8, 2018",71.95
"June 7, 2018",71.95
"June 6, 2018",71.95
"June 5, 2018",71.95
"June 4, 2018",71.95
"June 1, 2018",71.95
"May 31, 2018",71.95
"May 30, 2018",71.95
"May 29, 2018",71.95
"May 25, 2018",71.95
"May 24, 2018",71.95
"May 23, 2018",71.95
"May 22, 2018",71.95
"May 21, 2018",71.95
"May 18, 2018",71.95
"May 17, 2018",71.95
"May 16, 2018",71.95
"May 15, 2018",71.95
"May 14, 2018",71.95
"May 11, 2018",71.95
"May 10, 2018",71.95
"May 9, 2018",71.95
"May 8, 2018",71.95
"May 7, 2018",71.95
"May 4, 2018",71.95
"May 3, 2018",71.95
"May 2, 2018",71.95
"May 1, 2018",71.95
"April 30, 2018",71.95
"April 27, 2018",71.95
"April 26, 2018",71.95
"April 25, 2018",71.95
"April 24, 2018",71.95
"April 23, 2018",71.95
"April 20, 2018",71.95
"April 19, 2018",71.95
"April 18, 2018",71.95
"April 17, 2018",71.95
"April 16, 2018",71.95
"April 13, 2018",71.95
"April 12, 2018",71.95
"April 11, 2018",71.95
"April 10, 2018",71.95
"April 9, 2018",71.95
"April 6, 2018",71.95
"April 5, 2018",71.95
"April 4, 2018",71.95
"April 3, 2018",71.95
"April 2, 2018",71.95
"March 29, 2018",71.95
"March 28, 2018",71.95
"March 27, 2018",71.95
"March 26, 2018",71.95
"March 23, 2018",71.95
"March 22, 2018",71.95
"March 21, 2018",71.95
"March 20, 2018",71.95
"March 19, 2018",71.95
"March 16, 2018",71.95
"March 15, 2018",71.95
"March 14, 2018",71.95
"March 13, 2018",71.95
"March 12, 2018",71.95
"March 9, 2018",71.95
"March 8, 2018",71.95
"March 7, 2018",71.95
"March 6, 2018",71.95
"March 5, 2018",71.95
"March 2, 2018",71.95
"March 1, 2018",71.95
"Feb. 28, 2018",71.95
"Feb. 27, 2018",71.95
"Feb. 26, 2018",71.95
"Feb. 23, 2018",71.95
"Feb. 22, 2018",71.95
"Feb. 21, 2018",71.95
"Feb. 20, 2018",71.95
"Feb. 16, 2018",71.95
"Feb. 15, 2018",70.76
"Feb. 14, 2018",69.63
"Feb. 13, 2018",69.63
"Feb. 12, 2018",69.63
"Feb. 9, 2018",69.63
"Feb. 8, 2018",69.63
"Feb. 7, 2018",69.63
"Feb. 6, 2018",69.63
"Feb. 5, 2018",69.63
"Feb. 2, 2018",69.63
"Feb. 1, 2018",69.63
"Jan. 31, 2018",69.63
"Jan. 30, 2018",69.63
"Jan. 29, 2018",69.63
"Jan. 26, 2018",69.63
"Jan. 25, 2018",69.63
"Jan. 24, 2018",69.63
"Jan. 23, 2018",69.63
"Jan. 22, 2018",69.63
"Jan. 19, 2018",69.63
"Jan. 18, 2018",69.63
"Jan. 17, 2018",69.63
"Jan. 16, 2018",69.63
"Jan. 12, 2018",69.63
"Jan. 11, 2018",69.63
"Jan. 10, 2018",69.63
"Jan. 9, 2018",69.63
"Jan. 8, 2018",69.63
"Jan. 5, 2018",69.63
"Jan. 4, 2018",69.63
"Jan. 3, 2018",69.63
"Jan. 2, 2018",69.63
"Dec. 29, 2017",69.63
"Dec. 28, 2017",69.63
"Dec. 27, 2017",69.63
"Dec. 26, 2017",69.63
"Dec. 22, 2017",69.63
"Dec. 21, 2017",69.63
"Dec. 20, 2017",69.63
"Dec. 19, 2017",69.63
"Dec. 18, 2017",69.63
"Dec. 15, 2017",69.63
"Dec. 14, 2017",69.63
"Dec. 13, 2017",69.63
"Dec. 12, 2017",69.63
