date,ca_score
"Dec. 31, 2019",-1.303
"Sept. 30, 2019",-1.306
"June 30, 2019",-1.312
"March 31, 2019",-1.304
"Dec. 31, 2018",-1.310
"Sept. 30, 2018",-1.314
"June 30, 2018",-1.325
"March 31, 2018",-1.382
"Dec. 31, 2017",-1.413
"Sept. 30, 2017",-1.446
"June 30, 2017",-1.460
"March 31, 2017",-1.453
"Dec. 31, 2016",-1.436
"Sept. 30, 2016",-1.400
"June 30, 2016",-1.372
"March 31, 2016",-1.303
"Dec. 31, 2015",-1.204
"Sept. 30, 2015",-1.212
"June 30, 2015",-1.193
"March 31, 2015",-1.188
"Dec. 31, 2014",-1.236
"Sept. 30, 2014",-1.188
"June 30, 2014",-1.199
"March 31, 2014",-1.172
"Dec. 31, 2013",-1.168
"Sept. 30, 2013",-1.181
"June 30, 2013",-1.206
"March 31, 2013",-1.213
"Dec. 31, 2012",-1.214
"Sept. 30, 2012",-1.191
"June 30, 2012",-1.148
"March 31, 2012",-1.113
"Dec. 31, 2011",-1.019
"Sept. 30, 2011",-1.029
"June 30, 2011",-0.9739
"March 31, 2011",-1.001
"Dec. 31, 2010",-1.000
"Sept. 30, 2010",-0.9708
"June 30, 2010",-0.9899
"March 31, 2010",-0.9637
"Dec. 31, 2009",-1.010
"Sept. 30, 2009",-1.019
"June 30, 2009",-1.055
"March 31, 2009",-1.058
"Dec. 31, 2008",-1.081
"Sept. 30, 2008",-1.045
"June 30, 2008",-1.062
"March 31, 2008",-1.063
"Dec. 31, 2007",-1.038
"Sept. 30, 2007",-1.036
"June 30, 2007",-1.124
"March 31, 2007",-1.153
"Dec. 31, 2006",-1.209
"Sept. 30, 2006",-1.362
"June 30, 2006",-1.264
"March 31, 2006",-1.299
"Dec. 31, 2005",-1.287
"Sept. 30, 2005",-1.161
"June 30, 2005",-1.197
"March 31, 2005",-1.242
"Dec. 31, 2004",-1.281
"Sept. 30, 2004",-1.272
"June 30, 2004",-1.408
"March 31, 2004",-1.420
"Dec. 31, 2003",-1.401
"Sept. 30, 2003",-1.335
"June 30, 2003",-1.190
"March 31, 2003",-1.153
"Dec. 31, 2002",-1.131
"Sept. 30, 2002",-1.127
"June 30, 2002",-1.167
"March 31, 2002",-1.185
"Dec. 31, 2001",-1.162
"Sept. 30, 2001",-1.183
"June 30, 2001",-1.252
"March 31, 2001",-1.314
"Dec. 31, 2000",-1.445
"Sept. 30, 2000",-1.475
"June 30, 2000",-1.453
"March 31, 2000",-1.431
"Dec. 31, 1999",-1.326
"Sept. 30, 1999",-1.281
"June 30, 1999",-1.162
"March 31, 1999",-1.018
"Dec. 31, 1998",-0.9604
"Sept. 30, 1998",-0.9232
"June 30, 1998",-0.9646
"March 31, 1998",-0.9408
"Dec. 31, 1997",-0.8885
"Sept. 30, 1997",-0.7734
"June 30, 1997",-0.7858
"March 31, 1997",-0.7996
"Dec. 31, 1996",-0.7799
"Sept. 30, 1996",-0.762
"June 30, 1996",-0.7531
"March 31, 1996",-0.7379
"Dec. 31, 1995",-0.7537
"Sept. 30, 1995",-0.7885
"June 30, 1995",-0.8695
"March 31, 1995",-0.8951
"Dec. 31, 1994",-0.8858
"Sept. 30, 1994",-0.6837
