date,ebitda_margin_ttm
"Dec. 31, 2019",29.39%
"Sept. 30, 2019",28.50%
"June 30, 2019",27.61%
"March 31, 2019",27.78%
"Dec. 31, 2018",27.25%
"Sept. 30, 2018",28.53%
"June 30, 2018",29.74%
"March 31, 2018",27.71%
"Dec. 31, 2017",27.92%
"Sept. 30, 2017",28.25%
"June 30, 2017",27.98%
"March 31, 2017",29.65%
"Dec. 31, 2016",28.17%
"Sept. 30, 2016",26.91%
"June 30, 2016",25.94%
"March 31, 2016",26.96%
"Dec. 31, 2015",28.45%
"Sept. 30, 2015",26.24%
"June 30, 2015",27.21%
"March 31, 2015",25.77%
"Dec. 31, 2014",22.81%
"Sept. 30, 2014",25.92%
"June 30, 2014",25.40%
"March 31, 2014",26.81%
"Dec. 31, 2013",29.83%
"Sept. 30, 2013",30.03%
"June 30, 2013",28.01%
"March 31, 2013",27.84%
"Dec. 31, 2012",27.89%
"Sept. 30, 2012",29.07%
"June 30, 2012",31.07%
"March 31, 2012",32.47%
"Dec. 31, 2011",35.64%
"Sept. 30, 2011",34.49%
"June 30, 2011",38.30%
"March 31, 2011",38.16%
"Dec. 31, 2010",41.13%
"Sept. 30, 2010",43.87%
"June 30, 2010",45.44%
"March 31, 2010",47.68%
"Dec. 31, 2009",44.76%
"Sept. 30, 2009",42.03%
"June 30, 2009",42.57%
"March 31, 2009",41.15%
"Dec. 31, 2008",40.76%
"Sept. 30, 2008",42.25%
"June 30, 2008",38.58%
"March 31, 2008",38.46%
"Dec. 31, 2007",38.09%
"Sept. 30, 2007",39.18%
"June 30, 2007",35.27%
"March 31, 2007",36.82%
"Dec. 31, 2006",36.66%
"Sept. 30, 2006",26.29%
"June 30, 2006",31.39%
"March 31, 2006",29.54%
"Dec. 31, 2005",30.55%
"Sept. 30, 2005",38.96%
"June 30, 2005",45.32%
"March 31, 2005",43.93%
"Dec. 31, 2004",42.33%
"Sept. 30, 2004",44.01%
"June 30, 2004",28.09%
"March 31, 2004",27.95%
"Dec. 31, 2003",26.90%
"Sept. 30, 2003",26.04%
"June 30, 2003",32.37%
"March 31, 2003",32.85%
"Dec. 31, 2002",33.44%
"Sept. 30, 2002",33.18%
"June 30, 2002",33.73%
"March 31, 2002",33.55%
"Dec. 31, 2001",34.83%
"Sept. 30, 2001",32.30%
"June 30, 2001",31.69%
"March 31, 2001",30.64%
"Dec. 31, 2000",28.47%
"Sept. 30, 2000",32.95%
"June 30, 2000",32.57%
"March 31, 2000",31.77%
"Dec. 31, 1999",32.12%
"Sept. 30, 1999",29.04%
"June 30, 1999",31.64%
"March 31, 1999",35.50%
"Dec. 31, 1998",36.06%
"Sept. 30, 1998",36.90%
"June 30, 1998",37.36%
"March 31, 1998",37.94%
"Dec. 31, 1997",38.13%
"Sept. 30, 1997",45.29%
"June 30, 1997",44.87%
"March 31, 1997",43.13%
"Dec. 31, 1996",43.97%
"Sept. 30, 1996",43.60%
"June 30, 1996",45.08%
"March 31, 1996",47.85%
"Dec. 31, 1995",48.92%
"Sept. 30, 1995",47.95%
"June 30, 1995",42.28%
"March 31, 1995",39.65%
"Dec. 31, 1994",39.13%
"Sept. 30, 1994",51.62%
"June 30, 1994",70.95%
"March 31, 1994",84.19%
"Dec. 31, 1993",100.0%
"Sept. 30, 1993",100.0%
"June 30, 1993",100.0%
"March 31, 1993",100.0%
"Dec. 31, 1992",100.0%
"Sept. 30, 1992",100.0%
"June 30, 1992",100.0%
"March 31, 1992",100.0%
"Dec. 31, 1991",100.0%
"Sept. 30, 1991",100.0%
"June 30, 1991",100.0%
"March 31, 1991",100.0%
"Dec. 31, 1990",100.0%
"Sept. 30, 1990",100.0%
"June 30, 1990",100.0%
"March 31, 1990",100.0%
"Dec. 31, 1989",100.0%
"Sept. 30, 1989",100.0%
"June 30, 1989",100.0%
"March 31, 1989",100.0%
"Dec. 31, 1988",100.0%
"Sept. 30, 1988",100.0%
"June 30, 1988",100.0%
"March 31, 1988",100.0%
"Dec. 31, 1987",100.0%
"Sept. 30, 1987",100.0%
"June 30, 1987",100.0%
"March 31, 1987",100.0%
"Dec. 31, 1986",100.0%
"Sept. 30, 1986",100.0%
"June 30, 1986",100.0%
"March 31, 1986",100.0%
"Dec. 31, 1985",100.0%
"Sept. 30, 1985",100.0%
"June 30, 1985",100.0%
"March 31, 1985",100.0%
"Dec. 31, 1984",100.0%
