date,ev_revenues
"March 19, 2020",2.065
"March 18, 2020",2.083
"March 17, 2020",2.167
"March 16, 2020",2.012
"March 13, 2020",2.177
"March 12, 2020",2.146
"March 11, 2020",2.275
"March 10, 2020",2.368
"March 9, 2020",2.334
"March 6, 2020",2.426
"March 5, 2020",2.453
"March 4, 2020",2.473
"March 3, 2020",2.399
"March 2, 2020",2.434
"Feb. 28, 2020",2.368
"Feb. 27, 2020",2.426
"Feb. 26, 2020",2.48
"Feb. 25, 2020",2.496
"Feb. 24, 2020",2.53
"Feb. 21, 2020",2.556
"Feb. 20, 2020",2.559
"Feb. 19, 2020",2.552
"Feb. 18, 2020",2.574
"Feb. 14, 2020",2.557
"Feb. 13, 2020",2.551
"Feb. 12, 2020",2.542
"Feb. 11, 2020",2.545
"Feb. 10, 2020",2.516
"Feb. 7, 2020",2.512
"Feb. 6, 2020",2.514
"Feb. 5, 2020",2.516
"Feb. 4, 2020",2.509
"Feb. 3, 2020",2.512
"Jan. 31, 2020",2.495
"Jan. 30, 2020",2.507
"Jan. 29, 2020",2.500
"Jan. 28, 2020",2.497
"Jan. 27, 2020",2.484
"Jan. 24, 2020",2.497
"Jan. 23, 2020",2.504
"Jan. 22, 2020",2.495
"Jan. 21, 2020",2.493
"Jan. 17, 2020",2.488
"Jan. 16, 2020",2.469
"Jan. 15, 2020",2.464
"Jan. 14, 2020",2.443
"Jan. 13, 2020",2.454
"Jan. 10, 2020",2.456
"Jan. 9, 2020",2.453
"Jan. 8, 2020",2.449
"Jan. 7, 2020",2.440
"Jan. 6, 2020",2.438
"Jan. 3, 2020",2.436
"Jan. 2, 2020",2.432
"Dec. 31, 2019",2.437
"Dec. 30, 2019",2.354
"Dec. 27, 2019",2.355
"Dec. 26, 2019",2.352
"Dec. 24, 2019",2.352
"Dec. 23, 2019",2.349
"Dec. 20, 2019",2.356
"Dec. 19, 2019",2.343
"Dec. 18, 2019",2.354
"Dec. 17, 2019",2.343
"Dec. 16, 2019",2.335
"Dec. 13, 2019",2.311
"Dec. 12, 2019",2.318
"Dec. 11, 2019",2.321
"Dec. 10, 2019",2.336
"Dec. 9, 2019",2.342
"Dec. 6, 2019",2.340
"Dec. 5, 2019",2.340
"Dec. 4, 2019",2.331
"Dec. 3, 2019",2.323
"Dec. 2, 2019",2.313
"Nov. 29, 2019",2.327
"Nov. 27, 2019",2.323
"Nov. 26, 2019",2.316
"Nov. 25, 2019",2.320
"Nov. 22, 2019",2.328
"Nov. 21, 2019",2.326
"Nov. 20, 2019",2.354
"Nov. 19, 2019",2.354
"Nov. 18, 2019",2.355
"Nov. 15, 2019",2.344
"Nov. 14, 2019",2.333
"Nov. 13, 2019",2.330
"Nov. 12, 2019",2.325
"Nov. 11, 2019",2.316
"Nov. 8, 2019",2.335
"Nov. 7, 2019",2.335
"Nov. 6, 2019",2.338
"Nov. 5, 2019",2.337
"Nov. 4, 2019",2.330
"Nov. 1, 2019",2.353
"Oct. 31, 2019",2.357
"Oct. 30, 2019",2.390
"Oct. 29, 2019",2.367
"Oct. 28, 2019",2.360
"Oct. 25, 2019",2.368
"Oct. 24, 2019",2.376
"Oct. 23, 2019",2.362
"Oct. 22, 2019",2.350
"Oct. 21, 2019",2.335
"Oct. 18, 2019",2.334
"Oct. 17, 2019",2.317
"Oct. 16, 2019",2.341
"Oct. 15, 2019",2.401
"Oct. 14, 2019",2.402
"Oct. 11, 2019",2.413
"Oct. 10, 2019",2.411
"Oct. 9, 2019",2.424
"Oct. 8, 2019",2.421
"Oct. 7, 2019",2.440
"Oct. 4, 2019",2.440
"Oct. 3, 2019",2.419
"Oct. 2, 2019",2.416
"Oct. 1, 2019",2.426
"Sept. 30, 2019",2.436
"Sept. 27, 2019",2.423
"Sept. 26, 2019",2.439
"Sept. 25, 2019",2.434
"Sept. 24, 2019",2.429
"Sept. 23, 2019",2.415
"Sept. 20, 2019",2.419
"Sept. 19, 2019",2.401
"Sept. 18, 2019",2.405
"Sept. 17, 2019",2.387
"Sept. 16, 2019",2.390
"Sept. 13, 2019",2.387
"Sept. 12, 2019",2.403
"Sept. 11, 2019",2.427
"Sept. 10, 2019",2.416
"Sept. 9, 2019",2.408
"Sept. 6, 2019",2.41
"Sept. 5, 2019",2.41
"Sept. 4, 2019",2.407
"Sept. 3, 2019",2.404
"Aug. 30, 2019",2.386
"Aug. 29, 2019",2.372
"Aug. 28, 2019",2.364
"Aug. 27, 2019",2.358
"Aug. 26, 2019",2.343
