date,historical_daily_var_5_all
"Feb. 29, 2020",2.11%
"Jan. 31, 2020",2.10%
"Dec. 31, 2019",2.10%
"Nov. 30, 2019",2.11%
"Oct. 31, 2019",2.11%
"Sept. 30, 2019",2.10%
"Aug. 31, 2019",2.11%
"July 31, 2019",2.11%
"June 30, 2019",2.11%
"May 31, 2019",2.10%
"April 30, 2019",2.11%
"March 31, 2019",2.11%
"Feb. 28, 2019",2.11%
"Jan. 31, 2019",2.11%
"Dec. 31, 2018",2.11%
"Nov. 30, 2018",2.11%
"Oct. 31, 2018",2.11%
"Sept. 30, 2018",2.12%
"Aug. 31, 2018",2.12%
"July 31, 2018",2.12%
"June 30, 2018",2.12%
"May 31, 2018",2.12%
"April 30, 2018",2.12%
"March 31, 2018",2.12%
"Feb. 28, 2018",2.12%
"Jan. 31, 2018",2.13%
"Dec. 31, 2017",2.13%
"Nov. 30, 2017",2.13%
"Oct. 31, 2017",2.13%
"Sept. 30, 2017",2.13%
"Aug. 31, 2017",2.13%
"July 31, 2017",2.13%
"June 30, 2017",2.13%
"May 31, 2017",2.13%
"April 30, 2017",2.14%
"March 31, 2017",2.14%
"Feb. 28, 2017",2.14%
"Jan. 31, 2017",2.14%
"Dec. 31, 2016",2.14%
"Nov. 30, 2016",2.14%
"Oct. 31, 2016",2.14%
"Sept. 30, 2016",2.14%
"Aug. 31, 2016",2.14%
"July 31, 2016",2.14%
"June 30, 2016",2.14%
"May 31, 2016",2.14%
"April 30, 2016",2.14%
"March 31, 2016",2.14%
"Feb. 29, 2016",2.14%
"Jan. 31, 2016",2.14%
"Dec. 31, 2015",2.14%
"Nov. 30, 2015",2.14%
"Oct. 31, 2015",2.14%
"Sept. 30, 2015",2.14%
"Aug. 31, 2015",2.14%
"July 31, 2015",2.13%
"June 30, 2015",2.14%
"May 31, 2015",2.14%
"April 30, 2015",2.14%
"March 31, 2015",2.14%
"Feb. 28, 2015",2.14%
"Jan. 31, 2015",2.13%
"Dec. 31, 2014",2.13%
"Nov. 30, 2014",2.13%
"Oct. 31, 2014",2.13%
"Sept. 30, 2014",2.13%
"Aug. 31, 2014",2.13%
"July 31, 2014",2.13%
"June 30, 2014",2.13%
"May 31, 2014",2.13%
"April 30, 2014",2.13%
"March 31, 2014",2.13%
"Feb. 28, 2014",2.13%
"Jan. 31, 2014",2.13%
"Dec. 31, 2013",2.14%
"Nov. 30, 2013",2.14%
"Oct. 31, 2013",2.14%
"Sept. 30, 2013",2.13%
"Aug. 31, 2013",2.13%
"July 31, 2013",2.14%
"June 30, 2013",2.14%
"May 31, 2013",2.13%
"April 30, 2013",2.13%
"March 31, 2013",2.14%
"Feb. 28, 2013",2.14%
"Jan. 31, 2013",2.14%
"Dec. 31, 2012",2.14%
"Nov. 30, 2012",2.14%
"Oct. 31, 2012",2.14%
"Sept. 30, 2012",2.14%
"Aug. 31, 2012",2.14%
"July 31, 2012",2.14%
"June 30, 2012",2.14%
"May 31, 2012",2.14%
"April 30, 2012",2.14%
"March 31, 2012",2.14%
"Feb. 29, 2012",2.15%
"Jan. 31, 2012",2.15%
"Dec. 31, 2011",2.15%
"Nov. 30, 2011",2.15%
"Oct. 31, 2011",2.15%
"Sept. 30, 2011",2.15%
"Aug. 31, 2011",2.15%
"July 31, 2011",2.15%
"June 30, 2011",2.15%
"May 31, 2011",2.15%
"April 30, 2011",2.15%
"March 31, 2011",2.15%
"Feb. 28, 2011",2.15%
"Jan. 31, 2011",2.16%
"Dec. 31, 2010",2.16%
"Nov. 30, 2010",2.16%
"Oct. 31, 2010",2.16%
"Sept. 30, 2010",2.16%
"Aug. 31, 2010",2.16%
"July 31, 2010",2.16%
"June 30, 2010",2.17%
"May 31, 2010",2.16%
"April 30, 2010",2.16%
"March 31, 2010",2.16%
"Feb. 28, 2010",2.16%
"Jan. 31, 2010",2.17%
"Dec. 31, 2009",2.17%
"Nov. 30, 2009",2.18%
"Oct. 31, 2009",2.18%
"Sept. 30, 2009",2.17%
"Aug. 31, 2009",2.18%
"July 31, 2009",2.18%
"June 30, 2009",2.18%
"May 31, 2009",2.17%
"April 30, 2009",2.16%
"March 31, 2009",2.16%
"Feb. 28, 2009",2.15%
"Jan. 31, 2009",2.14%
"Dec. 31, 2008",2.14%
"Nov. 30, 2008",2.13%
"Oct. 31, 2008",2.11%
"Sept. 30, 2008",2.09%
"Aug. 31, 2008",2.08%
"July 31, 2008",2.08%
"June 30, 2008",2.08%
"May 31, 2008",2.08%
"April 30, 2008",2.08%
"March 31, 2008",2.08%
"Feb. 29, 2008",2.08%
"Jan. 31, 2008",2.08%
"Dec. 31, 2007",2.07%
"Nov. 30, 2007",2.06%
"Oct. 31, 2007",2.06%
"Sept. 30, 2007",2.06%
"Aug. 31, 2007",2.06%
"July 31, 2007",2.04%
"June 30, 2007",2.04%
"May 31, 2007",2.02%
"April 30, 2007",2.02%
"March 31, 2007",2.02%
"Feb. 28, 2007",2.02%
"Jan. 31, 2007",2.02%
"Dec. 31, 2006",2.02%
"Nov. 30, 2006",2.04%
