date,operating_pe_ratio
"March 19, 2020",7.272
"March 18, 2020",7.414
"March 17, 2020",8.078
"March 16, 2020",6.846
"March 13, 2020",8.158
"March 12, 2020",7.914
"March 11, 2020",8.932
"March 10, 2020",9.675
"March 9, 2020",9.404
"March 6, 2020",10.14
"March 5, 2020",10.35
"March 4, 2020",10.51
"March 3, 2020",9.915
"March 2, 2020",10.19
"Feb. 28, 2020",9.673
"Feb. 27, 2020",10.13
"Feb. 26, 2020",10.56
"Feb. 25, 2020",10.69
"Feb. 24, 2020",10.95
"Feb. 21, 2020",11.16
"Feb. 20, 2020",11.19
"Feb. 19, 2020",11.13
"Feb. 18, 2020",11.30
"Feb. 14, 2020",11.17
"Feb. 13, 2020",11.12
"Feb. 12, 2020",11.05
"Feb. 11, 2020",11.07
"Feb. 10, 2020",10.84
"Feb. 7, 2020",10.81
"Feb. 6, 2020",10.83
"Feb. 5, 2020",10.84
"Feb. 4, 2020",10.79
"Feb. 3, 2020",10.82
"Jan. 31, 2020",10.68
"Jan. 30, 2020",10.78
"Jan. 29, 2020",10.73
"Jan. 28, 2020",10.71
"Jan. 27, 2020",10.61
"Jan. 24, 2020",10.71
"Jan. 23, 2020",10.76
"Jan. 22, 2020",10.69
"Jan. 21, 2020",10.68
"Jan. 17, 2020",10.63
"Jan. 16, 2020",10.49
"Jan. 15, 2020",10.44
"Jan. 14, 2020",10.28
"Jan. 13, 2020",10.36
"Jan. 10, 2020",10.38
"Jan. 9, 2020",10.36
"Jan. 8, 2020",10.32
"Jan. 7, 2020",10.25
"Jan. 6, 2020",10.24
"Jan. 3, 2020",10.22
"Jan. 2, 2020",10.19
"Dec. 31, 2019",10.23
"Dec. 30, 2019",10.78
"Dec. 27, 2019",10.78
"Dec. 26, 2019",10.76
"Dec. 24, 2019",10.76
"Dec. 23, 2019",10.73
"Dec. 20, 2019",10.79
"Dec. 19, 2019",10.68
"Dec. 18, 2019",10.77
"Dec. 17, 2019",10.68
"Dec. 16, 2019",10.62
"Dec. 13, 2019",10.41
"Dec. 12, 2019",10.47
"Dec. 11, 2019",10.50
"Dec. 10, 2019",10.62
"Dec. 9, 2019",10.67
"Dec. 6, 2019",10.65
"Dec. 5, 2019",10.65
"Dec. 4, 2019",10.58
"Dec. 3, 2019",10.51
"Dec. 2, 2019",10.43
"Nov. 29, 2019",10.54
"Nov. 27, 2019",10.51
"Nov. 26, 2019",10.45
"Nov. 25, 2019",10.49
"Nov. 22, 2019",10.55
"Nov. 21, 2019",10.54
"Nov. 20, 2019",10.77
"Nov. 19, 2019",10.77
"Nov. 18, 2019",10.78
"Nov. 15, 2019",10.69
"Nov. 14, 2019",10.60
"Nov. 13, 2019",10.57
"Nov. 12, 2019",10.53
"Nov. 11, 2019",10.45
"Nov. 8, 2019",10.62
"Nov. 7, 2019",10.62
"Nov. 6, 2019",10.64
"Nov. 5, 2019",10.63
"Nov. 4, 2019",10.57
"Nov. 1, 2019",10.77
"Oct. 31, 2019",10.80
"Oct. 30, 2019",11.08
"Oct. 29, 2019",10.89
"Oct. 28, 2019",10.83
"Oct. 25, 2019",10.90
"Oct. 24, 2019",10.97
"Oct. 23, 2019",10.84
"Oct. 22, 2019",10.75
"Oct. 21, 2019",10.62
"Oct. 18, 2019",10.61
"Oct. 17, 2019",10.46
"Oct. 16, 2019",10.67
"Oct. 15, 2019",11.18
"Oct. 14, 2019",11.19
"Oct. 11, 2019",11.28
"Oct. 10, 2019",11.26
"Oct. 9, 2019",11.38
"Oct. 8, 2019",11.34
"Oct. 7, 2019",11.51
"Oct. 4, 2019",11.51
"Oct. 3, 2019",11.33
"Oct. 2, 2019",11.31
"Oct. 1, 2019",11.39
"Sept. 30, 2019",11.47
"Sept. 27, 2019",12.18
"Sept. 26, 2019",12.33
"Sept. 25, 2019",12.28
"Sept. 24, 2019",12.23
"Sept. 23, 2019",12.11
"Sept. 20, 2019",12.14
"Sept. 19, 2019",11.98
"Sept. 18, 2019",12.02
"Sept. 17, 2019",11.85
"Sept. 16, 2019",11.88
"Sept. 13, 2019",11.85
"Sept. 12, 2019",12.00
"Sept. 11, 2019",12.21
"Sept. 10, 2019",12.12
"Sept. 9, 2019",12.04
"Sept. 6, 2019",12.06
"Sept. 5, 2019",12.06
"Sept. 4, 2019",12.03
"Sept. 3, 2019",12.01
"Aug. 30, 2019",11.85
"Aug. 29, 2019",11.72
"Aug. 28, 2019",11.64
"Aug. 27, 2019",11.59
"Aug. 26, 2019",11.45
"Aug. 23, 2019",11.25
"Aug. 22, 2019",11.41
"Aug. 21, 2019",11.39
"Aug. 20, 2019",11.33
"Aug. 19, 2019",11.35
"Aug. 16, 2019",11.31
"Aug. 15, 2019",11.19
"Aug. 14, 2019",11.15
"Aug. 13, 2019",11.41
"Aug. 12, 2019",11.33
"Aug. 9, 2019",11.33
"Aug. 8, 2019",11.38
"Aug. 7, 2019",11.28
"Aug. 6, 2019",11.33
"Aug. 5, 2019",11.13
"Aug. 2, 2019",11.22
"Aug. 1, 2019",11.13
"July 31, 2019",11.29
"July 30, 2019",11.54
"July 29, 2019",11.54
"July 26, 2019",11.48
"July 25, 2019",11.56
"July 24, 2019",11.40
"July 23, 2019",11.62
"July 22, 2019",11.85
"July 19, 2019",11.92
"July 18, 2019",12.22
"July 17, 2019",12.18
"July 16, 2019",12.13
"July 15, 2019",12.25
"July 12, 2019",12.30
"July 11, 2019",12.42
"July 10, 2019",12.37
"July 9, 2019",12.28
