date,revenue_per_employee_annual
"Dec. 31, 2019",1.042M
"Dec. 31, 2018",1.058M
"Dec. 31, 2017",972456.1
"Dec. 31, 2016",977773.6
"Dec. 31, 2015",1.002M
"Dec. 31, 2014",1.001M
"Dec. 31, 2013",959333.9
"Dec. 31, 2012",1.036M
"Dec. 31, 2011",990774.7
"Dec. 31, 2010",967439.0
"Dec. 31, 2009",889493.8
"Dec. 31, 2008",1.008M
"Dec. 31, 2007",1.081M
"Dec. 31, 2006",910174.4
"Dec. 31, 2005",890260.9
"Dec. 31, 2004",757801.6
"Dec. 31, 2003",670265.5
"Dec. 31, 2002",549816.2
"Dec. 31, 2001",512646.0
"Dec. 31, 2000",368166.5
"Dec. 31, 1999",590556.3
"Dec. 31, 1998",751375.8
"Dec. 31, 1997",634981.1
"Dec. 31, 1996",594820.5
"Dec. 31, 1995",492888.3
"Dec. 31, 1994",413614.5
"Dec. 31, 1993",408240.4
"Dec. 31, 1992",402243.4
"Dec. 31, 1991",373981.8
"Dec. 31, 1990",327054.5
