date,shares_outstanding
"March 2, 2020",973.93M
"Jan. 31, 2020",974.32M
"Dec. 31, 2019",973.00M
"Sept. 30, 2019",972.11M
"June 30, 2019",971.58M
"March 31, 2019",970.95M
"March 4, 2019",969.95M
"Jan. 31, 2019",969.75M
"Dec. 31, 2018",968.00M
"Sept. 30, 2018",967.01M
"June 30, 2018",965.91M
"March 31, 2018",965.38M
"March 2, 2018",964.99M
"Jan. 31, 2018",965.03M
"Dec. 31, 2017",963.00M
"Sept. 30, 2017",960.85M
"June 30, 2017",960.09M
"March 31, 2017",926.10M
"March 3, 2017",925.76M
"Jan. 31, 2017",926.59M
"Dec. 31, 2016",924.00M
"Sept. 30, 2016",923.27M
"June 30, 2016",922.87M
"March 31, 2016",887.31M
"March 4, 2016",921.69M
"Jan. 31, 2016",919.92M
"Dec. 31, 2015",920.00M
"Sept. 30, 2015",919.56M
"June 30, 2015",861.62M
"March 31, 2015",861.24M
"March 10, 2015",860.99M
"Jan. 31, 2015",859.83M
"Dec. 31, 2014",860.00M
"Sept. 30, 2014",859.46M
"June 30, 2014",859.20M
"March 31, 2014",858.72M
"March 14, 2014",858.43M
"Jan. 31, 2014",857.42M
"Dec. 31, 2013",857.00M
"Sept. 30, 2013",856.90M
"June 30, 2013",856.56M
"March 31, 2013",855.85M
"March 1, 2013",855.56M
"Jan. 31, 2013",855.02M
"Dec. 31, 2012",855.00M
"Sept. 30, 2012",854.28M
"June 30, 2012",853.57M
"March 31, 2012",852.41M
"Feb. 7, 2012",663.65M
"Jan. 31, 2012",663.64M
"Dec. 31, 2011",663.00M
"Sept. 30, 2011",663.01M
"June 30, 2011",662.69M
"March 31, 2011",662.39M
"March 4, 2011",662.21M
"Jan. 31, 2011",661.86M
"Dec. 31, 2010",662.00M
"Sept. 30, 2010",661.41M
"June 30, 2010",661.00M
"March 31, 2010",660.58M
"Jan. 29, 2010",659.90M
"Dec. 31, 2009",660.00M
"Sept. 30, 2009",659.38M
"June 30, 2009",659.08M
"March 31, 2009",658.75M
"Dec. 31, 2008",658.24M
"Sept. 30, 2008",658.00M
"June 30, 2008",657.00M
"March 31, 2008",656.00M
"Jan. 31, 2008",661.22M
"Dec. 31, 2007",661.00M
"Sept. 30, 2007",659.97M
"June 30, 2007",674.17M
"March 31, 2007",672.65M
"Jan. 31, 2007",670.16M
"Dec. 31, 2006",670.00M
"Sept. 30, 2006",670.95M
"June 30, 2006",669.49M
"March 31, 2006",668.50M
"Jan. 31, 2006",667.23M
"Dec. 31, 2005",666.40M
"Sept. 30, 2005",667.23M
"June 30, 2005",670.56M
"March 31, 2005",668.51M
"Jan. 31, 2005",664.81M
"Dec. 31, 2004",667.00M
"Sept. 30, 2004",662.55M
"June 30, 2004",660.15M
"March 31, 2004",660.98M
"Jan. 31, 2004",658.47M
"Dec. 31, 2003",656.00M
"Sept. 30, 2003",654.04M
"June 30, 2003",651.70M
"March 31, 2003",648.47M
"Feb. 28, 2003",648.14M
"Dec. 31, 2002",646.63M
"Oct. 15, 2002",645.97M
"Sept. 30, 2002",645.97M
"Aug. 1, 2002",645.75M
"June 30, 2002",645.75M
"May 3, 2002",644.01M
"March 31, 2002",644.01M
"March 1, 2002",642.84M
"Dec. 31, 2001",642.01M
"Nov. 2, 2001",641.77M
"Sept. 30, 2001",641.77M
"June 30, 2001",641.42M
"March 31, 2001",641.20M
"Dec. 31, 2000",640.14M
"Oct. 27, 2000",636.88M
"Sept. 30, 2000",636.88M
"June 30, 2000",339.39M
"March 31, 2000",362.90M
"Dec. 31, 1999",362.54M
"Sept. 30, 1999",371.57M
"June 30, 1999",373.21M
"March 31, 1999",383.62M
"Dec. 31, 1998",449.37M
"Sept. 30, 1998",448.09M
"June 30, 1998",445.79M
"March 31, 1998",445.09M
"Dec. 31, 1997",445.09M
"Sept. 30, 1997",445.08M
"June 30, 1997",445.08M
"March 31, 1997",445.08M
"Dec. 31, 1996",445.00M
"Sept. 30, 1996",445.08M
"June 30, 1996",445.04M
"March 31, 1996",445.02M
"Dec. 31, 1995",444.34M
"Sept. 30, 1995",443.95M
"June 30, 1995",443.81M
"March 31, 1995",443.54M
"Dec. 31, 1994",443.22M
"Sept. 30, 1994",443.20M
"June 30, 1994",443.00M
"March 31, 1994",443.06M
"Dec. 31, 1993",443.03M
"Sept. 30, 1993",443.00M
"June 30, 1993",441.71M
"March 31, 1993",441.65M
"Dec. 31, 1992",440.82M
"Sept. 30, 1992",440.75M
"June 30, 1992",440.62M
"March 31, 1992",440.19M
"Dec. 31, 1991",440.06M
"Sept. 30, 1991",437.45M
"June 30, 1991",435.77M
"March 31, 1991",434.13M
"Dec. 31, 1990",433.91M
