Assets (Quarterly),2020-02,2019-11,2019-08,2019-05,2019-02,2018-11,2018-08,2018-05,2018-02,2017-11,2017-08,2017-05,2017-02,2016-11,2016-08,2016-05,2016-02,2015-11,2015-08,2015-05,2015-02,2014-11,2014-08,2014-05,2014-02,2013-11,2013-08,2013-05,2013-02,2012-11,2012-08,2012-05,2012-02,2011-11,2011-08,2011-05,2011-02,2010-11,2010-08,2010-05,2010-02,2009-11,2009-08,2009-05,2009-02,2008-11,2008-08,2008-05,2008-02,2007-11,2007-08,2007-05,2007-02,2006-11,2006-08,2006-05,2006-02,2005-11,2005-08,2005-05,2005-02,2004-11,2004-08,2004-05,2004-02,2003-11,2003-08,2003-05,2003-02,2002-11,2002-08,2002-05,2002-02,2001-11,2001-08,2001-05,2001-02,2000-11,2000-08,2000-05,2000-02,1999-11,1999-08,1999-05,1999-02,1998-11,1998-08,1998-05,1998-02,1997-11,1997-08,1997-05,1997-02,1996-11,1996-08,1996-05,1996-02,1995-11,1995-08,1995-05,1995-02,1994-11,1994-08,1994-05,1994-02,1993-11,1993-08,1993-05,1993-02,1992-11,1992-08,1992-05,1992-02,1991-11,1991-08,1991-05,1991-02,1990-11,1990-08,1990-05,1990-02,1989-11,1989-08,1989-05,1988-05,1987-05,1986-05,1985-05,1984-05
Cash and Equivalents,1.766B,2.031B,2.389B,2.319B,2.872B,2.123B,2.369B,3.265B,2.789B,2.768B,3.503B,3.969B,3.173B,3.059B,2.989B,3.534B,2.841B,3.647B,3.543B,3.763B,3.478B,2.266B,2.416B,2.908B,3.042B,3.935B,5.096B,4.917B,3.372B,2.517B,2.743B,2.843B,2.04B,1.896B,1.959B,2.328B,1.359B,1.877B,1.709B,1.952B,1.549B,1.465B,1.789B,2.292B,2.673B,1.542B,1.573B,1.539B,1.011B,830.00M,1.112B,1.569B,1.77B,1.855B,2.69B,1.937B,1.121B,786.00M,1.051B,1.039B,1.084B,939.00M,1.388B,1.046B,475.00M,1.03B,706.00M,538.00M,186.00M,519.00M,233.00M,331.00M,220.00M,248.00M,110.00M,121.00M,139.94M,654.78M,176.59M,68.00M,129.49M,517.89M,379.70M,325.32M,139.10M,664.40M,195.20M,229.56M,144.50M,193.20M,209.80M,160.90M,100.30M,111.70M,154.90M,93.40M,104.00M,115.10M,206.80M,357.50M,259.20M,246.00M,415.80M,392.90M,229.60M,359.30M,225.70M,155.50M,95.30M,192.40M,177.00M,78.20M,163.80M,166.60M,172.20M,117.70M,210.20M,247.10M,67.50M,98.50M,43.70M,52.60M,86.80M,157.30M,54.90M,21.70M,185.00M,12.20M,37.70M
Cash and Short Term Investments,1.766B,2.031B,2.389B,2.319B,2.872B,2.123B,2.369B,3.265B,2.789B,2.768B,3.503B,3.969B,3.173B,3.059B,2.989B,3.534B,2.841B,3.647B,3.543B,3.763B,3.478B,2.266B,2.416B,2.908B,3.042B,3.935B,5.096B,4.917B,3.372B,2.517B,2.743B,2.843B,2.04B,1.896B,1.959B,2.328B,1.359B,1.877B,1.709B,1.952B,1.549B,1.465B,1.789B,2.292B,2.673B,1.542B,1.573B,1.539B,1.011B,830.00M,1.112B,1.569B,1.77B,1.855B,2.69B,1.937B,1.121B,786.00M,1.051B,1.039B,1.084B,939.00M,1.388B,1.046B,475.00M,1.03B,706.00M,538.00M,186.00M,519.00M,233.00M,331.00M,220.00M,248.00M,110.00M,121.00M,139.94M,654.78M,176.59M,68.00M,129.49M,517.89M,379.70M,325.32M,139.10M,664.40M,195.20M,229.56M,144.50M,193.20M,209.80M,160.90M,100.30M,111.70M,154.90M,93.40M,104.00M,115.10M,206.80M,357.50M,259.20M,246.00M,415.80M,392.90M,229.60M,359.30M,225.70M,155.50M,95.30M,192.40M,177.00M,78.20M,163.80M,166.60M,172.20M,117.70M,210.20M,247.10M,67.50M,98.50M,43.70M,52.60M,86.80M,157.30M,54.90M,21.70M,185.00M,12.20M,37.70M
Accounts Receivable,9.323B,9.709B,9.312B,9.116B,9.037B,9.573B,8.716B,8.481B,8.671B,8.655B,8.006B,7.599B,7.418B,7.575B,7.233B,7.252B,5.634B,5.865B,5.617B,5.719B,5.584B,5.592B,5.487B,5.46B,5.197B,5.377B,4.99B,5.044B,4.95B,5.202B,4.946B,4.704B,4.815B,5.024B,4.624B,4.763B,,,4.135B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Receivables,9.323B,9.709B,9.312B,9.116B,9.037B,9.573B,8.716B,8.481B,8.671B,8.655B,8.006B,7.599B,7.418B,7.575B,7.233B,7.252B,5.634B,5.865B,5.617B,5.719B,5.584B,5.592B,5.487B,5.46B,5.197B,5.377B,4.99B,5.044B,4.95B,5.202B,4.78B,4.704B,4.635B,4.837B,4.624B,4.581B,4.478B,4.279B,4.135B,4.163B,3.937B,3.771B,3.41B,3.391B,3.52B,4.103B,4.361B,4.359B,4.242B,4.324B,3.959B,3.942B,3.925B,3.956B,3.624B,3.516B,3.401B,3.546B,3.27B,3.297B,3.188B,3.251B,2.965B,3.027B,3.00B,2.758B,2.625B,2.627B,2.587B,2.642B,2.55B,2.491B,2.433B,2.521B,2.498B,2.506B,2.707B,2.673B,2.588B,2.547B,2.488B,2.379B,2.144B,2.153B,2.099B,2.103B,1.977B,1.943B,1.988B,1.747B,1.771B,1.878B,1.513B,1.399B,1.292B,1.272B,1.272B,1.284B,1.193B,1.130B,1.141B,1.153B,1.038B,1.020B,1.016B,987.60M,922.70M,922.70M,908.40M,908.00M,864.80M,899.80M,955.40M,976.40M,922.00M,924.80M,975.10M,1.041B,999.30M,997.80M,925.90M,951.10M,825.40M,767.30M,491.30M,399.30M,347.00M,292.80M,207.30M
Inventories,568.00M,576.00M,574.00M,553.00M,546.00M,522.00M,523.00M,525.00M,523.00M,533.00M,516.00M,514.00M,527.00M,517.00M,512.00M,496.00M,476.00M,493.00M,488.00M,498.00M,488.00M,476.00M,481.00M,463.00M,462.00M,458.00M,451.00M,457.00M,460.00M,456.00M,465.00M,440.00M,447.00M,440.00M,418.00M,437.00M,413.00M,400.00M,377.00M,389.00M,380.00M,391.00M,372.00M,367.00M,370.00M,405.00M,412.00M,435.00M,384.00M,392.00M,342.00M,338.00M,322.00M,325.00M,320.00M,308.00M,294.00M,278.00M,251.00M,250.00M,245.00M,256.00M,244.00M,249.00M,256.00M,221.00M,220.00M,228.00M,229.00M,236.00M,234.00M,251.00M,254.00M,255.00M,265.00M,269.00M,281.72M,281.91M,260.46M,255.00M,279.42M,277.56M,277.30M,291.92M,305.00M,332.10M,351.10M,364.71M,375.00M,351.80M,323.50M,339.40M,284.60M,246.60M,236.70M,222.10M,217.00M,210.40M,194.80M,193.30M,175.10M,174.80M,173.10M,174.00M,159.40M,156.90M,162.10M,164.10M,158.20M,159.00M,227.40M,158.10M,161.00M,158.40M,160.90M,154.90M,153.60M,141.20M,116.70M,110.60M,107.60M,93.80M,86.10M,83.60M,48.80M,39.90M,49.30M,56.50M,39.70M
Prepaid Expenses,884.00M,882.00M,742.00M,1.098B,1.045B,1.22B,1.033B,1.07B,1.592B,925.00M,,546.00M,820.00M,901.00M,667.00M,707.00M,678.00M,460.00M,449.00M,355.00M,422.00M,381.00M,369.00M,330.00M,456.00M,441.00M,352.00M,323.00M,453.00M,474.00M,371.00M,536.00M,459.00M,367.00M,352.00M,329.00M,448.00M,302.00M,286.00M,251.00M,300.00M,292.00M,307.00M,555.00M,294.00M,266.00M,300.00M,367.00M,243.00M,274.00M,282.00M,244.00M,210.00M,192.00M,172.00M,164.00M,163.00M,162.00M,164.00M,173.00M,201.00M,160.00M,146.00M,159.00M,206.00M,133.00M,126.00M,132.00M,151.00M,125.00M,245.00M,123.00M,129.00M,97.00M,104.00M,117.00M,116.94M,88.56M,74.58M,,108.52M,72.95M,,79.90M,,,,109.64M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Assets,,,,,,,,,,,697.00M,,,,,,608.00M,687.00M,606.00M,,510.00M,497.00M,497.00M,522.00M,624.00M,655.00M,604.00M,533.00M,510.00M,510.00M,518.00M,533.00M,617.00M,628.00M,610.00M,610.00M,540.00M,540.00M,529.00M,529.00M,517.00M,515.00M,510.00M,511.00M,516.00M,518.00M,528.00M,544.00M,551.00M,531.00M,533.00M,536.00M,540.00M,515.00M,536.00M,539.00M,535.00M,520.00M,510.00M,510.00M,554.00M,527.00M,528.00M,489.00M,428.00M,417.00M,416.00M,416.00M,433.00M,441.00M,437.00M,469.00M,489.00M,529.00M,501.00M,488.00M,402.75M,349.97M,309.37M,318.00M,314.26M,322.13M,297.30M,290.72M,252.30M,256.70M,245.50M,232.79M,219.30M,168.40M,157.60M,197.00M,132.30M,111.50M,98.20M,92.60M,101.00M,110.40M,113.50M,,112.10M,113.40M,118.90M,113.00M,139.80M,138.40M,138.60M,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.00M,,,54.20M,,123.70M,56.30M,89.00M,,112.00M,41.60M,52.50M,68.40M,45.50M,40.70M,30.40M,48.60M,57.10M,28.00M,22.40M,188.00M,68.80M,59.00M,57.10M,61.30M,54.00M,51.20M,47.40M,197.40M,87.10M,70.90M,,69.90M,100.80M,63.30M,67.00M,85.40M,112.00M,82.10M,76.60M,108.50M,119.20M,76.20M,66.20M,91.90M,35.00M,46.60M,32.00M,61.60M,43.40M
Total Current Assets,12.54B,13.20B,13.02B,13.09B,13.50B,13.44B,12.64B,13.34B,13.58B,12.88B,12.72B,12.63B,11.94B,12.05B,11.40B,11.99B,10.24B,11.15B,10.70B,10.34B,10.48B,9.212B,9.25B,9.683B,9.781B,10.87B,11.49B,11.27B,9.745B,9.159B,8.877B,9.056B,8.198B,8.168B,7.963B,8.285B,7.238B,7.398B,7.036B,7.284B,6.683B,6.434B,6.388B,7.116B,7.373B,6.834B,7.174B,7.244B,6.431B,6.351B,6.228B,6.629B,6.767B,6.843B,7.342B,6.464B,5.514B,5.292B,5.246B,5.269B,5.272B,5.133B,5.271B,4.97B,4.365B,4.559B,4.093B,3.941B,3.586B,3.963B,3.699B,3.665B,3.525B,3.65B,3.478B,3.501B,3.648B,4.049B,3.409B,3.285B,3.319B,3.569B,3.153B,3.141B,2.919B,3.412B,2.858B,2.880B,2.839B,2.502B,2.514B,2.644B,2.076B,1.909B,1.812B,1.728B,1.751B,1.747B,1.730B,1.869B,1.756B,1.746B,1.802B,1.762B,1.599B,1.693B,1.496B,1.440B,1.249B,1.330B,1.269B,1.206B,1.381B,1.365B,1.322B,1.283B,1.451B,1.512B,1.260B,1.315B,1.196B,1.174B,1.064B,1.100B,630.00M,507.50M,613.30M,423.10M,328.10M
"Machine, Furniture & Equipment",,,,10.41B,,,,9.727B,,,,8.989B,,,,7.961B,,,,11.93B,,,,11.18B,,,,11.41B,,,,10.56B,,,,11.66B,,,,11.30B,,,,11.10B,,,,11.57B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
