date,graham_number
"Nov. 30, 2019",18.37
"Aug. 31, 2019",49.91
"May 31, 2019",53.24
"Feb. 28, 2019",152.62
"Nov. 30, 2018",174.69
"Aug. 31, 2018",170.13
"May 31, 2018",165.98
"Feb. 28, 2018",161.38
"Nov. 30, 2017",124.67
"Aug. 31, 2017",121.58
"May 31, 2017",122.11
"Feb. 28, 2017",94.89
"Nov. 30, 2016",91.44
"Aug. 31, 2016",89.38
"May 31, 2016",86.71
"Feb. 29, 2016",65.12
"Nov. 30, 2015",68.83
"Aug. 31, 2015",67.50
"May 31, 2015",65.40
"Feb. 28, 2015",108.14
"Nov. 30, 2014",101.04
"Aug. 31, 2014",95.04
"May 31, 2014",90.43
"Feb. 28, 2014",78.24
"Nov. 30, 2013",80.90
"Aug. 31, 2013",79.20
"May 31, 2013",78.00
"Feb. 28, 2013",80.82
"Nov. 30, 2012",83.24
"Aug. 31, 2012",83.06
"May 31, 2012",81.97
"Feb. 29, 2012",87.18
"Nov. 30, 2011",79.21
"Aug. 31, 2011",73.40
"May 31, 2011",70.26
"Feb. 28, 2011",66.34
"Nov. 30, 2010",65.94
"Aug. 31, 2010",66.74
"May 31, 2010",61.08
"Feb. 28, 2010",
"Nov. 30, 2009",
"Aug. 31, 2009",
"May 31, 2009",17.17
"Feb. 28, 2009",51.29
"Nov. 30, 2008",60.70
"Aug. 31, 2008",59.66
"May 31, 2008",61.51
"Feb. 29, 2008",80.81
"Nov. 30, 2007",80.27
"Aug. 31, 2007",79.25
"May 31, 2007",77.31
"Feb. 28, 2007",77.65
"Nov. 30, 2006",76.55
"Aug. 31, 2006",74.26
"May 31, 2006",70.20
"Feb. 28, 2006",66.38
"Nov. 30, 2005",62.81
"Aug. 31, 2005",59.11
"May 31, 2005",58.07
"Feb. 28, 2005",56.03
"Nov. 30, 2004",52.96
"Aug. 31, 2004",46.34
"May 31, 2004",40.79
"Feb. 29, 2004",36.45
"Nov. 30, 2003",34.50
"Aug. 31, 2003",38.20
"May 31, 2003",38.79
"Feb. 28, 2003",37.13
"Nov. 30, 2002",36.07
"Aug. 31, 2002",35.44
"May 31, 2002",33.99
"Feb. 28, 2002",30.33
"Nov. 30, 2001",30.00
"Aug. 31, 2001",28.34
"May 31, 2001",29.75
"Feb. 28, 2001",32.66
"Nov. 30, 2000",31.68
"Aug. 31, 2000",30.47
"May 31, 2000",29.43
"Feb. 29, 2000",28.21
"Nov. 30, 1999",26.97
"Aug. 31, 1999",27.82
"May 31, 1999",27.26
"Feb. 28, 1999",25.50
"Nov. 30, 1998",24.01
"Aug. 31, 1998",22.35
"May 31, 1998",22.74
"Feb. 28, 1998",15.40
"Nov. 30, 1997",17.85
"Aug. 31, 1997",17.51
"May 31, 1997",15.15
"Feb. 28, 1997",20.33
"Nov. 30, 1996",19.08
"Aug. 31, 1996",18.35
"May 31, 1996",18.61
"Feb. 29, 1996",17.36
"Nov. 30, 1995",18.34
"Aug. 31, 1995",17.97
"May 31, 1995",17.31
"Feb. 28, 1995",16.73
"Nov. 30, 1994",15.58
"Aug. 31, 1994",14.43
"May 31, 1994",13.35
"Feb. 28, 1994",9.903
"Nov. 30, 1993",8.926
"Aug. 31, 1993",7.801
"May 31, 1993",6.682
"Feb. 28, 1993",8.896
"Nov. 30, 1992",
"Aug. 31, 1992",
"May 31, 1992",
"Feb. 29, 1992",
"Nov. 30, 1991",
"Aug. 31, 1991",
"May 31, 1991",2.646
"Feb. 28, 1991",3.911
"Nov. 30, 1990",10.59
"Aug. 31, 1990",10.51
"May 31, 1990",9.887
"Feb. 28, 1990",9.730
"Nov. 30, 1989",10.47
"Aug. 31, 1989",10.93
"May 31, 1989",11.46
"Feb. 28, 1989",11.18
"Nov. 30, 1988",11.57
"Aug. 31, 1988",11.15
"May 31, 1988",11.28
"Feb. 29, 1988",9.831
"Nov. 30, 1987",9.831
"Aug. 31, 1987",
"May 31, 1987",
"Feb. 28, 1987",
"Nov. 30, 1986",
"Aug. 31, 1986",8.669
"May 31, 1986",8.999
"Feb. 28, 1986",8.020
"Nov. 30, 1985",7.961
"Aug. 31, 1985",7.321
"May 31, 1985",6.463
"Feb. 28, 1985",5.498
"Nov. 30, 1984",5.960
