date,revenues_per_share
"Feb. 29, 2020",66.74
"Nov. 30, 2019",66.12
"Aug. 31, 2019",65.07
"May 31, 2019",67.20
"Feb. 28, 2019",64.68
"Nov. 30, 2018",67.01
"Aug. 31, 2018",63.39
"May 31, 2018",63.65
"Feb. 28, 2018",60.53
"Nov. 30, 2017",59.97
"Aug. 31, 2017",56.24
"May 31, 2017",58.25
"Feb. 28, 2017",55.34
"Nov. 30, 2016",55.30
"Aug. 31, 2016",54.51
"May 31, 2016",47.54
"Feb. 29, 2016",46.01
"Nov. 30, 2015",44.00
"Aug. 31, 2015",42.93
"May 31, 2015",42.65
"Feb. 28, 2015",40.82
"Nov. 30, 2014",41.60
"Aug. 31, 2014",40.43
"May 31, 2014",40.13
"Feb. 28, 2014",36.81
"Nov. 30, 2013",35.75
"Aug. 31, 2013",34.56
"May 31, 2013",35.73
"Feb. 28, 2013",34.55
"Nov. 30, 2012",35.26
"Aug. 31, 2012",34.15
"May 31, 2012",34.73
"Feb. 29, 2012",33.43
"Nov. 30, 2011",33.50
"Aug. 31, 2011",33.08
"May 31, 2011",32.98
"Feb. 28, 2011",30.48
"Nov. 30, 2010",30.48
"Aug. 31, 2010",30.02
"May 31, 2010",30.22
"Feb. 28, 2010",27.71
"Nov. 30, 2009",27.38
"Aug. 31, 2009",25.67
"May 31, 2009",25.17
"Feb. 28, 2009",26.08
"Nov. 30, 2008",30.57
"Aug. 31, 2008",32.06
"May 31, 2008",31.62
"Feb. 29, 2008",30.25
"Nov. 30, 2007",30.29
"Aug. 31, 2007",29.23
"May 31, 2007",29.44
"Feb. 28, 2007",27.62
"Nov. 30, 2006",28.65
"Aug. 31, 2006",27.52
"May 31, 2006",27.14
"Feb. 28, 2006",25.80
"Nov. 30, 2005",26.28
"Aug. 31, 2005",25.01
"May 31, 2005",25.15
"Feb. 28, 2005",23.85
"Nov. 30, 2004",23.83
"Aug. 31, 2004",22.83
"May 31, 2004",23.20
"Feb. 29, 2004",19.91
"Nov. 30, 2003",19.52
"Aug. 31, 2003",18.66
"May 31, 2003",19.11
"Feb. 28, 2003",18.48
"Nov. 30, 2002",18.70
"Aug. 31, 2002",18.03
"May 31, 2002",17.78
"Feb. 28, 2002",16.51
"Nov. 30, 2001",17.00
"Aug. 31, 2001",16.68
"May 31, 2001",16.90
"Feb. 28, 2001",16.54
"Nov. 30, 2000",16.92
"Aug. 31, 2000",16.55
"May 31, 2000",16.51
"Feb. 29, 2000",15.58
"Nov. 30, 1999",15.22
"Aug. 31, 1999",14.22
"May 31, 1999",14.42
"Feb. 28, 1999",13.83
"Nov. 30, 1998",14.13
"Aug. 31, 1998",13.66
"May 31, 1998",13.57
"Feb. 28, 1998",15.76
"Nov. 30, 1997",13.20
"Aug. 31, 1997",13.00
"May 31, 1997",13.37
"Feb. 28, 1997",11.86
"Nov. 30, 1996",12.39
"Aug. 31, 1996",11.71
"May 31, 1996",22.61
"Feb. 29, 1996",11.07
"Nov. 30, 1995",11.12
"Aug. 31, 1995",10.82
"May 31, 1995",10.91
"Feb. 28, 1995",10.34
"Nov. 30, 1994",10.46
"Aug. 31, 1994",9.852
"May 31, 1994",9.699
"Feb. 28, 1994",9.322
"Nov. 30, 1993",9.595
"Aug. 31, 1993",9.190
"May 31, 1993",9.614
"Feb. 28, 1993",9.237
"Nov. 30, 1992",9.331
"Aug. 31, 1992",9.172
"May 31, 1992",8.687
"Feb. 29, 1992",8.793
"Nov. 30, 1991",9.534
"Aug. 31, 1991",8.492
"May 31, 1991",12.03
"Feb. 28, 1991",8.828
"Nov. 30, 1990",9.592
"Aug. 31, 1990",9.338
"May 31, 1990",8.705
"Feb. 28, 1990",9.977
"Nov. 30, 1989",8.388
"Aug. 31, 1989",8.129
"May 31, 1989",8.140
"Feb. 28, 1989",6.212
"Nov. 30, 1988",5.626
"Aug. 31, 1988",5.146
"May 31, 1988",4.771
"Feb. 29, 1988",4.819
"Nov. 30, 1987",4.504
"Aug. 31, 1987",4.339
"May 31, 1987",3.954
"Feb. 28, 1987",4.006
"Nov. 30, 1986",3.802
"Aug. 31, 1986",3.513
"May 31, 1986",3.514
"Feb. 28, 1986",3.302
"Nov. 30, 1985",3.226
"Aug. 31, 1985",3.170
"May 31, 1985",3.558
"Feb. 28, 1985",2.964
"Nov. 30, 1984",2.854
"Aug. 31, 1984",2.645
"May 31, 1984",2.217
"Feb. 29, 1984",2.002
