date,revenues_ttm
"Feb. 29, 2020",69.67B
"Nov. 30, 2019",69.19B
"Aug. 31, 2019",69.69B
"May 31, 2019",69.69B
"Feb. 28, 2019",69.20B
"Nov. 30, 2018",68.72B
"Aug. 31, 2018",67.20B
"May 31, 2018",65.45B
"Feb. 28, 2018",63.86B
"Nov. 30, 2017",62.34B
"Aug. 31, 2017",60.95B
"May 31, 2017",60.32B
"Feb. 28, 2017",57.57B
"Nov. 30, 2016",55.23B
"Aug. 31, 2016",52.75B
"May 31, 2016",50.36B
"Feb. 29, 2016",49.50B
"Nov. 30, 2015",48.56B
"Aug. 31, 2015",48.05B
"May 31, 2015",47.45B
"Feb. 28, 2015",47.18B
"Nov. 30, 2014",46.76B
"Aug. 31, 2014",46.23B
"May 31, 2014",45.57B
"Feb. 28, 2014",45.16B
"Nov. 30, 2013",44.82B
"Aug. 31, 2013",44.52B
"May 31, 2013",44.29B
"Feb. 28, 2013",43.86B
"Nov. 30, 2012",43.47B
"Aug. 31, 2012",42.95B
"May 31, 2012",42.68B
"Feb. 29, 2012",42.22B
"Nov. 30, 2011",41.32B
"Aug. 31, 2011",40.37B
"May 31, 2011",39.30B
"Feb. 28, 2011",38.18B
"Nov. 30, 2010",37.22B
"Aug. 31, 2010",36.18B
"May 31, 2010",34.73B
"Feb. 28, 2010",33.16B
"Nov. 30, 2009",32.59B
"Aug. 31, 2009",33.54B
"May 31, 2009",35.50B
"Feb. 28, 2009",37.51B
"Nov. 30, 2008",38.81B
"Aug. 31, 2008",38.72B
"May 31, 2008",37.95B
"Feb. 29, 2008",37.24B
"Nov. 30, 2007",36.39B
"Aug. 31, 2007",35.87B
"May 31, 2007",35.21B
"Feb. 28, 2007",34.56B
"Nov. 30, 2006",33.97B
"Aug. 31, 2006",33.13B
"May 31, 2006",32.29B
"Feb. 28, 2006",31.52B
"Nov. 30, 2005",30.85B
"Aug. 31, 2005",30.10B
"May 31, 2005",29.36B
"Feb. 28, 2005",28.69B
"Nov. 30, 2004",27.41B
"Aug. 31, 2004",26.00B
"May 31, 2004",24.71B
"Feb. 29, 2004",23.50B
"Nov. 30, 2003",22.98B
"Aug. 31, 2003",22.73B
"May 31, 2003",22.49B
"Feb. 28, 2003",22.07B
"Nov. 30, 2002",21.55B
"Aug. 31, 2002",21.02B
"May 31, 2002",20.61B
"Feb. 28, 2002",20.31B
"Nov. 30, 2001",20.13B
"Aug. 31, 2001",19.89B
"May 31, 2001",19.63B
"Feb. 28, 2001",19.36B
"Nov. 30, 2000",19.04B
"Aug. 31, 2000",18.72B
"May 31, 2000",18.26B
"Feb. 29, 2000",17.79B
"Nov. 30, 1999",17.37B
"Aug. 31, 1999",17.01B
"May 31, 1999",16.77B
"Feb. 28, 1999",16.47B
"Nov. 30, 1998",16.36B
"Aug. 31, 1998",16.09B
"May 31, 1998",15.87B
"Feb. 28, 1998",15.76B
"Nov. 30, 1997",15.30B
"Aug. 31, 1997",14.21B
"May 31, 1997",13.04B
"Feb. 28, 1997",14.26B
"Nov. 30, 1996",13.27B
"Aug. 31, 1996",12.96B
"May 31, 1996",12.72B
"Feb. 29, 1996",10.01B
"Nov. 30, 1995",9.803B
"Aug. 31, 1995",9.614B
"May 31, 1995",9.392B
"Feb. 28, 1995",9.187B
"Nov. 30, 1994",8.932B
"Aug. 31, 1994",8.695B
"May 31, 1994",8.479B
"Feb. 28, 1994",8.253B
"Nov. 30, 1993",8.116B
"Aug. 31, 1993",7.959B
"May 31, 1993",7.808B
"Feb. 28, 1993",7.661B
"Nov. 30, 1992",7.610B
"Aug. 31, 1992",7.589B
"May 31, 1992",7.550B
"Feb. 29, 1992",7.573B
"Nov. 30, 1991",7.548B
"Aug. 31, 1991",7.598B
"May 31, 1991",7.688B
"Feb. 28, 1991",7.688B
"Nov. 30, 1990",7.553B
"Aug. 31, 1990",7.284B
"May 31, 1990",7.015B
"Feb. 28, 1990",6.770B
"Nov. 30, 1989",6.324B
"Aug. 31, 1989",5.736B
"May 31, 1989",5.167B
"Feb. 28, 1989",4.551B
"Nov. 30, 1988",4.244B
"Aug. 31, 1988",4.052B
"May 31, 1988",3.883B
"Feb. 29, 1988",3.700B
"Nov. 30, 1987",3.522B
"Aug. 31, 1987",3.362B
"May 31, 1987",3.178B
"Feb. 28, 1987",3.032B
"Nov. 30, 1986",2.901B
"Aug. 31, 1986",2.743B
"May 31, 1986",2.606B
"Feb. 28, 1986",2.476B
"Nov. 30, 1985",2.321B
"Aug. 31, 1985",2.181B
"May 31, 1985",2.031B
"Feb. 28, 1985",1.851B
"Nov. 30, 1984",1.713B
