date,book_value_of_equity_per_share
"Dec. 31, 2019",3.240
"Sept. 30, 2019",3.198
"June 30, 2019",4.103
"March 31, 2019",4.031
"Dec. 31, 2018",3.559
"Sept. 30, 2018",3.616
"June 30, 2018",6.336
"March 31, 2018",6.443
"Dec. 31, 2017",6.454
"Sept. 30, 2017",8.775
"June 30, 2017",8.564
"March 31, 2017",8.582
"Dec. 31, 2016",8.673
"Sept. 30, 2016",9.255
"June 30, 2016",9.484
"March 31, 2016",9.905
"Dec. 31, 2015",10.48
"Sept. 30, 2015",11.00
"June 30, 2015",10.85
"March 31, 2015",10.77
"Dec. 31, 2014",12.74
"Sept. 30, 2014",13.44
"June 30, 2014",13.36
"March 31, 2014",13.15
"Dec. 31, 2013",12.98
"Sept. 30, 2013",12.13
"June 30, 2013",12.03
"March 31, 2013",11.96
"Dec. 31, 2012",11.82
"Sept. 30, 2012",11.69
"June 30, 2012",11.38
"March 31, 2012",11.32
"Dec. 31, 2011",11.01
"Sept. 30, 2011",11.79
"June 30, 2011",12.08
"March 31, 2011",11.65
"Dec. 31, 2010",11.20
"Sept. 30, 2010",10.84
"June 30, 2010",10.66
"March 31, 2010",10.79
"Dec. 31, 2009",11.00
"Sept. 30, 2009",11.04
"June 30, 2009",10.55
"March 31, 2009",9.540
"Dec. 31, 2008",10.51
"Sept. 30, 2008",11.28
"June 30, 2008",11.90
"March 31, 2008",11.64
"Dec. 31, 2007",11.57
"Sept. 30, 2007",11.16
"June 30, 2007",11.42
"March 31, 2007",11.10
"Dec. 31, 2006",10.85
"Sept. 30, 2006",10.81
"June 30, 2006",10.54
"March 31, 2006",10.34
"Dec. 31, 2005",10.49
"Sept. 30, 2005",10.69
"June 30, 2005",10.60
"March 31, 2005",10.64
"Dec. 31, 2004",10.45
"Sept. 30, 2004",9.627
"June 30, 2004",9.309
"March 31, 2004",8.468
"Dec. 31, 2003",7.856
"Sept. 30, 2003",7.219
"June 30, 2003",7.183
"March 31, 2003",6.640
"Dec. 31, 2002",6.375
"Sept. 30, 2002",6.256
"June 30, 2002",5.902
"March 31, 2002",5.552
"Dec. 31, 2001",5.518
"Sept. 30, 2001",5.399
"June 30, 2001",5.259
"March 31, 2001",5.127
"Dec. 31, 2000",5.083
"Sept. 30, 2000",4.818
"June 30, 2000",4.640
"March 31, 2000",4.498
"Dec. 31, 1999",4.305
"Sept. 30, 1999",4.043
"June 30, 1999",4.007
"March 31, 1999",3.924
"Dec. 31, 1998",3.958
"Sept. 30, 1998",3.787
"June 30, 1998",3.642
"March 31, 1998",3.549
"Dec. 31, 1997",3.513
"Sept. 30, 1997",3.429
"June 30, 1997",3.224
"March 31, 1997",3.106
"Dec. 31, 1996",3.151
"Sept. 30, 1996",3.034
"June 30, 1996",2.954
"March 31, 1996",2.924
"Dec. 31, 1995",2.958
"Sept. 30, 1995",2.760
"June 30, 1995",2.795
"March 31, 1995",2.662
"Dec. 31, 1994",2.575
"Sept. 30, 1994",2.617
"June 30, 1994",2.565
"March 31, 1994",2.471
"Dec. 31, 1993",2.513
"Sept. 30, 1993",2.374
"June 30, 1993",2.317
"March 31, 1993",2.319
"Dec. 31, 1992",2.283
"Sept. 30, 1992",2.220
"June 30, 1992",2.162
"March 31, 1992",2.096
"Dec. 31, 1991",2.089
"Sept. 30, 1991",2.012
"June 30, 1991",2.131
"March 31, 1991",2.090
"Dec. 31, 1990",2.067
"Sept. 30, 1990",1.996
"June 30, 1990",1.969
"March 31, 1990",1.928
"Dec. 31, 1989",1.922
"Sept. 30, 1989",1.816
"June 30, 1989",1.760
"March 31, 1989",
"Dec. 31, 1988",1.704
"Sept. 30, 1988",
"June 30, 1988",
"March 31, 1988",
"Dec. 31, 1987",1.519
"Sept. 30, 1987",
"June 30, 1987",
"March 31, 1987",
"Dec. 31, 1986",1.380
"Sept. 30, 1986",
"June 30, 1986",
"March 31, 1986",
"Dec. 31, 1985",1.269
"Sept. 30, 1985",
"June 30, 1985",
"March 31, 1985",
"Dec. 31, 1984",1.150
