date,book_value_of_tangible_equity_per_share
"Dec. 31, 2019",-1.039
"Sept. 30, 2019",-1.088
"June 30, 2019",-3.795
"March 31, 2019",-4.024
"Dec. 31, 2018",-1.744
"Sept. 30, 2018",-5.492
"June 30, 2018",-5.423
"March 31, 2018",-5.776
"Dec. 31, 2017",-5.555
"Sept. 30, 2017",-3.737
"June 30, 2017",-1.747
"March 31, 2017",-1.416
"Dec. 31, 2016",-1.264
"Sept. 30, 2016",-0.553
"June 30, 2016",0.1383
"March 31, 2016",0.8678
"Dec. 31, 2015",1.593
"Sept. 30, 2015",3.554
"June 30, 2015",3.333
"March 31, 2015",2.523
"Dec. 31, 2014",6.142
"Sept. 30, 2014",4.260
"June 30, 2014",4.006
"March 31, 2014",3.781
"Dec. 31, 2013",3.837
"Sept. 30, 2013",3.009
"June 30, 2013",3.714
"March 31, 2013",3.787
"Dec. 31, 2012",3.645
"Sept. 30, 2012",3.593
"June 30, 2012",3.408
"March 31, 2012",3.305
"Dec. 31, 2011",3.002
"Sept. 30, 2011",3.669
"June 30, 2011",4.315
"March 31, 2011",4.179
"Dec. 31, 2010",4.199
"Sept. 30, 2010",3.865
"June 30, 2010",3.732
"March 31, 2010",3.628
"Dec. 31, 2009",3.795
"Sept. 30, 2009",1.657
"June 30, 2009",1.230
"March 31, 2009",0.5308
"Dec. 31, 2008",0.7964
"Sept. 30, 2008",1.373
"June 30, 2008",1.811
"March 31, 2008",1.699
"Dec. 31, 2007",1.832
"Sept. 30, 2007",1.832
"June 30, 2007",2.389
"March 31, 2007",2.412
"Dec. 31, 2006",2.646
"Sept. 30, 2006",2.515
"June 30, 2006",2.246
"March 31, 2006",2.359
"Dec. 31, 2005",2.660
"Sept. 30, 2005",2.810
"June 30, 2005",2.538
"March 31, 2005",2.465
"Dec. 31, 2004",3.053
"Sept. 30, 2004",1.930
"June 30, 2004",1.648
"March 31, 2004",2.879
"Dec. 31, 2003",2.397
"Sept. 30, 2003",2.230
"June 30, 2003",2.171
"March 31, 2003",1.772
"Dec. 31, 2002",1.754
"Sept. 30, 2002",1.771
"June 30, 2002",1.508
"March 31, 2002",2.360
"Dec. 31, 2001",1.983
"Sept. 30, 2001",2.568
"June 30, 2001",2.494
"March 31, 2001",2.393
"Dec. 31, 2000",2.321
"Sept. 30, 2000",2.080
"June 30, 2000",1.888
"March 31, 2000",1.753
"Dec. 31, 1999",1.674
"Sept. 30, 1999",1.457
"June 30, 1999",1.506
"March 31, 1999",1.463
"Dec. 31, 1998",1.552
"Sept. 30, 1998",1.609
"June 30, 1998",1.601
"March 31, 1998",1.538
"Dec. 31, 1997",1.562
"Sept. 30, 1997",1.782
"June 30, 1997",1.594
"March 31, 1997",1.478
"Dec. 31, 1996",1.531
"Sept. 30, 1996",1.627
"June 30, 1996",1.624
"March 31, 1996",1.702
"Dec. 31, 1995",1.625
"Sept. 30, 1995",1.516
"June 30, 1995",1.578
"March 31, 1995",1.502
"Dec. 31, 1994",1.465
"Sept. 30, 1994",1.566
"June 30, 1994",1.520
"March 31, 1994",1.432
"Dec. 31, 1993",1.505
"Sept. 30, 1993",1.359
"June 30, 1993",1.342
"March 31, 1993",1.394
"Dec. 31, 1992",1.358
"Sept. 30, 1992",1.252
"June 30, 1992",1.21
"March 31, 1992",1.149
"Dec. 31, 1991",1.144
"Sept. 30, 1991",1.105
"June 30, 1991",1.231
"March 31, 1991",1.212
"Dec. 31, 1990",1.177
"Sept. 30, 1990",1.157
"June 30, 1990",1.143
"March 31, 1990",1.108
"Dec. 31, 1989",1.110
"Sept. 30, 1989",1.024
"June 30, 1989",0.9805
"March 31, 1989",
"Dec. 31, 1988",0.9149
"Sept. 30, 1988",
"June 30, 1988",
"March 31, 1988",
"Dec. 31, 1987",1.111
"Sept. 30, 1987",
"June 30, 1987",
"March 31, 1987",
"Dec. 31, 1986",1.053
"Sept. 30, 1986",
"June 30, 1986",
"March 31, 1986",
"Dec. 31, 1985",1.269
"Sept. 30, 1985",
"June 30, 1985",
"March 31, 1985",
"Dec. 31, 1984",1.137
