date,current_ratio
"Dec. 31, 2019",1.781
"Sept. 30, 2019",1.988
"June 30, 2019",1.822
"March 31, 2019",1.862
"Dec. 31, 2018",1.791
"Sept. 30, 2018",1.689
"June 30, 2018",1.855
"March 31, 2018",1.784
"Dec. 31, 2017",1.812
"Sept. 30, 2017",1.870
"June 30, 2017",1.859
"March 31, 2017",1.888
"Dec. 31, 2016",1.924
"Sept. 30, 2016",1.975
"June 30, 2016",1.887
"March 31, 2016",1.679
"Dec. 31, 2015",1.625
"Sept. 30, 2015",1.939
"June 30, 2015",1.645
"March 31, 2015",1.604
"Dec. 31, 2014",1.490
"Sept. 30, 2014",2.273
"June 30, 2014",2.254
"March 31, 2014",2.244
"Dec. 31, 2013",2.277
"Sept. 30, 2013",2.299
"June 30, 2013",2.395
"March 31, 2013",2.314
"Dec. 31, 2012",2.144
"Sept. 30, 2012",2.222
"June 30, 2012",2.124
"March 31, 2012",2.055
"Dec. 31, 2011",1.924
"Sept. 30, 2011",2.187
"June 30, 2011",2.283
"March 31, 2011",2.458
"Dec. 31, 2010",2.383
"Sept. 30, 2010",2.128
"June 30, 2010",2.993
"March 31, 2010",3.028
"Dec. 31, 2009",2.399
"Sept. 30, 2009",2.381
"June 30, 2009",2.206
"March 31, 2009",2.119
"Dec. 31, 2008",2.298
"Sept. 30, 2008",1.928
"June 30, 2008",2.056
"March 31, 2008",2.061
"Dec. 31, 2007",1.993
"Sept. 30, 2007",2.062
"June 30, 2007",1.963
"March 31, 2007",2.001
"Dec. 31, 2006",1.973
"Sept. 30, 2006",1.942
"June 30, 2006",1.973
"March 31, 2006",1.914
"Dec. 31, 2005",1.846
"Sept. 30, 2005",2.240
"June 30, 2005",2.510
"March 31, 2005",2.412
"Dec. 31, 2004",1.934
"Sept. 30, 2004",2.247
"June 30, 2004",2.153
"March 31, 2004",2.318
"Dec. 31, 2003",2.243
"Sept. 30, 2003",2.352
"June 30, 2003",2.194
"March 31, 2003",2.276
"Dec. 31, 2002",2.127
"Sept. 30, 2002",2.144
"June 30, 2002",2.027
"March 31, 2002",1.812
"Dec. 31, 2001",1.715
"Sept. 30, 2001",1.855
"June 30, 2001",1.838
"March 31, 2001",1.885
"Dec. 31, 2000",1.894
"Sept. 30, 2000",1.826
"June 30, 2000",1.873
"March 31, 2000",1.862
"Dec. 31, 1999",1.694
"Sept. 30, 1999",1.712
"June 30, 1999",1.694
"March 31, 1999",1.724
"Dec. 31, 1998",1.721
"Sept. 30, 1998",1.752
"June 30, 1998",1.692
"March 31, 1998",1.677
"Dec. 31, 1997",1.763
"Sept. 30, 1997",1.843
"June 30, 1997",1.871
"March 31, 1997",1.852
"Dec. 31, 1996",1.914
"Sept. 30, 1996",1.850
"June 30, 1996",1.891
"March 31, 1996",1.949
"Dec. 31, 1995",1.984
"Sept. 30, 1995",1.965
"June 30, 1995",1.931
"March 31, 1995",1.886
"Dec. 31, 1994",1.744
"Sept. 30, 1994",1.333
"June 30, 1994",1.276
"March 31, 1994",1.226
"Dec. 31, 1993",1.254
"Sept. 30, 1993",1.289
"June 30, 1993",1.315
"March 31, 1993",1.178
"Dec. 31, 1992",1.199
"Sept. 30, 1992",1.181
"June 30, 1992",2.102
"March 31, 1992",2.058
"Dec. 31, 1991",1.793
"Sept. 30, 1991",1.572
"June 30, 1991",1.416
"March 31, 1991",1.448
"Dec. 31, 1990",1.438
"Sept. 30, 1990",1.326
"June 30, 1990",1.282
"March 31, 1990",1.322
"Dec. 31, 1989",1.278
"Sept. 30, 1989",1.262
"June 30, 1989",1.253
"March 31, 1989",
"Dec. 31, 1988",1.305
"Sept. 30, 1988",
"June 30, 1988",
"March 31, 1988",
"Dec. 31, 1987",1.242
"Sept. 30, 1987",
"June 30, 1987",
"March 31, 1987",
"Dec. 31, 1986",1.247
"Sept. 30, 1986",
"June 30, 1986",
"March 31, 1986",
"Dec. 31, 1985",1.407
"Sept. 30, 1985",
"June 30, 1985",
"March 31, 1985",
"Dec. 31, 1984",1.342
