date,days_payables_outstanding
"Dec. 31, 2019",67.66
"Sept. 30, 2019",114.53
"June 30, 2019",69.54
"March 31, 2019",54.26
"Dec. 31, 2018",80.72
"Sept. 30, 2018",77.93
"June 30, 2018",63.41
"March 31, 2018",62.51
"Dec. 31, 2017",202.29
"Sept. 30, 2017",48.21
"June 30, 2017",56.56
"March 31, 2017",62.38
"Dec. 31, 2016",48.32
"Sept. 30, 2016",58.67
"June 30, 2016",51.65
"March 31, 2016",56.27
"Dec. 31, 2015",39.87
"Sept. 30, 2015",53.09
"June 30, 2015",56.18
"March 31, 2015",64.13
"Dec. 31, 2014",51.92
"Sept. 30, 2014",80.44
"June 30, 2014",76.15
"March 31, 2014",76.53
"Dec. 31, 2013",57.81
"Sept. 30, 2013",72.27
"June 30, 2013",77.84
"March 31, 2013",79.58
"Dec. 31, 2012",48.43
"Sept. 30, 2012",77.84
"June 30, 2012",79.26
"March 31, 2012",79.08
"Dec. 31, 2011",49.64
"Sept. 30, 2011",84.84
"June 30, 2011",76.86
"March 31, 2011",74.91
"Dec. 31, 2010",38.80
"Sept. 30, 2010",76.26
"June 30, 2010",77.97
"March 31, 2010",89.86
"Dec. 31, 2009",90.46
"Sept. 30, 2009",94.88
"June 30, 2009",93.26
"March 31, 2009",97.62
"Dec. 31, 2008",86.58
"Sept. 30, 2008",89.72
"June 30, 2008",92.65
"March 31, 2008",100.45
"Dec. 31, 2007",86.65
"Sept. 30, 2007",91.18
"June 30, 2007",105.19
"March 31, 2007",97.08
"Dec. 31, 2006",112.52
"Sept. 30, 2006",103.93
"June 30, 2006",104.93
"March 31, 2006",99.06
"Dec. 31, 2005",176.11
"Sept. 30, 2005",126.77
"June 30, 2005",127.46
"March 31, 2005",119.17
"Dec. 31, 2004",107.50
"Sept. 30, 2004",133.73
"June 30, 2004",125.56
"March 31, 2004",140.86
"Dec. 31, 2003",123.93
"Sept. 30, 2003",155.70
"June 30, 2003",145.34
"March 31, 2003",153.27
"Dec. 31, 2002",126.00
"Sept. 30, 2002",139.91
"June 30, 2002",117.07
"March 31, 2002",124.95
"Dec. 31, 2001",120.75
"Sept. 30, 2001",120.94
"June 30, 2001",105.53
"March 31, 2001",107.80
"Dec. 31, 2000",103.06
"Sept. 30, 2000",93.55
"June 30, 2000",89.76
"March 31, 2000",95.54
"Dec. 31, 1999",87.08
"Sept. 30, 1999",92.40
"June 30, 1999",94.66
"March 31, 1999",112.55
"Dec. 31, 1998",70.77
"Sept. 30, 1998",104.53
"June 30, 1998",106.62
"March 31, 1998",119.08
"Dec. 31, 1997",75.31
"Sept. 30, 1997",105.69
"June 30, 1997",100.30
"March 31, 1997",111.51
"Dec. 31, 1996",111.88
"Sept. 30, 1996",109.33
"June 30, 1996",107.24
"March 31, 1996",122.78
"Dec. 31, 1995",113.37
"Sept. 30, 1995",112.60
"June 30, 1995",88.42
"March 31, 1995",84.89
"Dec. 31, 1994",131.39
"Sept. 30, 1994",192.33
"June 30, 1994",180.09
"March 31, 1994",202.02
"Dec. 31, 1993",92.30
"Sept. 30, 1993",94.73
"June 30, 1993",106.45
"March 31, 1993",133.07
"Dec. 31, 1992",251.53
"Sept. 30, 1992",100.73
"June 30, 1992",96.07
"March 31, 1992",111.65
"Dec. 31, 1991",81.03
"Sept. 30, 1991",93.13
"June 30, 1991",88.24
"March 31, 1991",97.72
"Dec. 31, 1990",76.54
"Sept. 30, 1990",89.23
"June 30, 1990",81.20
"March 31, 1990",84.40
"Dec. 31, 1989",71.88
"Sept. 30, 1989",84.67
