date,debt_equity_ratio
"Dec. 31, 2019",3.210
"Sept. 30, 2019",3.338
"June 30, 2019",2.953
"March 31, 2019",3.058
"Dec. 31, 2018",3.344
"Sept. 30, 2018",3.655
"June 30, 2018",2.099
"March 31, 2018",2.248
"Dec. 31, 2017",2.402
"Sept. 30, 2017",1.792
"June 30, 2017",1.813
"March 31, 2017",1.726
"Dec. 31, 2016",1.796
"Sept. 30, 2016",1.825
"June 30, 2016",1.841
"March 31, 2016",2.042
"Dec. 31, 2015",2.011
"Sept. 30, 2015",2.620
"June 30, 2015",2.885
"March 31, 2015",3.236
"Dec. 31, 2014",2.040
"Sept. 30, 2014",2.772
"June 30, 2014",2.826
"March 31, 2014",2.887
"Dec. 31, 2013",2.934
"Sept. 30, 2013",3.163
"June 30, 2013",3.162
"March 31, 2013",3.212
"Dec. 31, 2012",3.364
"Sept. 30, 2012",3.152
"June 30, 2012",3.220
"March 31, 2012",3.351
"Dec. 31, 2011",3.894
"Sept. 30, 2011",3.412
"June 30, 2011",3.361
"March 31, 2011",3.459
"Dec. 31, 2010",4.024
"Sept. 30, 2010",3.920
"June 30, 2010",3.676
"March 31, 2010",3.833
"Dec. 31, 2009",4.006
"Sept. 30, 2009",4.409
"June 30, 2009",4.585
"March 31, 2009",4.989
"Dec. 31, 2008",4.652
"Sept. 30, 2008",4.884
"June 30, 2008",4.697
"March 31, 2008",4.723
"Dec. 31, 2007",4.449
"Sept. 30, 2007",4.357
"June 30, 2007",3.992
"March 31, 2007",3.942
"Dec. 31, 2006",3.881
"Sept. 30, 2006",3.682
"June 30, 2006",3.626
"March 31, 2006",3.500
"Dec. 31, 2005",3.388
"Sept. 30, 2005",3.187
"June 30, 2005",3.252
"March 31, 2005",3.275
"Dec. 31, 2004",3.294
"Sept. 30, 2004",3.336
"June 30, 2004",3.416
"March 31, 2004",3.615
"Dec. 31, 2003",4.164
"Sept. 30, 2003",4.007
"June 30, 2003",4.213
"March 31, 2003",4.301
"Dec. 31, 2002",4.386
"Sept. 30, 2002",4.249
"June 30, 2002",4.435
"March 31, 2002",4.302
"Dec. 31, 2001",4.248
"Sept. 30, 2001",3.853
"June 30, 2001",3.842
"March 31, 2001",3.899
"Dec. 31, 2000",3.987
"Sept. 30, 2000",4.141
"June 30, 2000",4.297
"March 31, 2000",4.404
"Dec. 31, 1999",4.741
"Sept. 30, 1999",4.662
"June 30, 1999",4.576
"March 31, 1999",4.569
"Dec. 31, 1998",4.502
"Sept. 30, 1998",4.428
"June 30, 1998",4.358
"March 31, 1998",4.261
"Dec. 31, 1997",4.201
"Sept. 30, 1997",3.979
"June 30, 1997",4.140
"March 31, 1997",4.211
"Dec. 31, 1996",4.159
"Sept. 30, 1996",4.131
"June 30, 1996",4.137
"March 31, 1996",4.031
"Dec. 31, 1995",3.900
"Sept. 30, 1995",3.894
"June 30, 1995",3.750
"March 31, 1995",3.745
"Dec. 31, 1994",3.591
"Sept. 30, 1994",3.560
"June 30, 1994",3.518
"March 31, 1994",3.624
"Dec. 31, 1993",3.501
"Sept. 30, 1993",3.464
"June 30, 1993",2.706
"March 31, 1993",3.349
"Dec. 31, 1992",3.485
"Sept. 30, 1992",3.399
"June 30, 1992",3.451
"March 31, 1992",3.438
"Dec. 31, 1991",3.414
"Sept. 30, 1991",3.450
"June 30, 1991",3.139
"March 31, 1991",3.062
"Dec. 31, 1990",2.950
"Sept. 30, 1990",2.967
"June 30, 1990",2.807
"March 31, 1990",2.674
"Dec. 31, 1989",2.552
"Sept. 30, 1989",3.417
"June 30, 1989",3.392
"March 31, 1989",
"Dec. 31, 1988",2.464
"Sept. 30, 1988",
"June 30, 1988",
"March 31, 1988",
"Dec. 31, 1987",0.3399
"Sept. 30, 1987",
"June 30, 1987",
"March 31, 1987",
"Dec. 31, 1986",0.408
"Sept. 30, 1986",
"June 30, 1986",
"March 31, 1986",
"Dec. 31, 1985",0.1474
"Sept. 30, 1985",
"June 30, 1985",
"March 31, 1985",
"Dec. 31, 1984",0.1432
