date,historical_monthly_var_1_all
"Feb. 29, 2020",19.46%
"Jan. 31, 2020",19.47%
"Dec. 31, 2019",19.49%
"Nov. 30, 2019",19.50%
"Oct. 31, 2019",19.51%
"Sept. 30, 2019",19.53%
"Aug. 31, 2019",19.55%
"July 31, 2019",19.19%
"June 30, 2019",19.23%
"May 31, 2019",19.24%
"April 30, 2019",19.24%
"March 31, 2019",19.24%
"Feb. 28, 2019",19.25%
"Jan. 31, 2019",19.25%
"Dec. 31, 2018",19.26%
"Nov. 30, 2018",18.82%
"Oct. 31, 2018",17.88%
"Sept. 30, 2018",17.92%
"Aug. 31, 2018",17.94%
"July 31, 2018",17.95%
"June 30, 2018",17.96%
"May 31, 2018",17.97%
"April 30, 2018",17.98%
"March 31, 2018",17.98%
"Feb. 28, 2018",17.98%
"Jan. 31, 2018",17.50%
"Dec. 31, 2017",17.51%
"Nov. 30, 2017",17.52%
"Oct. 31, 2017",17.14%
"Sept. 30, 2017",17.15%
"Aug. 31, 2017",17.15%
"July 31, 2017",17.16%
"June 30, 2017",17.16%
"May 31, 2017",17.16%
"April 30, 2017",17.16%
"March 31, 2017",17.16%
"Feb. 28, 2017",17.16%
"Jan. 31, 2017",17.17%
"Dec. 31, 2016",17.17%
"Nov. 30, 2016",17.17%
"Oct. 31, 2016",17.17%
"Sept. 30, 2016",17.17%
"Aug. 31, 2016",17.17%
"July 31, 2016",17.17%
"June 30, 2016",17.17%
"May 31, 2016",17.18%
"April 30, 2016",17.19%
"March 31, 2016",17.21%
"Feb. 29, 2016",17.22%
"Jan. 31, 2016",17.24%
"Dec. 31, 2015",17.26%
"Nov. 30, 2015",17.29%
"Oct. 31, 2015",17.31%
"Sept. 30, 2015",17.34%
"Aug. 31, 2015",17.37%
"July 31, 2015",17.37%
"June 30, 2015",17.38%
"May 31, 2015",17.38%
"April 30, 2015",17.38%
"March 31, 2015",17.39%
"Feb. 28, 2015",17.40%
"Jan. 31, 2015",17.41%
"Dec. 31, 2014",17.42%
"Nov. 30, 2014",17.43%
"Oct. 31, 2014",17.44%
"Sept. 30, 2014",17.44%
"Aug. 31, 2014",17.44%
"July 31, 2014",17.45%
"June 30, 2014",17.45%
"May 31, 2014",17.46%
"April 30, 2014",17.47%
"March 31, 2014",17.48%
"Feb. 28, 2014",17.49%
"Jan. 31, 2014",17.51%
"Dec. 31, 2013",17.54%
"Nov. 30, 2013",17.57%
"Oct. 31, 2013",17.59%
"Sept. 30, 2013",17.62%
"Aug. 31, 2013",17.62%
"July 31, 2013",17.63%
"June 30, 2013",17.63%
"May 31, 2013",17.63%
"April 30, 2013",17.63%
"March 31, 2013",17.63%
"Feb. 28, 2013",17.64%
"Jan. 31, 2013",17.64%
"Dec. 31, 2012",17.64%
"Nov. 30, 2012",17.65%
"Oct. 31, 2012",17.65%
"Sept. 30, 2012",17.66%
"Aug. 31, 2012",17.67%
"July 31, 2012",17.68%
"June 30, 2012",17.74%
"May 31, 2012",17.80%
"April 30, 2012",17.85%
"March 31, 2012",17.91%
"Feb. 29, 2012",17.94%
"Jan. 31, 2012",17.95%
"Dec. 31, 2011",17.96%
"Nov. 30, 2011",17.97%
"Oct. 31, 2011",17.98%
"Sept. 30, 2011",17.98%
"Aug. 31, 2011",17.98%
"July 31, 2011",17.58%
"June 30, 2011",17.61%
"May 31, 2011",17.62%
"April 30, 2011",17.63%
"March 31, 2011",17.63%
"Feb. 28, 2011",17.63%
"Jan. 31, 2011",17.63%
"Dec. 31, 2010",17.63%
"Nov. 30, 2010",17.63%
"Oct. 31, 2010",17.64%
